first_visit_year	first_visit_age	years_to_last_visit	n_patients	INPAT_logmean	INPAT_logsd	PURCH_logmean	PURCH_logsd	OUTPAT_logmean	OUTPAT_logsd	OPER_OUT_logmean	OPER_OUT_logsd	PRIM_OUT_logmean	PRIM_OUT_logsd	OPER_IN_logmean	OPER_IN_logsd	REIMB_logmean	REIMB_logsd	CANC_logmean	CANC_logsd	n_person_death
1955	30	60	6	2.60934164770819	0.5413999928105769	6.085632937078052	0.27679953378526034	3.430952415543303	0.5220793824331552	2.2792267391313246	0.6929181892085339	4.612288321867025	1.8230704706501157	1.0873406697169024	0.8817181093172666	0.707149876090873	0.529716319429497	0.6318190221336968	0.36645324824445974	0
1960	0	55	12	2.715513389315041	0.5881226427713687	5.948222132544456	0.7247547963273306	4.430749548898041	0.9352342486396099	3.263444747784683	1.3380723245217387	3.752564701171751	1.5100764704580991	1.7216944399147796	0.7636845196382915	1.2847031738255168	0.7695011016530033	-0.28437428235674284	0.6183551413190432	0
1960	5	50	6	3.8119432196921403	0.45234211376300115	6.247740406581724	0.8865841868891499	4.834543113703364	1.3634549760088328	3.3507758957510205	2.2647087054868122	3.4348909203372693	2.2046975677518637	2.315517693891153	1.1323031909085526	1.842140204250822	0.4980930882593699	-0.5100451324485937	0.44850658873134774	6
1960	5	55	44	2.596026995390236	0.8314405261210709	6.252527441882324	0.6839718337487084	4.508705773589671	0.9266068927468923	3.0885428142865217	0.8798988699411386	4.145867039769993	1.226734873086725	1.5290076058713664	0.9861144266235168	1.449875741113832	0.6303841686945667	-0.5433364139233848	0.38137420034644226	0
1960	10	50	7	3.217232308611738	0.6267017211277585	6.067777806126213	0.4212357176381318	4.934070769772806	1.1527558539006815	3.386126407083988	2.0765434442818633	3.325330154604573	1.6274753713276546	1.9971520512950272	1.0529852936929536	1.5434828380294903	0.42648436077561275	-0.37925795522619965	0.5360679063266816	7
1960	10	55	68	2.8343312995903895	0.7283757233687508	6.193858770094353	0.6810368120429585	4.484727880815763	0.7848063814705876	3.171135751862078	1.037396405708959	4.589752890968446	1.114111108014757	1.748324526420678	0.9420475553718156	1.4805563618754802	0.587583456842936	-0.500406203752869	0.44916146938251444	0
1960	15	45	8	3.8444523758959765	0.3286140456224135	6.039153377198787	0.4450498911149149	4.243671635751301	1.058266087454202	2.11740197726761	1.0364238085393314	0.5477228080302134	1.7239840219846925	2.0138489890774394	0.8033847328807187	1.0196490513134904	0.4397784437516744	-0.17525533976100371	0.7610864940232958	8
1960	15	50	9	3.4375597702020952	0.71820850631058	6.084309053256952	0.9581979222666004	4.9896852769336135	1.4591131226986123	3.7093333779874396	2.2628257539271472	3.535466432799012	1.627264145452542	1.826289253544738	1.2420750049475613	1.689298542979726	0.6568429184924635	0.030709785092558024	0.7146421753127025	9
1960	15	55	95	2.702761489920265	0.8461073042283547	6.235923475316943	0.6688106530228444	4.333685563440105	1.084868580694938	3.0325973381612936	1.173439540887509	4.595697408194133	1.223544759572773	1.6217754970180664	0.843785237740908	1.5221443992209793	0.6033663996673597	-0.43143301078296253	0.523338334518609	8
1960	20	45	6	4.117012349055178	0.3689876398343567	6.197702379067069	0.5468769640777548	5.0928933043000395	1.1148042314365165	3.7021088252420205	1.3348368053167177	-0.22094495655057594	1.1566545042303547	1.9919940772400133	2.1244460784616273	1.7778631241154912	0.40918482046297977	-0.2418054803762436	0.7176326877789961	6
1960	20	50	9	2.973438883007033	0.7361150238229918	6.060944915806802	0.6623999146007403	4.063754220238234	1.3263448476336717	2.7698514746497285	1.5288909980469436	3.3750775939373883	1.7702900311141674	1.462074981497027	1.3384160393019229	1.5858573945229129	0.5622255299570333	-0.32694308433724206	0.5493061443340548	9
1960	20	55	56	2.7308853538261615	0.8043744804229397	6.3879641648918435	0.48915781970822536	4.0799393399405535	0.96811947989274	2.8583295224343686	1.0470390605738673	4.717057711341604	0.9387955396293731	1.717952575145268	0.9120505150187195	1.4097868454088531	0.5666801615287506	-0.22506195117133143	0.6357576582565557	6
1960	25	45	9	3.0088564530811754	0.7563039675666237	5.98044659714756	0.5901381736828071	3.469160895654715	0.805002839972648	1.8828430271874725	1.088043104443195	0.249708655476151	1.2496631527055502	1.6839657672859563	0.7433951039356691	1.3493692098247638	0.22994185431165068	0.03926101188546116	0.5493061443340548	9
1960	25	50	11	2.839533013435336	0.5691312382741113	6.413673138327267	0.47090982628756056	3.879865637085848	1.1995272584348398	2.4448163461756747	1.817741220008684	4.6161435011313605	1.7765958934418238	1.5854359366216981	0.882460986639551	1.4180690584272868	0.5516557054399449	-0.5932733361355716	0.3312440683259759	11
1960	25	55	39	2.945058844725123	0.7124425246306999	6.362303354014583	0.5970762569148633	4.184759304581748	0.7701747888832213	2.9300695871745295	0.9960739789058867	5.2752478952250295	1.5416707425678324	1.780658779378112	0.793132940062991	1.3145430879642745	0.7219150802830224	-0.287648805586012	0.6456642919370587	7
1960	30	35	7	2.688971026446047	0.7378630709958416	5.124712122421158	0.557035810468329	2.3249001506188725	1.1934428025259634	0.060138470663447095	1.0331287153401083	-0.6931471805599453	0	1.2295936126957447	0.9489124819767613	1.2845956837867267	0.47590842357681956	-0.37925795522619965	0.5360679063266816	7
1960	30	45	14	3.1644089230753467	0.7769703084552767	6.016244328796045	0.3354629058571589	3.318403022149795	0.7683766532715316	1.6458236264444448	1.2737370806853203	1.110512533712516	2.110712726022393	1.3077469519507543	0.6472457478046182	1.1318539639786347	0.4826135105583618	-0.37925795522619965	0.5150373849254996	14
