APPROX_DATE,Frequency,SOURCE,Frequency,SEX,Frequency,BIRTH_DATE,Frequency,AGE_AT_TEST,Frequency,AGE_GROUP,Frequency,IS_PEDIATRIC,Frequency,HEIGHT_BEST,Frequency,HEIGHT_CLEAN,Frequency,HEIGHT_FLAG,Frequency,WEIGHT_MEDIAN,Frequency,WEIGHT_LATEST,Frequency,WEIGHT_CLEAN,Frequency,WEIGHT_FLAG,Frequency,FEV1_BEST,Frequency,FVC_BEST,Frequency,FEV1_FVC_RATIO,Frequency,FEV1_MAX,Frequency,FVC_MAX,Frequency,MEASUREMENT_TYPE,Frequency,FEV1_POST,Frequency,FVC_POST,Frequency,FEV1_FVC_POST,Frequency,FEV1_CHANGE_L,Frequency,FEV1_CHANGE_PCT,Frequency,FVC_CHANGE_L,Frequency,FVC_CHANGE_PCT,Frequency,SIGNIFICANT_RESPONSE,Frequency,OBSTRUCTION,Frequency
,,,,,,,,,,,,,,182.0,1329,182.0,1378,,,81.0,1202,62.0,1352,88.0,1473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,154.0,1214,154.0,1232,,,88.0,1202,61.0,1348,81.0,1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,181.0,1094,181.0,1225,,,66.0,1172,66.0,1323,100.0,1306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,153.0,1024,183.0,1029,,,100.0,1102,87.0,1276,95.0,1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,183.0,920,153.0,1022,,,87.0,1080,100.0,1245,92.0,1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,152.0,822,152.0,928,,,92.0,1069,89.0,1134,61.0,1251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,184.0,799,184.0,848,,,59.0,1036,95.0,1123,87.0,1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,150.0,674,185.0,700,,,94.0,989,92.0,1099,58.0,1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,185.0,633,150.0,677,,,93.0,985,93.0,1045,89.0,1154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,186.0,569,186.0,637,,,89.0,984,96.0,1041,93.0,1143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,165.5,538,151.0,469,,,58.0,983,57.0,1040,59.0,1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,162.5,512,187.0,432,,,61.0,977,91.0,1005,94.0,1084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,164.5,503,188.0,429,,,57.0,949,58.0,993,57.0,1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,160.5,502,162.5,421,,,91.0,898,98.0,941,96.0,1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,163.5,446,161.5,396,,,98.0,861,59.0,930,98.0,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,161.5,438,164.5,384,,,96.0,854,94.0,919,91.0,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,188.0,424,160.5,368,,,55.0,851,55.0,887,97.0,969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,151.0,419,163.5,362,,,97.0,842,56.0,875,56.0,958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,167.5,394,165.5,355,,,56.0,791,97.0,852,55.0,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,187.0,389,190.0,310,,,54.0,765,105.0,778,105.0,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,159.5,381,159.5,305,,,110.0,658,110.0,728,54.0,772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,173.5,381,158.5,303,,,103.0,615,54.0,725,110.0,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
