APPROX_EVENT_DAY,Frequency,EVENT_AGE,Frequency,ATC,Frequency,VNR,Frequency,Substance,Frequency,MedicineName,Frequency,PackageSize,Frequency,DDDPerPack,Frequency,Dosage,Frequency,DosageUnit,Frequency,MERGED_SOURCE,Frequency,OMOP_CONCEPT_ID,Frequency,NOMESCO,Frequency,OMOP_CONCEPT_NAME,Frequency,AdministrationRoute,Frequency
2018-10-22,54,16.898,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-20,54,55.594,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-27,54,55.109,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-02,54,35.82,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-10,54,46.712,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-13,54,47.64,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-30,53,33.425,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-02,53,41.4,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-07,53,56.516,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25,53,30.55,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-23,53,48.527,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-12,53,42.32,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-23,53,33.405,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-26,53,48.754,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,53,59.67,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-06,53,70.92,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-23,53,42.243,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-24,53,64.541,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-29,53,60.965,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-29,53,29.43,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27,53,34.202,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-30,53,59.72,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22,53,61.527,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-03,53,59.78,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-17,53,50.23,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-04,53,50.241,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,53,42.09,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,53,41.627,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-20,53,32.817,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-25,53,50.35,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-12,53,42.665,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-11,53,60.79,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-17,53,49.532,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,53,58.589,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-13,53,51.092,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-14,53,49.97,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-10,53,62.43,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-05,53,39.44,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-07,53,59.158,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-28,53,45.091,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-25,53,59.391,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-27,53,39.41,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,53,72.81,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-22,53,53.162,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-24,53,46.093,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-10,53,51.785,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,52,55.98,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,52,51.774,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05,52,34.966,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,52,35.223,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-27,52,51.558,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-18,52,34.706,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-01,52,28.6,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-21,52,45.231,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-15,52,57.71,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-10,52,39.4,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-14,52,50.567,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-12,52,13.356,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-07,52,56.828,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-10,52,42.843,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,52,61.206,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,52,72.01,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-22,52,42.854,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-04,52,25.972,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,52,41.86,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-22,52,35.76,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-27,52,53.65,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18,52,40.176,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-09,52,35.62,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-09,52,55.15,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-22,52,51.938,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-01,52,47.44,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-12,52,47.38,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-11,52,53.87,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,52,45.211,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-14,52,25.526,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-23,52,60.067,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-07,52,27.125,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-02,52,40.154,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-02,52,47.18,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-10,52,52.552,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-18,52,45.71,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-18,52,50.934,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01,52,65.97,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,52,34.095,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-18,52,45.652,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-20,52,46.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-10,52,32.491,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-25,52,35.01,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-17,52,57.6,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-23,52,14.96,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-20,52,41.146,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-02,52,33.384,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,52,54.649,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-15,52,68.7,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,51,28.16,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-09,51,38.887,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,51,34.188,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-15,51,16.46,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-29,51,28.22,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-24,51,47.216,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-20,51,48.91,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-06,51,51.64,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-25,51,40.554,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-13,51,44.1,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-30,51,45.603,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,51,45.847,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-30,51,56.212,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,51,46.602,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,51,40.384,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-07,51,24.97,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-26,51,68.741,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,51,66.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-21,51,38.12,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-28,51,65.19,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-14,51,51.96,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-07,51,32.784,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-20,51,68.514,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-16,51,38.06,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-17,51,62.819,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-10,51,40.116,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-15,51,42.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-25,51,38.465,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-02,51,36.852,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-19,51,36.57,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-26,51,36.56,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30,51,48.891,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-08,51,35.834,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-30,51,28.97,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-27,51,43.01,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-30,51,38.232,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-14,51,16.94,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-10,51,40.718,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-16,51,33.512,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-28,51,43.169,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-04,51,61.883,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-08,51,64.673,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,51,28.85,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,51,40.521,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-29,51,35.894,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-08,51,38.81,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-26,51,36.696,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-02,51,59.101,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-03,51,33.824,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-04,51,32.83,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-06,51,58.775,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-12,51,42.983,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-21,51,36.357,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-16,51,52.245,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-08,51,44.59,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,50,45.148,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,50,34.859,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,50,34.15,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-22,50,44.51,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-06,50,50.641,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-07,50,28.696,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-09,50,44.42,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-15,50,42.528,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-27,50,51.205,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-22,50,41.972,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-05,50,42.95,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-05,50,44.313,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-04,50,49.811,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-30,50,55.911,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-21,50,68.93,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-08,50,35.388,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-02,50,38.9,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-07,50,58.761,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-18,50,63.167,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-25,50,52.878,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-18,50,40.061,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,50,39.612,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-05,50,55.049,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,50,26.229,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-06,50,36.39,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-29,50,53.201,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-03,50,30.317,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,50,46.66,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-24,50,66.31,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,50,28.286,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-08,50,46.58,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-11,50,46.328,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-11,50,57.099,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,50,47.366,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-04,50,47.3,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-04,50,36.05,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-30,50,46.43,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,50,32.376,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-14,50,30.301,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-03,50,68.04,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,50,43.905,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-28,50,59.936,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-27,50,46.304,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-25,50,39.634,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-15,50,53.214,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-11,50,52.661,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-09,50,61.168,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-19,50,45.767,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-21,50,45.762,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-08,50,68.24,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-23,50,54.764,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-26,50,46.767,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-25,50,50.72,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-20,50,37.967,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-21,50,38.517,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-16,50,15.76,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-21,50,39.24,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31,50,64.04,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-30,50,45.707,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08,50,50.81,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-03,49,15.71,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-22,49,55.555,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-14,49,38.996,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-25,49,39.13,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-06,49,36.937,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-20,49,37.742,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-23,49,39.319,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-12,49,55.542,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-14,49,62.731,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-04,49,30.843,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,49,31.642,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-20,49,45.729,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-13,49,39.325,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-06,49,54.737,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-09,49,45.962,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-04,49,49.48,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-20,49,37.54,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-14,49,48.338,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-19,49,48.579,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-15,49,40.261,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,49,43.7,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-26,49,51.903,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,49,47.525,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-05,49,32.658,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-17,49,46.969,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-18,49,49.34,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-30,49,40.248,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-17,49,52.65,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-05,49,43.098,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-27,49,60.097,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-12,49,29.709,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-26,49,51.925,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25,49,54.17,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-28,49,41.011,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-04,49,49.595,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-08,49,38.588,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-04,49,29.947,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,49,64.53,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-21,49,66.08,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-07,49,52.708,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-27,49,33.666,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-02,49,70.367,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-19,49,56.763,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-05,49,27.719,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-06,49,55.966,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-14,49,43.284,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26,49,51.021,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-22,49,37.312,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-01,49,37.553,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-04,49,29.78,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-29,49,56.993,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14,49,34.692,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-17,49,42.26,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-11,49,42.23,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-23,49,41.449,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-05,49,61.773,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-17,49,48.516,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-13,49,38.142,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-14,49,71.194,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-19,49,36.532,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-22,49,60.53,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-03,49,40.82,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-02,49,50.26,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-25,49,46.914,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-05,49,58.164,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-13,49,40.65,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-03,49,53.918,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-28,49,40.68,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-04,49,13.857,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-16,49,29.29,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-06,48,47.922,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,48,55.528,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,48,59.92,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-29,48,61.508,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-09,48,70.332,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-18,48,59.98,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-24,48,40.888,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-21,48,27.508,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-05,48,57.559,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-26,48,63.306,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-30,48,50.52,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-25,48,30.03,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,48,29.08,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-03,48,29.307,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-14,48,20.433,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-10,48,42.211,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-05,48,42.695,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-24,48,70.105,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-10,48,42.213,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-12,48,55.733,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-04,48,62.764,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-19,48,55.81,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-17,48,23.04,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-19,48,33.52,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-30,48,50.988,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-10,48,58.896,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-16,48,68.385,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-21,48,49.967,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-24,48,28.587,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02,48,52.374,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-29,48,45.261,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-21,48,62.063,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-14,48,69.27,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-13,48,45.14,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-10,48,46.066,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-25,48,36.491,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-06,48,69.22,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-30,48,35.464,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-01,48,43.67,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-06,48,61.253,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-27,48,30.254,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-26,48,30.016,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15,48,34.709,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-18,48,44.431,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-11,48,50.789,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-25,48,49.926,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-05,48,14.382,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,48,39.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-09,48,31.67,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-19,48,59.18,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,48,53.179,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-09,48,60.13,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-13,48,35.267,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-22,48,57.603,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,48,52.387,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-24,48,43.404,11,,,,,,,,,,,,,,,,,,,,,,,,,,
