APPROX_EVENT_DAY,Frequency,EVENT_AGE,Frequency,ATC,Frequency,VNR,Frequency,Substance,Frequency,MedicineName,Frequency,PackageSize,Frequency,DDDPerPack,Frequency,Dosage,Frequency,DosageUnit,Frequency,MERGED_SOURCE,Frequency,OMOP_CONCEPT_ID,Frequency,NOMESCO,Frequency,OMOP_CONCEPT_NAME,Frequency,AdministrationRoute,Frequency
2020-12-13,63,56.765,15,,,,,,,,,,,,,280.0,51,,,,,,,,,,,,
2021-10-20,63,57.581,15,,,,,,,,,,,,,720.0,48,,,,,,,,,,,,
2018-06-04,63,40.88,15,,,,,,,,,,,,,11.0,48,,,,,,,,,,,,
2021-12-17,63,40.71,15,,,,,,,,,,,,,580.0,47,,,,,,,,,,,,
2021-04-07,63,57.789,15,,,,,,,,,,,,,5.0,44,,,,,,,,,,,,
2023-01-12,63,39.61,15,,,,,,,,,,,,,160.0,43,,,,,,,,,,,,
2018-02-01,63,57.37,15,,,,,,,,,,,,,180.0,43,,,,,,,,,,,,
2021-06-24,63,43.81,15,,,,,,,,,,,,,1.0,42,,,,,,,,,,,,
2021-06-12,63,33.06,15,,,,,,,,,,,,,75.0,41,,,,,,,,,,,,
2021-11-21,62,39.3,15,,,,,,,,,,,,,630.0,38,,,,,,,,,,,,
2022-03-17,62,39.5,15,,,,,,,,,,,,,2000.0,37,,,,,,,,,,,,
2020-12-08,62,53.181,15,,,,,,,,,,,,,760.0,37,,,,,,,,,,,,
2018-11-04,62,41.94,15,,,,,,,,,,,,,420.0,35,,,,,,,,,,,,
2021-09-13,62,44.201,15,,,,,,,,,,,,,20.0,32,,,,,,,,,,,,
2021-09-14,62,35.032,15,,,,,,,,,,,,,240.0,25,,,,,,,,,,,,
2021-10-06,62,37.14,15,,,,,,,,,,,,,1040.0,23,,,,,,,,,,,,
2021-10-10,62,43.834,15,,,,,,,,,,,,,1100.0,21,,,,,,,,,,,,
2021-09-24,62,24.962,15,,,,,,,,,,,,,688.0,20,,,,,,,,,,,,
2022-07-15,62,31.489,15,,,,,,,,,,,,,175.0,17,,,,,,,,,,,,
2021-12-07,62,55.32,15,,,,,,,,,,,,,260.0,17,,,,,,,,,,,,
2021-04-04,62,53.08,15,,,,,,,,,,,,,780.0,16,,,,,,,,,,,,
2021-02-17,62,53.611,15,,,,,,,,,,,,,900.0,14,,,,,,,,,,,,
2018-09-25,62,33.789,15,,,,,,,,,,,,,330.0,12,,,,,,,,,,,,
2021-08-26,62,31.36,15,,,,,,,,,,,,,320.0,12,,,,,,,,,,,,
2022-07-04,61,62.477,15,,,,,,,,,,,,,1500.0,11,,,,,,,,,,,,
2022-05-08,61,32.948,15,,,,,,,,,,,,,3.0,10,,,,,,,,,,,,
2021-11-19,61,41.17,15,,,,,,,,,,,,,12.5,10,,,,,,,,,,,,
2022-01-26,61,51.24,15,,,,,,,,,,,,,550.0,8,,,,,,,,,,,,
2022-01-31,61,55.618,15,,,,,,,,,,,,,220.0,8,,,,,,,,,,,,
2020-02-06,61,44.138,15,,,,,,,,,,,,,540.0,8,,,,,,,,,,,,
2022-09-06,61,32.62,15,,,,,,,,,,,,,576.0,7,,,,,,,,,,,,
2022-09-09,61,44.39,15,,,,,,,,,,,,,370.0,6,,,,,,,,,,,,
2021-10-29,61,32.37,15,,,,,,,,,,,,,185.0,6,,,,,,,,,,,,
2021-09-11,61,42.64,15,,,,,,,,,,,,,270.0,5,,,,,,,,,,,,
2022-09-12,61,58.66,15,,,,,,,,,,,,,130.0,5,,,,,,,,,,,,
2020-11-29,61,46.75,15,,,,,,,,,,,,,912.0,5,,,,,,,,,,,,
2021-08-05,61,24.48,15,,,,,,,,,,,,,380.0,5,,,,,,,,,,,,
2021-08-11,61,25.89,14,,,,,,,,,,,,,275.0,5,,,,,,,,,,,,
2021-01-12,60,55.301,14,,,,,,,,,,,,,650.0,5,,,,,,,,,,,,
2020-08-11,60,61.921,14,,,,,,,,,,,,,740.0,5,,,,,,,,,,,,
2022-03-28,60,32.6,14,,,,,,,,,,,,,1710.0,5,,,,,,,,,,,,
2021-03-20,60,52.47,14,,,,,,,,,,,,,List truncated...,,,,,,,,,,,,,
2021-05-13,60,54.03,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-19,60,38.315,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-27,60,41.663,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-16,60,59.44,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-03,60,36.513,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-20,60,51.051,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-27,60,62.03,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-12,60,46.917,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-20,60,60.62,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-20,60,37.129,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-01,59,29.786,14,,,,,,,,,,,,,,,,,,,,,,,,,,
