SOURCE	CODE1	CODE2	CODE3	vocabulary	n_events	n_patients
CANC	C001	8070	3	canc	27	27
CANC	C019	8070	3	canc	20	20
CANC	C021	8070	3	canc	38	38
CANC	C029	8070	3	canc	22	22
CANC	C031	8070	3	canc	9	9
CANC	C049	8070	3	canc	19	19
CANC	C060	8070	3	canc	7	7
CANC	C069	8070	3	canc	11	11
CANC	C079	8550	3	canc	14	14
CANC	C079	9699	3	canc	6	6
CANC	C090	8070	3	canc	11	11
CANC	C099	8070	3	canc	45	45
CANC	C119	8070	3	canc	7	7
CANC	C139	8070	3	canc	13	13
CANC	C155	8070	3	canc	8	8
CANC	C155	8140	3	canc	18	18
CANC	C159	8000	3	canc	7	7
CANC	C159	8070	3	canc	54	54
CANC	C159	8140	3	canc	24	24
CANC	C160	8140	3	canc	39	39
CANC	C160	8144	3	canc	11	11
CANC	C160	8145	3	canc	11	11
CANC	C162	8140	3	canc	7	7
CANC	C162	8144	3	canc	6	6
CANC	C162	8145	3	canc	11	11
CANC	C162	8240	3	canc	7	7
CANC	C163	8145	3	canc	8	8
CANC	C169	8000	3	canc	8	8
CANC	C169	8140	3	canc	52	52
CANC	C169	8144	3	canc	9	9
CANC	C169	8145	3	canc	39	39
CANC	C169	8240	3	canc	13	13
CANC	C169	8480	3	canc	13	13
CANC	C169	8936	1	canc	13	13
CANC	C169	8936	3	canc	10	10
CANC	C169	9591	3	canc	6	6
CANC	C169	9680	3	canc	10	10
CANC	C169	9699	3	canc	8	8
CANC	C172	8240	3	canc	25	25
CANC	C172	8249	3	canc	11	11
CANC	C179	8240	3	canc	23	23
CANC	C179	8249	3	canc	9	9
CANC	C180	8140	3	canc	130	130
CANC	C180	8263	2	canc	11	11
CANC	C180	8480	3	canc	21	21
CANC	C181	8140	3	canc	8	8
CANC	C181	8240	3	canc	22	22
CANC	C181	8480	1	canc	14	14
CANC	C181	8480	3	canc	28	28
CANC	C182	8140	3	canc	143	143
CANC	C182	8240	3	canc	27	27
CANC	C182	8480	3	canc	20	20
CANC	C183	8140	3	canc	37	37
CANC	C184	8140	3	canc	59	59
CANC	C184	8480	3	canc	8	8
CANC	C185	8140	3	canc	18	18
CANC	C186	8140	3	canc	27	27
CANC	C187	8140	3	canc	264	264
CANC	C187	8211	2	canc	8	8
CANC	C187	8263	2	canc	9	9
CANC	C187	8480	3	canc	14	14
CANC	C188	8140	3	canc	12	12
CANC	C189	8140	3	canc	89	89
CANC	C189	8211	2	canc	7	7
CANC	C189	8480	3	canc	8	8
CANC	C199	8140	3	canc	85	85
CANC	C209	8000	3	canc	9	9
CANC	C209	8070	3	canc	7	7
CANC	C209	8140	3	canc	541	541
CANC	C209	8148	2	canc	11	11
CANC	C209	8211	2	canc	13	13
CANC	C209	8240	3	canc	9	9
CANC	C209	8263	2	canc	13	13
CANC	C209	8480	3	canc	24	24
CANC	C210	8070	3	canc	7	7
CANC	C211	8070	3	canc	9	9
CANC	C220	8000	3	canc	31	31
CANC	C220	8170	3	canc	87	87
CANC	C221	8160	3	canc	32	32
CANC	C239	8000	3	canc	6	6
CANC	C239	8140	3	canc	21	21
CANC	C240	8140	3	canc	6	6
CANC	C240	8160	3	canc	11	11
CANC	C241	8140	3	canc	10	10
CANC	C249	8000	3	canc	14	14
CANC	C249	8160	3	canc	10	10
CANC	C250	8000	3	canc	15	15
CANC	C250	8140	3	canc	36	36
CANC	C250	8500	3	canc	12	12
CANC	C251	8000	3	canc	6	6
CANC	C251	8140	3	canc	13	13
CANC	C252	8000	3	canc	8	8
CANC	C252	8140	3	canc	10	10
CANC	C259	8000	3	canc	95	95
CANC	C259	8010	3	canc	10	10
CANC	C259	8140	3	canc	99	99
CANC	C259	8240	3	canc	14	14
CANC	C259	8249	3	canc	10	10
CANC	C259	8500	3	canc	26	26
CANC	C269	8000	3	canc	10	10
CANC	C269	8140	3	canc	13	13
CANC	C300	8070	3	canc	8	8
CANC	C320	8070	3	canc	42	42
CANC	C321	8070	3	canc	11	11
CANC	C329	8070	3	canc	32	32
CANC	C340	8041	3	canc	18	18
CANC	C340	8070	3	canc	6	6
CANC	C341	8000	3	canc	37	37
CANC	C341	8010	3	canc	9	9
CANC	C341	8041	3	canc	30	30
CANC	C341	8046	3	canc	10	10
CANC	C341	8070	3	canc	80	80
CANC	C341	8140	3	canc	151	150
CANC	C341	8240	3	canc	7	7
CANC	C341	8250	3	canc	10	10
CANC	C341	8551	3	canc	11	11
CANC	C342	8070	3	canc	6	6
CANC	C342	8140	3	canc	12	12
CANC	C343	8000	3	canc	22	22
CANC	C343	8041	3	canc	16	16
CANC	C343	8070	3	canc	80	80
CANC	C343	8140	3	canc	85	85
CANC	C343	8240	3	canc	7	7
CANC	C343	8480	3	canc	6	6
CANC	C343	8551	3	canc	8	8
CANC	C349	8000	3	canc	214	214
CANC	C349	8010	3	canc	41	41
CANC	C349	8041	3	canc	95	95
CANC	C349	8046	3	canc	11	11
CANC	C349	8070	3	canc	173	173
CANC	C349	8140	3	canc	147	147
CANC	C349	8240	3	canc	8	8
CANC	C349	8250	3	canc	11	11
CANC	C384	9050	3	canc	26	26
