DRUG,Frequency,DRUG_DEF,Frequency,VACCINE_PROTECTION,Frequency,PRODUCT_NUMBER,Frequency,METHOD,Frequency,INJECTION_SITE,Frequency,COVID,Frequency,VACCINATION_AGE,Frequency,APPROX_VACCINATION_DATE,Frequency
,,,,,,,,,,,,,,73.78,1449,2021-04-09,3946
,,,,,,,,,,,,,,68.22,1449,2018-11-07,3935
,,,,,,,,,,,,,,74.5,1448,2018-11-09,3928
,,,,,,,,,,,,,,69.26,1448,2018-11-12,3927
,,,,,,,,,,,,,,68.55,1448,2022-10-24,3922
,,,,,,,,,,,,,,72.65,1447,2018-11-11,3912
,,,,,,,,,,,,,,67.16,1447,2018-11-15,3895
,,,,,,,,,,,,,,75.13,1447,2021-07-24,3893
,,,,,,,,,,,,,,75.1,1447,2023-10-28,3883
,,,,,,,,,,,,,,71.42,1446,2019-11-21,3883
,,,,,,,,,,,,,,71.79,1446,2022-12-03,3881
,,,,,,,,,,,,,,68.97,1446,2021-04-07,3871
,,,,,,,,,,,,,,70.76,1444,2022-01-25,3867
,,,,,,,,,,,,,,67.27,1444,2021-10-25,3867
,,,,,,,,,,,,,,71.5,1444,2020-11-02,3859
,,,,,,,,,,,,,,66.24,1444,2021-04-11,3855
,,,,,,,,,,,,,,72.16,1443,2017-11-15,3851
,,,,,,,,,,,,,,71.47,1443,2017-11-12,3847
,,,,,,,,,,,,,,73.31,1443,2018-11-16,3847
,,,,,,,,,,,,,,73.47,1443,2017-11-14,3837
,,,,,,,,,,,,,,66.19,1443,2021-04-06,3837
,,,,,,,,,,,,,,74.82,1442,2024-11-20,3833
,,,,,,,,,,,,,,65.63,1442,2019-11-29,3830
,,,,,,,,,,,,,,68.09,1442,2017-11-10,3823
,,,,,,,,,,,,,,70.93,1441,2016-11-17,3821
,,,,,,,,,,,,,,72.68,1441,2021-04-10,3820
,,,,,,,,,,,,,,67.63,1441,2016-11-15,3813
,,,,,,,,,,,,,,67.65,1441,2017-11-09,3810
,,,,,,,,,,,,,,70.07,1441,2020-11-19,3810
,,,,,,,,,,,,,,71.1,1441,2018-11-17,3809
,,,,,,,,,,,,,,69.83,1440,2019-11-20,3798
,,,,,,,,,,,,,,73.67,1440,2021-07-30,3793
,,,,,,,,,,,,,,67.22,1439,2017-11-07,3791
,,,,,,,,,,,,,,68.95,1439,2016-11-10,3784
,,,,,,,,,,,,,,74.49,1438,2018-11-18,3783
,,,,,,,,,,,,,,70.84,1438,2021-08-03,3766
,,,,,,,,,,,,,,73.34,1438,2021-08-04,3760
,,,,,,,,,,,,,,66.59,1438,2019-11-19,3758
,,,,,,,,,,,,,,74.27,1437,2018-11-06,3756
,,,,,,,,,,,,,,67.13,1437,2021-08-02,3756
,,,,,,,,,,,,,,71.02,1437,2024-10-03,3751
,,,,,,,,,,,,,,66.41,1437,2019-11-27,3750
,,,,,,,,,,,,,,74.56,1436,2019-11-30,3750
,,,,,,,,,,,,,,74.2,1436,2017-11-13,3745
,,,,,,,,,,,,,,74.66,1435,2016-11-14,3742
,,,,,,,,,,,,,,72.1,1435,2016-11-13,3741
,,,,,,,,,,,,,,71.37,1435,2019-11-23,3731
,,,,,,,,,,,,,,72.42,1434,2022-12-04,3725
,,,,,,,,,,,,,,72.8,1434,2018-11-20,3724
,,,,,,,,,,,,,,70.65,1434,2019-12-02,3724
,,,,,,,,,,,,,,65.44,1434,2019-11-25,3718
,,,,,,,,,,,,,,66.22,1434,2021-04-05,3712
,,,,,,,,,,,,,,66.21,1434,2022-01-26,3693
,,,,,,,,,,,,,,74.7,1433,2018-11-19,3689
,,,,,,,,,,,,,,75.02,1433,2019-11-26,3683
,,,,,,,,,,,,,,65.49,1432,2022-12-05,3677
,,,,,,,,,,,,,,65.29,1432,2017-11-06,3675
,,,,,,,,,,,,,,71.05,1432,2021-08-05,3672
,,,,,,,,,,,,,,68.23,1432,2021-07-31,3669
,,,,,,,,,,,,,,74.84,1431,2017-11-16,3661
,,,,,,,,,,,,,,73.14,1431,2023-10-27,3661
,,,,,,,,,,,,,,71.31,1431,2023-12-09,3659
,,,,,,,,,,,,,,72.33,1430,2019-11-24,3653
,,,,,,,,,,,,,,75.19,1430,2024-10-05,3652
,,,,,,,,,,,,,,72.36,1429,2021-07-25,3649
,,,,,,,,,,,,,,71.62,1428,2019-12-01,3648
,,,,,,,,,,,,,,71.24,1428,2022-12-06,3647
,,,,,,,,,,,,,,70.52,1427,2021-10-23,3647
,,,,,,,,,,,,,,75.7,1427,2019-12-03,3644
,,,,,,,,,,,,,,66.26,1427,2021-10-21,3638
,,,,,,,,,,,,,,73.74,1426,2024-10-06,3633
,,,,,,,,,,,,,,74.87,1425,2024-11-21,3631
,,,,,,,,,,,,,,72.14,1425,2021-10-24,3630
,,,,,,,,,,,,,,69.84,1425,2019-11-22,3629
,,,,,,,,,,,,,,70.96,1425,2017-11-05,3621
,,,,,,,,,,,,,,72.97,1424,2017-11-17,3613
,,,,,,,,,,,,,,67.88,1424,2022-10-23,3613
,,,,,,,,,,,,,,74.52,1423,2018-11-05,3609
,,,,,,,,,,,,,,68.37,1423,2024-10-02,3608
,,,,,,,,,,,,,,69.8,1423,2016-11-11,3605
,,,,,,,,,,,,,,74.67,1422,2020-11-01,3605
,,,,,,,,,,,,,,69.95,1422,2024-10-04,3603
,,,,,,,,,,,,,,74.13,1422,2021-04-02,3603
,,,,,,,,,,,,,,72.6,1422,2020-11-20,3596
,,,,,,,,,,,,,,65.75,1422,2016-11-12,3591
,,,,,,,,,,,,,,71.91,1422,2019-11-18,3578
,,,,,,,,,,,,,,66.27,1422,2021-04-01,3574
,,,,,,,,,,,,,,74.36,1421,2016-11-18,3570
,,,,,,,,,,,,,,65.66,1420,2019-12-04,3566
,,,,,,,,,,,,,,73.29,1420,2016-11-19,3549
,,,,,,,,,,,,,,71.97,1420,2020-10-30,3548
,,,,,,,,,,,,,,74.24,1419,2021-08-06,3548
,,,,,,,,,,,,,,67.82,1419,2021-10-22,3540
,,,,,,,,,,,,,,72.06,1419,2022-10-22,3517
,,,,,,,,,,,,,,72.45,1418,2017-11-19,3516
,,,,,,,,,,,,,,72.62,1418,2017-11-02,3516
,,,,,,,,,,,,,,69.01,1418,2022-10-21,3516
,,,,,,,,,,,,,,67.73,1418,2018-11-04,3512
,,,,,,,,,,,,,,75.68,1418,2021-03-30,3503
,,,,,,,,,,,,,,68.66,1418,2016-11-21,3503
,,,,,,,,,,,,,,66.44,1418,2020-10-31,3495
,,,,,,,,,,,,,,72.31,1417,2018-11-01,3488
,,,,,,,,,,,,,,66.95,1417,2018-11-03,3487
,,,,,,,,,,,,,,66.88,1417,2016-11-22,3481
,,,,,,,,,,,,,,75.44,1416,2016-11-08,3479
,,,,,,,,,,,,,,73.6,1416,2017-11-04,3478
,,,,,,,,,,,,,,66.98,1416,2019-12-05,3476
,,,,,,,,,,,,,,66.76,1416,2016-11-20,3475
,,,,,,,,,,,,,,74.35,1415,2022-10-20,3471
,,,,,,,,,,,,,,67.91,1415,2021-08-01,3466
,,,,,,,,,,,,,,65.55,1415,2018-11-02,3464
,,,,,,,,,,,,,,75.11,1415,2017-11-18,3463
,,,,,,,,,,,,,,75.21,1415,2023-10-26,3462
,,,,,,,,,,,,,,75.38,1415,2021-04-03,3459
,,,,,,,,,,,,,,73.37,1415,2022-01-27,3453
,,,,,,,,,,,,,,73.32,1415,2017-11-03,3449
,,,,,,,,,,,,,,66.36,1415,2018-11-21,3446
,,,,,,,,,,,,,,72.26,1414,2021-03-31,3442
,,,,,,,,,,,,,,70.01,1414,2017-11-20,3432
,,,,,,,,,,,,,,75.48,1414,2020-11-23,3426
,,,,,,,,,,,,,,65.38,1414,2016-11-09,3423
,,,,,,,,,,,,,,68.85,1414,2021-08-10,3418
,,,,,,,,,,,,,,67.19,1413,2024-10-01,3400
,,,,,,,,,,,,,,71.18,1413,2021-10-20,3397
,,,,,,,,,,,,,,66.82,1413,2019-11-17,3375
,,,,,,,,,,,,,,73.44,1412,2021-04-04,3373
,,,,,,,,,,,,,,74.85,1411,2020-10-29,3360
,,,,,,,,,,,,,,66.09,1411,2017-11-01,3358
,,,,,,,,,,,,,,72.48,1411,2021-08-09,3352
,,,,,,,,,,,,,,74.16,1411,2021-08-12,3349
,,,,,,,,,,,,,,65.34,1411,2022-12-07,3348
,,,,,,,,,,,,,,74.75,1409,2023-12-10,3347
,,,,,,,,,,,,,,69.86,1409,2020-11-21,3347
,,,,,,,,,,,,,,73.97,1409,2021-08-07,3338
,,,,,,,,,,,,,,73.98,1409,2020-11-22,3328
,,,,,,,,,,,,,,74.64,1408,2021-08-11,3322
,,,,,,,,,,,,,,70.72,1408,2017-11-21,3310
,,,,,,,,,,,,,,71.93,1408,2016-11-23,3290
,,,,,,,,,,,,,,70.95,1407,2020-10-28,3285
,,,,,,,,,,,,,,69.09,1407,2024-11-22,3278
,,,,,,,,,,,,,,67.83,1407,2019-12-06,3275
,,,,,,,,,,,,,,73.69,1407,2020-11-24,3269
,,,,,,,,,,,,,,68.08,1407,2019-11-16,3267
,,,,,,,,,,,,,,66.78,1407,2019-12-07,3262
,,,,,,,,,,,,,,72.85,1406,2022-12-08,3254
,,,,,,,,,,,,,,75.22,1406,2018-10-31,3253
,,,,,,,,,,,,,,66.93,1406,2019-11-15,3250
,,,,,,,,,,,,,,67.86,1405,2016-11-07,3246
,,,,,,,,,,,,,,65.95,1405,2021-08-08,3241
,,,,,,,,,,,,,,66.9,1405,2015-11-17,3232
,,,,,,,,,,,,,,68.11,1405,2021-03-18,3217
,,,,,,,,,,,,,,74.46,1404,2021-03-16,3214
,,,,,,,,,,,,,,72.77,1404,2021-03-29,3211
,,,,,,,,,,,,,,69.06,1404,2024-09-30,3207
,,,,,,,,,,,,,,75.71,1404,2019-12-08,3201
,,,,,,,,,,,,,,66.99,1403,2021-08-13,3201
,,,,,,,,,,,,,,68.88,1403,2015-11-18,3197
,,,,,,,,,,,,,,75.62,1402,2021-10-19,3195
,,,,,,,,,,,,,,71.74,1402,2018-11-22,3192
,,,,,,,,,,,,,,73.35,1402,2023-10-25,3188
,,,,,,,,,,,,,,71.94,1402,2021-03-24,3159
,,,,,,,,,,,,,,74.55,1401,2016-11-24,3159
,,,,,,,,,,,,,,74.53,1401,2024-11-23,3154
,,,,,,,,,,,,,,67.33,1401,2021-03-17,3136
,,,,,,,,,,,,,,73.23,1401,2023-12-11,3127
,,,,,,,,,,,,,,73.92,1400,2021-03-26,3126
,,,,,,,,,,,,,,69.4,1400,2021-03-25,3118
,,,,,,,,,,,,,,72.89,1399,2015-11-12,3116
,,,,,,,,,,,,,,74.78,1398,2021-03-28,3110
,,,,,,,,,,,,,,67.01,1398,2021-08-14,3108
,,,,,,,,,,,,,,65.76,1398,2020-11-25,3107
,,,,,,,,,,,,,,75.45,1398,2015-11-20,3088
,,,,,,,,,,,,,,74.58,1397,2021-08-16,3086
,,,,,,,,,,,,,,67.3,1397,2016-11-25,3085
,,,,,,,,,,,,,,74.73,1397,2017-10-31,3078
,,,,,,,,,,,,,,65.7,1397,2022-10-19,3075
,,,,,,,,,,,,,,72.37,1397,2021-03-27,3073
,,,,,,,,,,,,,,65.2,1396,2015-11-16,3071
,,,,,,,,,,,,,,75.36,1396,2021-03-23,3067
,,,,,,,,,,,,,,75.31,1396,2021-08-18,3066
,,,,,,,,,,,,,,65.14,1396,2021-03-11,3057
,,,,,,,,,,,,,,71.88,1396,2015-11-19,3057
,,,,,,,,,,,,,,72.83,1395,2019-12-09,3055
,,,,,,,,,,,,,,72.05,1395,2021-03-19,3055
,,,,,,,,,,,,,,68.06,1395,2020-10-27,3052
,,,,,,,,,,,,,,72.98,1394,2017-11-22,3051
,,,,,,,,,,,,,,74.12,1394,2015-11-13,3048
,,,,,,,,,,,,,,75.34,1394,2019-11-14,3047
,,,,,,,,,,,,,,74.96,1393,2022-01-28,3040
,,,,,,,,,,,,,,75.74,1393,2018-10-30,3037
,,,,,,,,,,,,,,67.11,1392,2015-11-15,3031
,,,,,,,,,,,,,,72.94,1390,2021-03-09,3025
,,,,,,,,,,,,,,72.11,1390,2021-08-17,3020
,,,,,,,,,,,,,,65.61,1390,2021-10-18,3013
,,,,,,,,,,,,,,75.67,1390,2023-12-12,3006
,,,,,,,,,,,,,,71.08,1390,2022-12-09,3004
,,,,,,,,,,,,,,66.81,1390,2015-11-14,3002
,,,,,,,,,,,,,,67.25,1389,2021-03-12,2987
,,,,,,,,,,,,,,65.98,1389,2015-11-11,2981
,,,,,,,,,,,,,,75.15,1389,2016-11-05,2971
,,,,,,,,,,,,,,71.21,1389,2019-12-10,2969
,,,,,,,,,,,,,,72.02,1388,2015-11-21,2969
,,,,,,,,,,,,,,65.64,1388,2015-11-10,2966
,,,,,,,,,,,,,,65.35,1388,2021-03-20,2952
,,,,,,,,,,,,,,73.02,1388,2018-11-23,2951
,,,,,,,,,,,,,,66.79,1388,2015-11-23,2951
,,,,,,,,,,,,,,66.75,1388,2021-03-22,2934
,,,,,,,,,,,,,,72.95,1387,2020-11-26,2931
,,,,,,,,,,,,,,67.97,1387,2021-03-05,2924
,,,,,,,,,,,,,,67.02,1387,2024-11-24,2924
,,,,,,,,,,,,,,71.85,1387,2024-11-26,2917
,,,,,,,,,,,,,,74.72,1385,2017-10-30,2916
,,,,,,,,,,,,,,67.94,1385,2021-03-15,2910
,,,,,,,,,,,,,,75.01,1385,2021-03-10,2903
,,,,,,,,,,,,,,65.06,1385,2021-03-03,2902
,,,,,,,,,,,,,,66.18,1384,2016-11-06,2902
,,,,,,,,,,,,,,72.03,1383,2016-11-03,2899
,,,,,,,,,,,,,,65.23,1383,2015-11-22,2895
,,,,,,,,,,,,,,73.57,1383,2019-11-13,2895
,,,,,,,,,,,,,,68.91,1382,2024-09-26,2887
,,,,,,,,,,,,,,73.0,1381,2022-01-29,2886
,,,,,,,,,,,,,,74.38,1380,2021-08-15,2886
,,,,,,,,,,,,,,76.25,1380,2021-03-13,2884
,,,,,,,,,,,,,,70.88,1380,2024-09-29,2882
,,,,,,,,,,,,,,75.27,1380,2024-11-25,2882
,,,,,,,,,,,,,,66.32,1380,2015-11-09,2876
,,,,,,,,,,,,,,75.77,1379,2016-11-26,2875
,,,,,,,,,,,,,,73.58,1379,2022-10-18,2859
,,,,,,,,,,,,,,66.72,1379,2017-11-23,2855
,,,,,,,,,,,,,,66.84,1379,2021-03-04,2855
,,,,,,,,,,,,,,67.7,1378,2021-03-14,2854
,,,,,,,,,,,,,,65.12,1378,2021-03-07,2852
,,,,,,,,,,,,,,74.81,1376,2016-11-29,2852
,,,,,,,,,,,,,,73.89,1375,2021-03-21,2844
,,,,,,,,,,,,,,65.03,1375,2023-12-13,2842
,,,,,,,,,,,,,,72.92,1374,2015-11-24,2842
,,,,,,,,,,,,,,65.4,1374,2016-11-28,2833
,,,,,,,,,,,,,,75.28,1374,2018-10-29,2822
,,,,,,,,,,,,,,67.9,1373,2021-08-19,2822
,,,,,,,,,,,,,,73.09,1373,2021-03-06,2820
,,,,,,,,,,,,,,71.01,1373,2021-08-20,2819
,,,,,,,,,,,,,,72.28,1372,2024-09-28,2814
,,,,,,,,,,,,,,67.37,1372,2021-03-08,2803
,,,,,,,,,,,,,,73.86,1372,2016-11-04,2798
,,,,,,,,,,,,,,66.33,1372,2020-10-26,2798
,,,,,,,,,,,,,,67.8,1371,2021-03-02,2780
,,,,,,,,,,,,,,75.76,1371,2024-09-27,2770
,,,,,,,,,,,,,,73.12,1371,2021-08-21,2761
,,,,,,,,,,,,,,71.99,1371,2018-11-24,2747
,,,,,,,,,,,,,,68.86,1371,2015-11-25,2743
,,,,,,,,,,,,,,68.02,1371,2023-10-24,2736
,,,,,,,,,,,,,,74.93,1370,2021-08-22,2735
,,,,,,,,,,,,,,65.5,1370,2018-10-28,2726
,,,,,,,,,,,,,,65.24,1370,2021-03-01,2713
,,,,,,,,,,,,,,70.9,1369,2022-12-10,2713
,,,,,,,,,,,,,,65.37,1369,2016-11-27,2713
,,,,,,,,,,,,,,74.62,1368,2015-11-08,2707
,,,,,,,,,,,,,,65.32,1368,2021-08-23,2688
,,,,,,,,,,,,,,66.35,1368,2024-11-27,2675
,,,,,,,,,,,,,,74.01,1366,2021-08-24,2672
,,,,,,,,,,,,,,65.73,1366,2021-10-17,2669
,,,,,,,,,,,,,,66.16,1366,2022-01-30,2663
,,,,,,,,,,,,,,74.15,1365,2017-10-29,2651
,,,,,,,,,,,,,,65.92,1365,2016-11-02,2649
,,,,,,,,,,,,,,65.27,1365,2024-09-25,2645
,,,,,,,,,,,,,,73.03,1365,2021-08-25,2632
,,,,,,,,,,,,,,76.2,1363,2024-09-24,2631
,,,,,,,,,,,,,,65.47,1363,2021-10-16,2623
,,,,,,,,,,,,,,65.31,1363,2022-10-17,2619
,,,,,,,,,,,,,,66.91,1363,2017-10-28,2617
,,,,,,,,,,,,,,70.98,1362,2021-08-26,2615
,,,,,,,,,,,,,,74.1,1361,2017-11-24,2611
,,,,,,,,,,,,,,67.77,1361,2016-11-30,2606
,,,,,,,,,,,,,,74.47,1360,2020-11-27,2603
,,,,,,,,,,,,,,76.31,1360,2019-11-12,2589
,,,,,,,,,,,,,,73.61,1360,2022-01-31,2586
,,,,,,,,,,,,,,71.07,1359,2018-11-26,2579
,,,,,,,,,,,,,,65.8,1358,2015-11-26,2579
,,,,,,,,,,,,,,72.08,1357,2015-11-06,2574
,,,,,,,,,,,,,,71.9,1357,2020-10-23,2571
,,,,,,,,,,,,,,74.95,1356,2021-02-26,2571
,,,,,,,,,,,,,,65.6,1356,2022-12-12,2568
,,,,,,,,,,,,,,65.84,1355,2019-12-11,2563
,,,,,,,,,,,,,,75.07,1355,2017-10-27,2559
,,,,,,,,,,,,,,76.34,1354,2017-10-26,2556
,,,,,,,,,,,,,,70.92,1354,2021-10-14,2554
,,,,,,,,,,,,,,73.84,1354,2021-10-15,2552
,,,,,,,,,,,,,,72.88,1352,2020-10-24,2550
,,,,,,,,,,,,,,74.0,1351,2015-11-07,2548
,,,,,,,,,,,,,,65.41,1351,2022-12-11,2539
,,,,,,,,,,,,,,66.3,1351,2018-11-25,2534
,,,,,,,,,,,,,,76.36,1350,2021-02-28,2531
,,,,,,,,,,,,,,65.46,1349,2018-11-27,2529
,,,,,,,,,,,,,,67.04,1349,2024-11-28,2526
,,,,,,,,,,,,,,65.11,1349,2015-11-27,2523
,,,,,,,,,,,,,,66.29,1349,2020-10-22,2511
,,,,,,,,,,,,,,73.81,1348,2015-11-05,2508
,,,,,,,,,,,,,,73.93,1348,2020-10-25,2504
,,,,,,,,,,,,,,74.92,1347,2022-12-13,2502
,,,,,,,,,,,,,,65.72,1347,2022-02-01,2487
,,,,,,,,,,,,,,73.83,1347,2018-10-27,2484
,,,,,,,,,,,,,,73.95,1347,2021-02-27,2483
,,,,,,,,,,,,,,76.71,1347,2023-12-14,2469
,,,,,,,,,,,,,,66.03,1345,2020-11-28,2466
,,,,,,,,,,,,,,65.17,1345,2021-02-25,2462
,,,,,,,,,,,,,,65.96,1344,2021-08-27,2460
,,,,,,,,,,,,,,68.0,1344,2018-10-26,2444
,,,,,,,,,,,,,,67.93,1343,2021-10-13,2436
,,,,,,,,,,,,,,73.05,1343,2022-12-14,2420
,,,,,,,,,,,,,,76.26,1342,2016-12-01,2419
,,,,,,,,,,,,,,74.03,1342,2015-11-29,2401
,,,,,,,,,,,,,,67.08,1342,2021-02-24,2396
,,,,,,,,,,,,,,65.81,1342,2015-11-04,2388
,,,,,,,,,,,,,,66.12,1342,2015-11-28,2388
,,,,,,,,,,,,,,67.1,1341,2014-11-17,2386
,,,,,,,,,,,,,,74.07,1341,2015-11-30,2386
,,,,,,,,,,,,,,67.05,1341,2014-11-18,2382
,,,,,,,,,,,,,,73.54,1341,2017-10-25,2380
,,,,,,,,,,,,,,65.0,1340,2021-08-29,2377
,,,,,,,,,,,,,,74.09,1340,2017-11-27,2373
,,,,,,,,,,,,,,65.09,1340,2014-11-13,2365
,,,,,,,,,,,,,,65.18,1340,2024-09-23,2364
,,,,,,,,,,,,,,74.89,1339,2023-10-23,2363
,,,,,,,,,,,,,,72.0,1339,2021-10-12,2360
,,,,,,,,,,,,,,65.83,1339,2017-11-25,2346
,,,,,,,,,,,,,,76.28,1336,2020-11-29,2346
,,,,,,,,,,,,,,65.15,1336,2017-11-26,2345
,,,,,,,,,,,,,,73.9,1335,2014-11-20,2341
,,,,,,,,,,,,,,71.87,1334,2016-11-01,2339
,,,,,,,,,,,,,,76.69,1333,2021-08-28,2337
,,,,,,,,,,,,,,76.14,1332,2022-10-16,2332
,,,,,,,,,,,,,,66.85,1332,2020-10-21,2332
,,,,,,,,,,,,,,73.11,1331,2014-11-16,2312
,,,,,,,,,,,,,,74.9,1330,2024-11-29,2309
,,,,,,,,,,,,,,65.99,1330,2023-12-15,2303
,,,,,,,,,,,,,,76.17,1329,2014-11-14,2297
,,,,,,,,,,,,,,66.01,1328,2021-02-23,2296
,,,,,,,,,,,,,,75.88,1328,2021-08-30,2296
,,,,,,,,,,,,,,65.89,1328,2014-11-19,2295
,,,,,,,,,,,,,,69.0,1328,2021-09-01,2292
,,,,,,,,,,,,,,74.06,1325,2020-11-30,2292
,,,,,,,,,,,,,,76.46,1324,2014-11-15,2288
,,,,,,,,,,,,,,65.69,1320,2016-10-31,2280
,,,,,,,,,,,,,,65.93,1320,2015-12-01,2278
,,,,,,,,,,,,,,68.03,1320,2021-08-31,2276
,,,,,,,,,,,,,,66.06,1319,2019-12-12,2274
,,,,,,,,,,,,,,73.21,1319,2019-11-11,2274
,,,,,,,,,,,,,,66.04,1318,2018-10-25,2261
,,,,,,,,,,,,,,75.04,1316,2014-11-11,2253
,,,,,,,,,,,,,,66.13,1316,2014-11-21,2234
,,,,,,,,,,,,,,75.84,1315,2022-02-02,2234
,,,,,,,,,,,,,,65.04,1315,2018-11-28,2192
,,,,,,,,,,,,,,76.22,1314,2024-09-22,2186
,,,,,,,,,,,,,,74.04,1311,2018-10-24,2186
,,,,,,,,,,,,,,74.39,1310,2020-12-01,2177
,,,,,,,,,,,,,,65.21,1309,2014-11-12,2174
,,,,,,,,,,,,,,65.78,1308,2015-11-03,2159
,,,,,,,,,,,,,,76.16,1307,2024-11-30,2158
,,,,,,,,,,,,,,66.1,1307,2021-02-22,2158
,,,,,,,,,,,,,,76.37,1306,2014-11-24,2156
,,,,,,,,,,,,,,65.08,1302,2024-09-20,2155
,,,,,,,,,,,,,,75.8,1302,2014-11-26,2150
,,,,,,,,,,,,,,76.56,1302,2017-11-28,2147
,,,,,,,,,,,,,,65.9,1299,2014-11-10,2145
,,,,,,,,,,,,,,70.87,1297,2013-11-19,2144
,,,,,,,,,,,,,,75.08,1296,2014-11-25,2141
,,,,,,,,,,,,,,75.05,1296,2022-12-15,2134
,,,,,,,,,,,,,,76.33,1295,2016-12-02,2122
,,,,,,,,,,,,,,67.07,1294,2021-10-11,2119
,,,,,,,,,,,,,,76.23,1292,2013-11-18,2116
,,,,,,,,,,,,,,74.98,1289,2014-11-23,2115
,,,,,,,,,,,,,,76.39,1289,2022-08-17,2115
,,,,,,,,,,,,,,66.96,1289,2013-11-15,2109
,,,,,,,,,,,,,,75.79,1285,2013-11-20,2103
,,,,,,,,,,,,,,76.45,1284,2022-10-15,2099
,,,,,,,,,,,,,,76.4,1279,2014-11-22,2096
,,,,,,,,,,,,,,77.17,1279,2024-09-18,2093
,,,,,,,,,,,,,,65.86,1278,2013-11-21,2093
,,,,,,,,,,,,,,76.48,1277,2024-12-01,2092
,,,,,,,,,,,,,,66.87,1274,2022-02-03,2089
,,,,,,,,,,,,,,76.13,1273,2021-09-02,2087
,,,,,,,,,,,,,,76.72,1273,2022-10-14,2079
,,,,,,,,,,,,,,76.42,1272,2021-02-21,2076
,,,,,,,,,,,,,,66.07,1270,2024-09-19,2073
,,,,,,,,,,,,,,76.74,1270,2015-11-02,2069
,,,,,,,,,,,,,,76.19,1269,2020-10-20,2068
,,,,,,,,,,,,,,65.26,1269,2022-08-18,2068
,,,,,,,,,,,,,,76.1,1266,2021-02-18,2066
,,,,,,,,,,,,,,75.99,1263,2022-10-13,2056
,,,,,,,,,,,,,,65.87,1263,2020-12-02,2055
,,,,,,,,,,,,,,73.06,1262,2014-11-09,2042
,,,,,,,,,,,,,,76.43,1258,2022-08-15,2040
,,,,,,,,,,,,,,76.77,1258,2013-11-16,2035
,,,,,,,,,,,,,,76.63,1257,2013-11-14,2034
,,,,,,,,,,,,,,75.9,1255,2023-12-16,2031
,,,,,,,,,,,,,,76.54,1254,2022-08-12,2030
,,,,,,,,,,,,,,74.99,1252,2014-11-07,2028
,,,,,,,,,,,,,,76.92,1252,2024-09-21,2026
,,,,,,,,,,,,,,76.3,1245,2017-11-29,2025
,,,,,,,,,,,,,,76.88,1244,2021-09-07,2024
,,,,,,,,,,,,,,77.31,1242,2022-08-10,2021
,,,,,,,,,,,,,,75.96,1242,2015-12-02,2020
,,,,,,,,,,,,,,76.49,1241,2022-08-16,2016
,,,,,,,,,,,,,,77.18,1240,2021-09-03,2012
,,,,,,,,,,,,,,76.59,1240,2022-12-16,2009
,,,,,,,,,,,,,,76.51,1238,2021-02-20,2008
,,,,,,,,,,,,,,75.91,1237,2021-02-19,2006
,,,,,,,,,,,,,,76.03,1236,2022-08-11,2003
,,,,,,,,,,,,,,77.2,1236,2019-12-13,1996
,,,,,,,,,,,,,,75.94,1234,2022-08-13,1991
,,,,,,,,,,,,,,76.76,1234,2013-11-13,1988
,,,,,,,,,,,,,,0.42,1231,2013-11-17,1982
,,,,,,,,,,,,,,76.79,1231,2014-11-27,1981
,,,,,,,,,,,,,,75.85,1230,2016-10-30,1980
,,,,,,,,,,,,,,76.07,1229,2019-11-10,1978
,,,,,,,,,,,,,,75.87,1229,2014-11-08,1974
,,,,,,,,,,,,,,76.83,1229,2021-10-07,1973
,,,,,,,,,,,,,,76.6,1228,2018-11-29,1972
,,,,,,,,,,,,,,76.85,1227,2022-08-23,1970
,,,,,,,,,,,,,,77.23,1226,2022-08-14,1967
,,,,,,,,,,,,,,75.97,1226,2021-09-06,1965
,,,,,,,,,,,,,,77.48,1226,2023-10-22,1962
,,,,,,,,,,,,,,77.15,1225,2024-12-02,1958
,,,,,,,,,,,,,,76.8,1223,2013-11-12,1956
,,,,,,,,,,,,,,77.09,1223,2020-10-19,1948
,,,,,,,,,,,,,,64.58,1222,2022-10-12,1945
,,,,,,,,,,,,,,76.57,1219,2014-11-06,1944
,,,,,,,,,,,,,,76.86,1217,2022-08-08,1936
,,,,,,,,,,,,,,64.98,1215,2024-12-03,1935
,,,,,,,,,,,,,,77.0,1213,2013-11-25,1932
,,,,,,,,,,,,,,76.05,1212,2022-08-22,1930
,,,,,,,,,,,,,,70.6,1212,2017-10-24,1929
,,,,,,,,,,,,,,77.52,1212,2024-09-17,1926
,,,,,,,,,,,,,,67.55,1211,2023-10-20,1925
,,,,,,,,,,,,,,76.0,1209,2014-11-28,1916
,,,,,,,,,,,,,,77.21,1209,2021-09-08,1915
,,,,,,,,,,,,,,76.68,1207,2022-12-17,1914
,,,,,,,,,,,,,,76.89,1206,2022-12-18,1910
,,,,,,,,,,,,,,76.65,1203,2016-10-29,1910
,,,,,,,,,,,,,,64.54,1202,2013-11-22,1908
,,,,,,,,,,,,,,77.34,1202,2023-10-19,1905
,,,,,,,,,,,,,,71.29,1201,2013-11-23,1903
,,,,,,,,,,,,,,76.82,1201,2022-08-19,1899
,,,,,,,,,,,,,,76.53,1200,2022-08-25,1898
,,,,,,,,,,,,,,71.52,1198,2022-08-09,1898
,,,,,,,,,,,,,,76.62,1198,2023-10-21,1893
,,,,,,,,,,,,,,77.26,1197,2013-11-26,1892
