AGE_AT_DEATH_OR_END_OF_FOLLOWUP,Frequency,batch,Frequency,n_var,Frequency,chip,Frequency,IS_AFFY,Frequency,IS_FINNGEN1_CHIP,Frequency,IS_FINNGEN2_CHIP,Frequency,IS_AFFY_V2P2,Frequency,IS_AFFY_V4,Frequency,IS_AFFY_V6,Frequency,IS_AFFY_V7,Frequency,AGE_AT_DEATH_OR_END_OF_FOLLOWUP2,Frequency,BATCH_AxiomGT1_b01_V4,Frequency,BATCH_AxiomGT1_b02_V4,Frequency,BATCH_AxiomGT1_b03_V4,Frequency,BATCH_AxiomGT1_b04_V4,Frequency,BATCH_AxiomGT1_b05_V4,Frequency,BATCH_AxiomGT1_b06_V4,Frequency,BATCH_AxiomGT1_b07_V4,Frequency,BATCH_AxiomGT1_b08_V4,Frequency,BATCH_AxiomGT1_b09_V4,Frequency,BATCH_AxiomGT1_b10_V4,Frequency,BATCH_AxiomGT1_b100_V6,Frequency,BATCH_AxiomGT1_b101_V6,Frequency,BATCH_AxiomGT1_b102_V6,Frequency,BATCH_AxiomGT1_b103_V7,Frequency,BATCH_AxiomGT1_b104_V7,Frequency,BATCH_AxiomGT1_b105_V7,Frequency,BATCH_AxiomGT1_b106_V7,Frequency,BATCH_AxiomGT1_b107_V7,Frequency,BATCH_AxiomGT1_b108_V7,Frequency,BATCH_AxiomGT1_b109_V7,Frequency,BATCH_AxiomGT1_b11_V4,Frequency,BATCH_AxiomGT1_b110_V7,Frequency,BATCH_AxiomGT1_b111_V7,Frequency,BATCH_AxiomGT1_b112_V7,Frequency,BATCH_AxiomGT1_b113_V7,Frequency,BATCH_AxiomGT1_b12_V4,Frequency,BATCH_AxiomGT1_b13_V4,Frequency,BATCH_AxiomGT1_b14_V4,Frequency,BATCH_AxiomGT1_b15_V4,Frequency,BATCH_AxiomGT1_b16_V4,Frequency,BATCH_AxiomGT1_b17_V4,Frequency,BATCH_AxiomGT1_b18_V4,Frequency,BATCH_AxiomGT1_b19_V4,Frequency,BATCH_AxiomGT1_b20_V4,Frequency,BATCH_AxiomGT1_b21_V4,Frequency,BATCH_AxiomGT1_b22_V4,Frequency,BATCH_AxiomGT1_b23_V4,Frequency,BATCH_AxiomGT1_b24_V4,Frequency,BATCH_AxiomGT1_b25_V4,Frequency,BATCH_AxiomGT1_b26_V2P2,Frequency,BATCH_AxiomGT1_b27_V2P2,Frequency,BATCH_AxiomGT1_b28_V2P2,Frequency,BATCH_AxiomGT1_b29_V2P2,Frequency,BATCH_AxiomGT1_b30_V2P2,Frequency,BATCH_AxiomGT1_b31_V7,Frequency,BATCH_AxiomGT1_b32_V7,Frequency,BATCH_AxiomGT1_b33_V7,Frequency,BATCH_AxiomGT1_b34_V7,Frequency,BATCH_AxiomGT1_b35_V7,Frequency,BATCH_AxiomGT1_b36_V7,Frequency,BATCH_AxiomGT1_b37_V7,Frequency,BATCH_AxiomGT1_b38_V7,Frequency,BATCH_AxiomGT1_b39_V7,Frequency,BATCH_AxiomGT1_b40_V7,Frequency,BATCH_AxiomGT1_b41_V7,Frequency,BATCH_AxiomGT1_b42_V7,Frequency,BATCH_AxiomGT1_b43_V7,Frequency,BATCH_AxiomGT1_b44_V7,Frequency,BATCH_AxiomGT1_b45_V7,Frequency,BATCH_AxiomGT1_b46_V7,Frequency,BATCH_AxiomGT1_b47_V7,Frequency,BATCH_AxiomGT1_b48_V7,Frequency,BATCH_AxiomGT1_b49_V7,Frequency,BATCH_AxiomGT1_b50_V7,Frequency,BATCH_AxiomGT1_b51_V7,Frequency,BATCH_AxiomGT1_b52_V7,Frequency,BATCH_AxiomGT1_b53_V7,Frequency,BATCH_AxiomGT1_b54_V7,Frequency,BATCH_AxiomGT1_b55_V7,Frequency,BATCH_AxiomGT1_b56_V7,Frequency,BATCH_AxiomGT1_b57_V7,Frequency,BATCH_AxiomGT1_b58_V7,Frequency,BATCH_AxiomGT1_b59_V7,Frequency,BATCH_AxiomGT1_b60_V7,Frequency,BATCH_AxiomGT1_b61_V7,Frequency,BATCH_AxiomGT1_b62_V7,Frequency,BATCH_AxiomGT1_b63_V7,Frequency,BATCH_AxiomGT1_b64_V7,Frequency,BATCH_AxiomGT1_b65_V7,Frequency,BATCH_AxiomGT1_b66_V7,Frequency,BATCH_AxiomGT1_b67_V7,Frequency,BATCH_AxiomGT1_b68_V7,Frequency,BATCH_AxiomGT1_b69_V7,Frequency,BATCH_AxiomGT1_b70_V7,Frequency,BATCH_AxiomGT1_b71_V7,Frequency,BATCH_AxiomGT1_b72_V7,Frequency,BATCH_AxiomGT1_b73_V7,Frequency,BATCH_AxiomGT1_b74_V7,Frequency,BATCH_AxiomGT1_b75_V7,Frequency,BATCH_AxiomGT1_b76_V7,Frequency,BATCH_AxiomGT1_b77_V7,Frequency,BATCH_AxiomGT1_b78_V7,Frequency,BATCH_AxiomGT1_b79_V7,Frequency,BATCH_AxiomGT1_b80_V7,Frequency,BATCH_AxiomGT1_b81_V7,Frequency,BATCH_AxiomGT1_b82_V7,Frequency,BATCH_AxiomGT1_b83_V7,Frequency,BATCH_AxiomGT1_b84_V7,Frequency,BATCH_AxiomGT1_b85_V7,Frequency,BATCH_AxiomGT1_b86_V7,Frequency,BATCH_AxiomGT1_b87_V7,Frequency,BATCH_AxiomGT1_b88_V7,Frequency,BATCH_AxiomGT1_b89_V7,Frequency,BATCH_AxiomGT1_b90_V6,Frequency,BATCH_AxiomGT1_b91_V6,Frequency,BATCH_AxiomGT1_b92_V6,Frequency,BATCH_AxiomGT1_b93_V6,Frequency,BATCH_AxiomGT1_b94_V6,Frequency,BATCH_AxiomGT1_b95_V6,Frequency,BATCH_AxiomGT1_b96_V6,Frequency,BATCH_AxiomGT1_b97_V6,Frequency,BATCH_AxiomGT1_b98_V6,Frequency,BATCH_AxiomGT1_b99_V6,Frequency,BATCH_DS1_BOTNIA_Dgi_norm,Frequency,BATCH_DS10_FINRISK_Palotie_norm,Frequency,BATCH_DS11_FINRISK_PredictCVD_COROGENE_Tarto_norm,Frequency,BATCH_DS12_FINRISK_Summit_norm,Frequency,BATCH_DS13_FINRISK_Bf_norm,Frequency,BATCH_DS14_GENERISK_norm,Frequency,BATCH_DS15_H2000_Broad_norm,Frequency,BATCH_DS16_H2000_Fimm_norm,Frequency,BATCH_DS17_H2000_Genmets_norm_relift,Frequency,BATCH_DS18_MIGRAINE_1_norm_relift,Frequency,BATCH_DS19_MIGRAINE_2_norm,Frequency,BATCH_DS2_BOTNIA_T2dgo_norm,Frequency,BATCH_DS20_SUPER_1_norm_relift,Frequency,BATCH_DS21_SUPER_2_norm_relift,Frequency,BATCH_DS22_TWINS_1_norm,Frequency,BATCH_DS23_TWINS_2_norm_nosymmetric,Frequency,BATCH_DS24_SUPER_3_norm,Frequency,BATCH_DS25_BOTNIA_Regeneron_norm,Frequency,BATCH_DS26_DIREVA_norm,Frequency,BATCH_DS27_NFBC66_norm,Frequency,BATCH_DS28_NFBC86_norm,Frequency,BATCH_DS29_FINHIT_norm,Frequency,BATCH_DS3_COROGENE_Sanger_norm,Frequency,BATCH_DS4_FINRISK_Corogene_norm,Frequency,BATCH_DS5_FINRISK_Engage_norm,Frequency,BATCH_DS6_FINRISK_FR02_Broad_norm_relift,Frequency,BATCH_DS7_FINRISK_FR12_norm,Frequency,BATCH_DS8_FINRISK_Finpcga_norm,Frequency,BATCH_DS9_FINRISK_Mrpred_norm,Frequency,APPROX_BIRTH_DATE,Frequency,BL_YEAR,Frequency,BL_AGE,Frequency,SEX,Frequency,HEIGHT,Frequency,HEIGHT_IRN,Frequency,HEIGHT_AGE,Frequency,WEIGHT,Frequency,WEIGHT_IRN,Frequency,WEIGHT_AGE,Frequency,BMI,Frequency,BMI_IRN,Frequency,SMOKE2,Frequency,SMOKE3,Frequency,SMOKE5,Frequency,CURRENT_SMOKER,Frequency,EVER_SMOKER,Frequency,SMOKE_AGE,Frequency,regionofbirth,Frequency,regionofbirthname,Frequency,movedabroad,Frequency,NUMBER_OF_OFFSPRING,Frequency,DEATH,Frequency,DEATH_FU_AGE,Frequency,cohort,Frequency,SEX_IMPUTED,Frequency,SEXAGE,Frequency,PC1,Frequency,PC2,Frequency,PC3,Frequency,PC4,Frequency,PC5,Frequency,PC6,Frequency,PC7,Frequency,PC8,Frequency,PC9,Frequency,PC10,Frequency,PC11,Frequency,PC12,Frequency,PC13,Frequency,PC14,Frequency,PC15,Frequency,PC16,Frequency,PC17,Frequency,PC18,Frequency,PC19,Frequency,PC20,Frequency
,,DS20_SUPER_1_norm_relift,873,637120,2270,PsychChip_15048346_B_24,1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,2172,44.0,58,,,175,2712,0.510119249165416,2712,,,74,1819,-0.210344577482359,1819,,,26.6,769,-0.0423559962511582,769,,,,,,,,,,,,,19,3642,Lapland,3642,,,9,90,,,,,THL_BIOBANK_BOTNIA,2347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AxiomGT1_b08_V4,871,687928,1998,GSA-24v1-0_A1,1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,1731,42.0,56,,,174,2658,0.409286720011396,2658,,,68,1802,-0.58953288175188,1802,,,26.3,769,0.0203246029186894,769,,,,,,,,,,,,,10,3272,Etelä-Savo,3272,,,10,72,,,,,THL_BIOBANK_TWINS,2245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AxiomGT1_b10_V4,865,632612,1801,Broad_GWAS_supplemental_15061359_A1,953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,1392,43.0,55,,,163,2628,-0.704427843715011,2628,,,60,1710,-1.15545750746821,1710,,,24.8,750,-0.382038062852783,750,,,,,,,,,,,,,8,3263,Kymenlaakso,3263,,,11,62,,,,,THL_BIOBANK_T1D,2094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DS27_NFBC66_norm,864,636405,1575,Illumina_HumanCNV370DUO_Analysis_BeadChip,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,1301,53.0,54,,,167,2617,-0.280249736946278,2617,,,73,1625,-0.267896631720224,1625,,,31.2,719,0.849680479039073,719,,,,,,,,,,,,,9,2652,South_Karelia,2652,,,12,51,,,,,THL_BIOBANK_SUPER,1724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AxiomGT1_b09_V4,853,637113,1570,Axiom_FinnGen2.r5_1,805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,1190,41.0,53,,,173,2541,0.317491637570759,2541,,,76,1589,-0.0773106663016982,1589,,,29.7,704,0.604393983412676,704,,,,,,,,,,,,,7,2636,Päijät-Häme,2636,,,List truncated...,,,,,,THL_BIOBANK_MIGRAINE,1706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AxiomGT1_b76_V7,844,636402,1508,Axiom_FinnGen2,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1101,List truncated...,,,,176,2489,0.613384528048206,2489,,,84,1493,0.376365374170961,1493,,,23.7,697,-0.651889144001906,697,,,,,,,,,,,,,5,2369,Kanta-Häme,2369,,,,,,,,,THL_BIOBANK_FINRISK_1997,1458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AxiomGT1_b55_V7,840,637110,1478,Human610_Quadv1_B,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,1073,,,,,166,2355,-0.366379620914044,2355,,,83,1483,0.32355871547402,1483,,,27.7,692,0.239469743400326,692,,,,,,,,,,,,,18,2162,Kainuu,2162,,,,,,,,,THL_BIOBANK_GENERISK,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AxiomGT1_b11_V4,825,542396,1414,InfiniumCoreExome-24v1-1,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1073,,,,,169,2110,-0.0769896748099581,2110,,,67,1453,0.597096001221241,1453,,,27.1,691,0.121559161165276,691,,,,,,,,,,,,,9999,1804,Region_ceded_to_Soviet,1804,,,,,,,,,THL_BIOBANK_HEALTH_2000,1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AxiomGT1_b104_V7,823,321568,1399,Illumina_HumanCoreExome_24_v1.1,678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,968,,,,,171,2075,0.133254744787307,2075,,,88,1453,-0.654791429063706,1453,,,26.8,687,0.0595607553502924,687,,,,,,,,,,,,,200,1134,Abroad,1134,,,,,,,,,THL_BIOBANK_FINRISK_2002,1392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AxiomGT1_b102_V6,816,566984,1202,HumanCoreExome_12v1_1_A,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,909,,,,,158,1837,-1.31172439019157,1837,,,64,1425,-0.862813855929222,1425,,,29.1,681,0.501239900336992,681,,,,,,,,,,,,,16,933,Central_Ostrobothnia,933,,,,,,,,,ARCTIC_BIOBANK_NFBC1966,1209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AxiomGT1_b56_V7,816,642665,1177,Illumina_IlluminaCoreExome,653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,789,,,,,177,1834,0.702386838280188,1834,,,77,1423,-0.0267348020064811,1423,,,25.6,670,-0.220126186425718,670,,,,,,,,,,,,,,227,,227,,,,,,,,,THL_BIOBANK_FINHEALTH_2017,1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AxiomGT1_b49_V7,815,535293,1086,HumanOmniExpressExome_v1.2,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,719,,,,,182,1803,1.23047532001605,1803,,,62,1422,-1.00691860850643,1422,,,25.5,670,-0.197236591283372,670,,,,,,,,,,,,,List truncated...,,List truncated...,,,,,,,,,,THL_BIOBANK_FINRISK_2012,1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AxiomGT1_b113_V7,814,245686,953,Illumina_HumanCoreExome_24_v1.0,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,655,,,,,179,1532,0.900888654003452,1532,,,86,1417,0.500615983430153,1417,,,25.7,668,-0.174176246233138,668,,,,,,,,,,,,,,,,,,,,,,,,,THL_BIOBANK_FINRISK_2007,1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AxiomGT1_b84_V7,808,339754,864,Illumina_Human670_Human610,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,652,,,,,161,1408,-0.929950953042896,1408,,,66,1406,-0.714035433747808,1406,,,25.4,660,-0.243553270139134,660,,,,,,,,,,,,,,,,,,,,,,,,,THL_BIOBANK_FINHIT,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AxiomGT1_b06_V4,807,637109,806,Illumina_Human610-Quadv1_B,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990,616,,,,,183,1388,1.35028766856017,1388,,,63,1363,-0.932633199935619,1363,,,24.7,660,-0.4081667494101,660,,,,,,,,,,,,,,,,,,,,,,,,,THL_BIOBANK_FINRISK_1992,941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AxiomGT1_b63_V7,806,636410,789,HumanOmniExpress_12v1_A,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,614,,,,,181,1250,1.13119013081761,1250,,,69,1312,-0.529743256295949,1312,,,24.9,655,-0.357249155579477,655,,,,,,,,,,,,,,,,,,,,,,,,,THL_BIOBANK_COROGENE,937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AxiomGT1_b70_V7,805,554903,774,Illumina_HumanCoreExome_24v1_1_A,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,575,,,,,159,1163,-1.19619587555313,1163,,,79,1285,0.0840921835965301,1285,,,25.2,654,-0.28813659009188,654,,,,,,,,,,,,,,,,,,,,,,,,,ARCTIC_BIOBANK_NFBC1986,905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AxiomGT1_b83_V7,805,637125,768,HumanOmniExpress_12v1_H,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981,541,,,,,157,1125,-1.44235508162345,1125,,,95,1255,0.954294986488016,1255,,,25.1,654,-0.311828447457544,654,,,,,,,,,,,,,,,,,,,,,,,,,THL_BIOBANK_HHS,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AxiomGT1_b80_V7,799,637119,768,Illumina_HumanCoreExome-24_v1.0,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,496,,,,,156,1042,-1.55360886846332,1042,,,71,1233,-0.387336239963538,1233,,,23.5,653,-0.699640056150178,653,,,,,,,,,,,,,,,,,,,,,,,,,THL_BIOBANK_HEALTH_2011,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
