BIRTH_YEAR,Frequency,APPROX_BIRTH_DATE,Frequency,PARITY,Frequency,NRO_CHILD,Frequency,NRO_FETUSES,Frequency,CHILD_SEX,Frequency,MOTHER_AGE,Frequency,MOTHER_WEIGHT,Frequency,MOTHER_HEIGHT,Frequency,SMOKING,Frequency,DURATION_WEEKS,Frequency,DURATION_DAYS,Frequency,ORDER,Frequency,SDIAG1,Frequency,SDIAG2,Frequency,SDIAG3,Frequency,SDIAG4,Frequency,SDIAG5,Frequency,SDIAG6,Frequency,SDIAG7,Frequency,SDIAG8,Frequency,SDIAG9,Frequency,SDIAG10,Frequency,RDIAG1,Frequency,RDIAG2,Frequency,RDIAG3,Frequency,RDIAG4,Frequency,RDIAG5,Frequency,RDIAG6,Frequency,RDIAG7,Frequency,RDIAG8,Frequency,RDIAG9,Frequency,RDIAG10,Frequency,MATUR_THREAT,Frequency,INSEM,Frequency,IVF,Frequency,ICSI,Frequency,PAS,Frequency,GAMETE_DONAT,Frequency,RKOURIS,Frequency,MOTHER_BLOOD_PRES,Frequency,MOTHER_BLEEDING,Frequency,OTHER_PREG_DIAB_THREAT,Frequency,DIABETES,Frequency,GLUC,Frequency,GLUC_PATOL,Frequency,INS_THREAT_INIT,Frequency,PREM,Frequency
1980,8174,,,14,76,,399,,,,,28.41,373,72,2521,171,3308,,,29,282,,,,,O9980,773,O720,960,O48,454,E6601,187,O814,70,,,,,,,,,,,O321,1166,E6601,520,O321,375,O429,213,Z349,112,List truncated...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,8158,,,List truncated...,,15,362,,,,,26.13,372,66,2493,173,3070,,,28,231,,,,,O641,745,O630,950,O60,449,O814,177,O720,69,,,,,,,,,,,O429,896,Z370,497,E6601,369,E6601,208,O800,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,8112,,,,,16,124,,,,,28.44,372,61,2444,174,2612,,,26,208,,,,,6563B,694,O756,930,O800,422,O640,172,O993,67,,,,,,,,,,,6440A,890,O48,492,O429,289,O321,188,Z340,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,8061,,,,,17,118,,,,,25.8,371,75,2337,159,2362,,,27,207,,,,,O721,595,O60,916,O820,411,Z302,159,O756,67,,,,,,,,,,,O48,866,O429,467,O48,265,O365,181,O992,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,7994,,,,,List truncated...,,,,,,29.33,371,69,2140,175,2358,,,43,176,,,,,6522B,571,O48,842,O366,386,O756,155,Z372,67,,,,,,,,,,,V220A,851,O365,416,O365,264,O992,166,O365,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,7936,,,,,,,,,,,29.04,369,54,2114,157,1902,,,25,163,,,,,O840,560,O640,840,O630,348,O13,136,O235,66,,,,,,,,,,,Z368,808,Z360,409,O992,249,O48,148,O993,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,7926,,,,,,,,,,,27.78,368,80,2010,156,1508,,,24,150,,,,,O8211,539,O321,693,O808,341,O820,131,O366,61,,,,,,,,,,,O800,688,O300,395,O249,229,O993,125,O410,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,7841,,,,,,,,,,,26.92,367,73,2009,176,1500,,,23,127,,,,,O801,502,O366,553,O756,323,Z358,125,O13,60,,,,,,,,,,,O249,644,O249,387,O471,197,O249,122,E039,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,7733,,,,,,,,,,,27.08,366,52,1940,155,1367,,,22,111,,,,,Z370,397,O641,523,O13,245,O365,121,Z358,59,,,,,,,,,,,O266,613,O240,381,O993,188,O368,112,Z364,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,7513,,,,,,,,,,,32.0,366,53,1884,178,1062,,,List truncated...,,,,,,O756,393,O688,471,O750,243,O411,118,O992,56,,,,,,,,,,,6488A,541,O471,306,Z360,186,E039,109,Z718,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
