SOURCE	CODE1	CODE2	CODE3	vocabulary	n_events	n_patients
CANC	C209	8070	3	canc	26	26
CANC	C209	8140	2	canc	10	10
CANC	C209	8140	3	canc	2215	2215
CANC	C209	8144	3	canc	16	16
CANC	C209	8148	2	canc	6	6
CANC	C209	8210	3	canc	19	19
CANC	C209	8211	2	canc	22	22
CANC	C209	8240	3	canc	82	82
CANC	C209	8263	2	canc	29	29
CANC	C209	8480	3	canc	94	94
CANC	C209	8490	3	canc	9	9
CANC	C210	8070	3	canc	43	43
CANC	C211	8070	3	canc	26	26
CANC	C220	8000	3	canc	114	114
CANC	C220	8010	3	canc	11	11
CANC	C220	8140	3	canc	10	10
CANC	C220	8170	3	canc	394	394
CANC	C220	9680	3	canc	12	12
CANC	C221	8000	3	canc	29	29
CANC	C221	8160	3	canc	121	121
CANC	C239	8000	3	canc	18	18
CANC	C239	8140	3	canc	65	65
CANC	C240	8000	3	canc	35	35
CANC	C240	8140	3	canc	37	37
CANC	C240	8160	3	canc	36	36
CANC	C241	8140	3	canc	44	44
CANC	C249	8000	3	canc	36	36
CANC	C249	8140	3	canc	16	16
CANC	C249	8160	3	canc	38	38
CANC	C250	8000	3	canc	102	102
CANC	C250	8010	3	canc	6	6
CANC	C250	8140	3	canc	116	116
CANC	C250	8500	3	canc	34	34
CANC	C251	8000	3	canc	24	24
CANC	C251	8140	3	canc	29	29
CANC	C252	8000	3	canc	18	18
CANC	C252	8140	3	canc	46	46
CANC	C252	8240	3	canc	6	6
CANC	C252	8249	3	canc	11	11
CANC	C259	8000	3	canc	385	385
CANC	C259	8010	3	canc	34	34
CANC	C259	8140	3	canc	447	447
CANC	C259	8151	3	canc	6	6
CANC	C259	8240	3	canc	48	48
CANC	C259	8246	3	canc	13	13
CANC	C259	8249	3	canc	38	38
CANC	C259	8480	3	canc	9	9
CANC	C259	8500	3	canc	69	69
CANC	C260	8000	3	canc	10	10
CANC	C260	8140	3	canc	12	12
CANC	C269	8000	1	canc	23	23
CANC	C269	8000	3	canc	26	26
CANC	C269	8010	3	canc	7	7
CANC	C269	8140	3	canc	42	42
CANC	C269	8936	3	canc	8	8
CANC	C300	8070	3	canc	33	33
CANC	C300	8720	3	canc	14	14
CANC	C300	9522	3	canc	13	13
CANC	C300	9680	3	canc	6	6
CANC	C310	8070	3	canc	15	15
CANC	C320	8070	2	canc	15	15
CANC	C320	8070	3	canc	170	170
CANC	C320	8077	2	canc	6	6
CANC	C321	8070	3	canc	41	41
CANC	C329	8070	2	canc	7	7
CANC	C329	8070	3	canc	222	222
CANC	C339	8070	3	canc	8	8
CANC	C340	8000	3	canc	18	18
CANC	C340	8041	3	canc	36	36
CANC	C340	8070	3	canc	35	35
CANC	C340	8140	3	canc	13	13
CANC	C341	8000	3	canc	151	151
CANC	C341	8010	3	canc	21	21
CANC	C341	8012	3	canc	9	9
CANC	C341	8013	3	canc	11	11
CANC	C341	8020	3	canc	9	9
CANC	C341	8041	3	canc	102	102
CANC	C341	8046	3	canc	12	12
CANC	C341	8070	3	canc	307	307
CANC	C341	8140	2	canc	9	9
CANC	C341	8140	3	canc	551	550
CANC	C341	8240	3	canc	24	24
CANC	C341	8246	3	canc	14	14
CANC	C341	8249	3	canc	7	7
CANC	C341	8250	3	canc	14	14
CANC	C341	8480	3	canc	8	8
CANC	C341	8550	3	canc	9	9
CANC	C341	8551	3	canc	15	15
CANC	C341	8560	3	canc	9	9
CANC	C342	8000	3	canc	12	12
CANC	C342	8041	3	canc	19	19
CANC	C342	8070	3	canc	26	26
CANC	C342	8140	3	canc	47	47
CANC	C342	8240	3	canc	7	7
CANC	C343	8000	3	canc	91	91
CANC	C343	8010	3	canc	28	28
CANC	C343	8012	3	canc	6	6
CANC	C343	8013	3	canc	8	8
CANC	C343	8020	3	canc	10	10
CANC	C343	8041	3	canc	65	65
CANC	C343	8046	3	canc	9	9
CANC	C343	8070	3	canc	274	274
CANC	C343	8140	3	canc	346	346
CANC	C343	8240	3	canc	36	36
CANC	C343	8249	3	canc	12	12
CANC	C343	8250	3	canc	17	17
CANC	C343	8260	3	canc	7	7
CANC	C343	8480	3	canc	25	25
CANC	C343	8550	3	canc	8	8
CANC	C348	8000	3	canc	6	6
CANC	C348	8070	3	canc	7	7
CANC	C348	8140	3	canc	9	9
CANC	C349	8000	1	canc	13	13
CANC	C349	8000	3	canc	1129	1129
CANC	C349	8010	3	canc	234	234
CANC	C349	8012	3	canc	8	8
CANC	C349	8013	3	canc	13	13
CANC	C349	8020	3	canc	16	16
CANC	C349	8041	3	canc	514	514
CANC	C349	8046	3	canc	20	20
CANC	C349	8070	2	canc	10	10
CANC	C349	8070	3	canc	921	918
CANC	C349	8140	3	canc	698	696
CANC	C349	8240	3	canc	48	48
CANC	C349	8246	3	canc	19	19
CANC	C349	8250	3	canc	56	56
CANC	C349	8480	3	canc	15	15
CANC	C349	9591	3	canc	9	9
CANC	C349	9680	3	canc	15	15
CANC	C349	9699	3	canc	12	12
CANC	C379	8580	3	canc	28	28
CANC	C379	8582	3	canc	13	13
CANC	C379	8583	3	canc	6	6
CANC	C383	8000	3	canc	7	7
CANC	C383	9663	3	canc	10	10
CANC	C383	9679	3	canc	10	10
CANC	C383	9680	3	canc	11	11
CANC	C384	8000	3	canc	9	9
CANC	C384	9050	3	canc	102	102
CANC	C384	9051	3	canc	21	21
CANC	C384	9052	3	canc	69	69
CANC	C384	9053	3	canc	8	8
CANC	C399	8000	3	canc	6	6
CANC	C400	9180	3	canc	8	8
CANC	C400	9220	3	canc	8	8
CANC	C402	9180	3	canc	41	41
CANC	C402	9220	3	canc	19	19
CANC	C413	9220	3	canc	14	14
CANC	C413	9731	3	canc	7	7
CANC	C414	9220	3	canc	7	7
CANC	C414	9370	3	canc	9	9
CANC	C414	9680	3	canc	6	6
CANC	C420	9761	3	canc	60	60
CANC	C421	9591	3	canc	33	33
CANC	C421	9670	3	canc	8	8
