visit_year_bin	SOURCE	CODE5	CODE6	CODE7	CODE8	CODE9	n_visits	n_events_per_visit_logmean	n_events_per_visit_logsd	n_patients
(1986,1994]	INPAT	1	10I	NA	NA	NA	78	0.5559363236075162	0.25697207773568365	73
(1986,1994]	INPAT	1	10K	NA	NA	NA	85	0.6174244799428635	0.3020815761436514	77
(1986,1994]	INPAT	1	10M	NA	NA	NA	15	0.6546583224973891	0.33253783120470554	9
(1986,1994]	INPAT	1	10R	NA	NA	NA	393	0.5763876042949676	0.2983012904464571	308
(1986,1994]	INPAT	1	20	NA	NA	NA	21434	0.5299532327544717	0.2407282177013154	17331
(1986,1994]	INPAT	1	20G	NA	NA	NA	249	0.45875519517743113	0.16712007534763892	223
(1986,1994]	INPAT	1	20J	NA	NA	NA	61	0.703877149596075	0.28887603566941117	41
(1986,1994]	INPAT	1	20L	NA	NA	NA	183	0.5886776941395429	0.2581053862540483	161
(1986,1994]	INPAT	1	20O	NA	NA	NA	1055	0.5975507507635808	0.27759616629265094	910
(1986,1994]	INPAT	1	20P	NA	NA	NA	73	0.45444838709942376	0.15144885123723836	73
(1986,1994]	INPAT	1	20S	NA	NA	NA	36	0.5612108671014298	0.28516437405356737	21
(1986,1994]	INPAT	1	20T	NA	NA	NA	217	0.44858483196652504	0.15132897692873604	177
(1986,1994]	INPAT	1	20U	NA	NA	NA	176	0.4774026860085779	0.2048398125911882	148
(1986,1994]	INPAT	1	25	NA	NA	NA	740	0.4628037397750619	0.17708592087084699	597
(1986,1994]	INPAT	1	30	NA	NA	NA	17087	0.543328021710087	0.2565303977320343	13998
(1986,1994]	INPAT	1	31	NA	NA	NA	643	0.5276187639141973	0.24672600250276455	583
(1986,1994]	INPAT	1	40	NA	NA	NA	4635	0.5699695512542551	0.2695838298395342	2971
(1986,1994]	INPAT	1	40A	NA	NA	NA	27	0.6449606533605015	0.2800834713347143	23
(1986,1994]	INPAT	1	40G	NA	NA	NA	12	0.5186420651209306	0.27388587519233965	12
(1986,1994]	INPAT	1	40I	NA	NA	NA	19	0.6290821522978676	0.31538815162364087	19
(1986,1994]	INPAT	1	50	NA	NA	NA	1389	0.5256005222640379	0.2453198294051555	1171
(1986,1994]	INPAT	1	55	NA	NA	NA	4123	0.4892169773751858	0.19702816909365214	3670
(1986,1994]	INPAT	1	57	NA	NA	NA	34	0.4054651081081644	0	21
(1986,1994]	INPAT	1	58	NA	NA	NA	192	0.506502291261494	0.21470568686079577	179
(1986,1994]	INPAT	1	58V	NA	NA	NA	40	0.6266189694456213	0.28341622755403995	38
(1986,1994]	INPAT	1	60	NA	NA	NA	524	0.49377441109014025	0.20696511320563538	415
(1986,1994]	INPAT	1	60A	NA	NA	NA	19	0.5936640221272136	0.25316243487250484	16
(1986,1994]	INPAT	1	65	NA	NA	NA	606	0.4267861063028143	0.11318176514873046	228
(1986,1994]	INPAT	1	70	NA	NA	NA	3837	0.5768317631130427	0.28804315360919397	2180
(1986,1994]	INPAT	1	70F	NA	NA	NA	34	0.657653599883013	0.34831973111626546	26
(1986,1994]	INPAT	1	70X	NA	NA	NA	60	0.592767836822361	0.24824138275733204	43
(1986,1994]	INPAT	1	70Z	NA	NA	NA	56	0.8892400124898182	0.38208279640628523	53
(1986,1994]	INPAT	1	75	NA	NA	NA	75	0.6568199071570748	0.33515928543657814	38
(1986,1994]	INPAT	1	75X	NA	NA	NA	19	0.5667784629816351	0.24395342640955614	10
(1986,1994]	INPAT	1	77	NA	NA	NA	2106	0.5186646596652933	0.24925890630465972	1609
(1986,1994]	INPAT	1	78	NA	NA	NA	199	0.5566085207405852	0.2761087736402232	130
(1986,1994]	INPAT	1	80	NA	NA	NA	2953	0.612053560636291	0.3070791291709153	1852
(1986,1994]	INPAT	1	80A	NA	NA	NA	35	0.5318387431581397	0.24165806191667955	29
(1986,1994]	INPAT	1	90	NA	NA	NA	67	0.6182743183356052	0.3379153441755441	57
(1986,1994]	INPAT	1	95	NA	NA	NA	101	0.467762398550425	0.18418296602714115	48
(1986,1994]	INPAT	1	96	NA	NA	NA	383	0.706346347517564	0.3654205968506745	316
(1986,1994]	INPAT	1	97	NA	NA	NA	55	0.7325937904829415	0.36758421806515984	39
(1986,1994]	INPAT	1	98	NA	NA	NA	5193	0.5844829279277395	0.3013428143559741	3542
(1986,1994]	INPAT	2	00	NA	NA	NA	11	0.4519038011777999	0.15401972066645866	11
(1986,1994]	INPAT	2	20	NA	NA	NA	881	0.4593749247626125	0.16010041794579696	843
(1986,1994]	INPAT	2	20L	NA	NA	NA	12	0.4054651081081644	0	11
(1986,1994]	INPAT	2	20O	NA	NA	NA	34	0.6158050708353371	0.25518506969603777	34
(1986,1994]	INPAT	2	30	NA	NA	NA	325	0.4714794964102309	0.17162334068674603	320
(1986,1994]	INPAT	2	40	NA	NA	NA	13	0.4054651081081644	0	13
(1986,1994]	INPAT	2	50	NA	NA	NA	69	0.41286837801781645	0.06149617849513897	62
(1986,1994]	INPAT	2	55	NA	NA	NA	478	0.5240621995315046	0.22001753591560497	463
(1986,1994]	INPAT	2	58	NA	NA	NA	10	0.5587127952379616	0.24675221885333976	10
(1986,1994]	INPAT	8	70	NA	NA	NA	8	0.8088491821172118	0.3619206883930144	8
(1986,1994]	INPAT	8	98	NA	NA	NA	569	0.8244898340419318	0.3724020688792708	145
(1986,1994]	INPAT	NA	00	NA	NA	NA	30204	0.5598742006915445	0.29839338254799863	17822
(1986,1994]	INPAT	NA	10	NA	NA	NA	55025	0.5890325630783698	0.30739743308627665	29001
(1986,1994]	INPAT	NA	20	NA	NA	NA	125478	0.5291993486504943	0.24353552192714586	79129
(1986,1994]	INPAT	NA	25	NA	NA	NA	3523	0.4713277465501121	0.1920614153108248	2530
(1986,1994]	INPAT	NA	30	NA	NA	NA	126332	0.5351049465157419	0.2594714872004494	67047
(1986,1994]	INPAT	NA	40	NA	NA	NA	33913	0.5812217112768447	0.28394735031569623	16612
(1986,1994]	INPAT	NA	50	NA	NA	NA	8078	0.5259228904626498	0.24676886786650262	5451
(1986,1994]	INPAT	NA	55	NA	NA	NA	25706	0.4939017068717943	0.20589369694502566	20586
(1986,1994]	INPAT	NA	58	NA	NA	NA	395	0.4557211189668539	0.1650829531057907	357
(1986,1994]	INPAT	NA	60	NA	NA	NA	3490	0.5064957542776672	0.2220612555969971	2355
(1986,1994]	INPAT	NA	65	NA	NA	NA	2147	0.44640644688443526	0.1633246565989862	709
(1986,1994]	INPAT	NA	70	NA	NA	NA	16236	0.5481806317542145	0.2701410780756918	5577
(1986,1994]	INPAT	NA	74	NA	NA	NA	243	0.49016843840630314	0.2052643682572054	95
(1986,1994]	INPAT	NA	75	NA	NA	NA	566	0.7041941156833154	0.33186856345713556	157
(1986,1994]	INPAT	NA	77	NA	NA	NA	9313	0.5260745207074045	0.25485619511605084	6014
(1986,1994]	INPAT	NA	78	NA	NA	NA	817	0.6475109581025196	0.3238282962009636	317
(1986,1994]	INPAT	NA	80	NA	NA	NA	14019	0.6047224381495963	0.314999865046108	7244
(1986,1994]	INPAT	NA	90	NA	NA	NA	9803	0.6494728459901921	0.3680396163102144	6339
(1986,1994]	INPAT	NA	95	NA	NA	NA	666	0.7502873220288405	0.37200115573984577	314
(1986,1994]	INPAT	NA	96	NA	NA	NA	790	0.6957924387708709	0.38005547099665515	562
(1986,1994]	INPAT	NA	97	NA	NA	NA	52	0.7739937977942598	0.4105722811553496	42
(1986,1994]	INPAT	NA	NA	NA	NA	NA	214	0.5103803341379163	0.2254260025372768	212
(1986,1994]	OPER_IN	1	10	NA	NA	NA	502	0.5090633896276551	0.23649391579394713	450
(1986,1994]	OPER_IN	1	10G	NA	NA	NA	8	0.533171514049662	0.23646631498070267	7
(1986,1994]	OPER_IN	1	10R	NA	NA	NA	19	0.6113730872125406	0.28655101836555874	17
(1986,1994]	OPER_IN	1	20	NA	NA	NA	15316	0.49966754944331465	0.2098092367006377	13791
(1986,1994]	OPER_IN	1	20G	NA	NA	NA	182	0.531633701482521	0.24135106673570522	173
(1986,1994]	OPER_IN	1	20J	NA	NA	NA	40	0.4693183110789132	0.17109188027119782	37
(1986,1994]	OPER_IN	1	20L	NA	NA	NA	136	0.4617162097171461	0.17915108080687966	122
(1986,1994]	OPER_IN	1	20O	NA	NA	NA	834	0.53534828697329	0.2480243480203508	774
(1986,1994]	OPER_IN	1	20P	NA	NA	NA	73	0.5056524722478946	0.22278104117670833	73
(1986,1994]	OPER_IN	1	20S	NA	NA	NA	11	0.5289308793948184	0.2848112916720745	11
(1986,1994]	OPER_IN	1	20T	NA	NA	NA	118	0.5049291319128207	0.22039837387268874	111
(1986,1994]	OPER_IN	1	20U	NA	NA	NA	146	0.4614459983838894	0.1601193846678472	133
(1986,1994]	OPER_IN	1	25	NA	NA	NA	452	0.42991549704187826	0.1201955317422626	414
(1986,1994]	OPER_IN	1	30	NA	NA	NA	8192	0.5181592526568568	0.22911782577009654	7670
(1986,1994]	OPER_IN	1	31	NA	NA	NA	190	0.4834332296303419	0.18419460614009875	185
(1986,1994]	OPER_IN	1	40	NA	NA	NA	755	0.5400140428347182	0.25527051228157954	604
(1986,1994]	OPER_IN	1	50	NA	NA	NA	1000	0.4481878725796945	0.14546538147604193	886
(1986,1994]	OPER_IN	1	55	NA	NA	NA	3271	0.5445154512801903	0.25624354647508546	3076
(1986,1994]	OPER_IN	1	58	NA	NA	NA	162	0.5252128807343329	0.2289843939092104	153
(1986,1994]	OPER_IN	1	58V	NA	NA	NA	33	0.5961325727950832	0.28419997253926194	31
(1986,1994]	OPER_IN	1	60	NA	NA	NA	17	0.4054651081081644	0	17
(1986,1994]	OPER_IN	1	65	NA	NA	NA	14	0.5754490175142484	0.2903868382145038	10
(1986,1994]	OPER_IN	1	70	NA	NA	NA	10	0.4054651081081644	0	9
(1986,1994]	OPER_IN	1	77	NA	NA	NA	20	0.49891256350412366	0.23677112661908717	20
(1986,1994]	OPER_IN	1	80	NA	NA	NA	310	0.45815602882701395	0.16427278015562324	272
(1986,1994]	OPER_IN	1	98	NA	NA	NA	59	0.4227812309476895	0.09323631426708427	56
(1986,1994]	OPER_IN	2	00	NA	NA	NA	11	0.49834249424743543	0.20663913917143847	11
(1986,1994]	OPER_IN	2	20	NA	NA	NA	860	0.4424805819720805	0.13499074525977842	824
(1986,1994]	OPER_IN	2	20L	NA	NA	NA	12	0.4054651081081644	0	11
(1986,1994]	OPER_IN	2	20O	NA	NA	NA	34	0.4805865233678689	0.18363702426241058	34
(1986,1994]	OPER_IN	2	30	NA	NA	NA	315	0.46598151105679325	0.17074470740699094	310
(1986,1994]	OPER_IN	2	40	NA	NA	NA	13	0.4447593868593944	0.14167753686993506	13
(1986,1994]	OPER_IN	2	50	NA	NA	NA	68	0.4054651081081644	0	61
(1986,1994]	OPER_IN	2	55	NA	NA	NA	458	0.6291608697656884	0.2692213282789333	445
(1986,1994]	OPER_IN	2	58	NA	NA	NA	10	0.694525143653281	0.3207851295921282	10
(1986,1994]	OPER_IN	NA	00	NA	NA	NA	1491	0.4472630464713105	0.14006265595794387	1341
(1986,1994]	OPER_IN	NA	10	NA	NA	NA	2389	0.5042518130809094	0.20179448040140746	1834
(1986,1994]	OPER_IN	NA	20	NA	NA	NA	89871	0.4898893716614381	0.18973408069542994	65445
(1986,1994]	OPER_IN	NA	25	NA	NA	NA	2017	0.4330704591198119	0.11552524418309816	1749
(1986,1994]	OPER_IN	NA	30	NA	NA	NA	59866	0.5040703416002933	0.2016129133075004	44222
(1986,1994]	OPER_IN	NA	40	NA	NA	NA	6143	0.5080792737808377	0.20468292103623703	4416
(1986,1994]	OPER_IN	NA	50	NA	NA	NA	4920	0.4515640058626562	0.14638218832535393	3672
(1986,1994]	OPER_IN	NA	55	NA	NA	NA	20498	0.5353271593055777	0.22243004433178978	17540
(1986,1994]	OPER_IN	NA	58	NA	NA	NA	363	0.44486763556118847	0.1364792085686234	330
(1986,1994]	OPER_IN	NA	60	NA	NA	NA	26	0.4251122474837794	0.10018114706253818	24
(1986,1994]	OPER_IN	NA	65	NA	NA	NA	125	0.6629212224862238	0.25643242796060367	112
(1986,1994]	OPER_IN	NA	70	NA	NA	NA	12	0.49060271206916284	0.19883860437623757	12
(1986,1994]	OPER_IN	NA	77	NA	NA	NA	39	0.5233479443618545	0.21803712870794945	37
(1986,1994]	OPER_IN	NA	78	NA	NA	NA	10	0.6097953576145607	0.2637892178215597	10
(1986,1994]	OPER_IN	NA	80	NA	NA	NA	952	0.5567811017027121	0.23335972097715338	724
(1986,1994]	OPER_IN	NA	90	NA	NA	NA	2479	0.5027259771753477	0.2005988528603421	2196
(1986,1994]	OPER_IN	NA	NA	NA	NA	NA	54	0.49060271206916284	0.19216105343427137	54
(1986,1994]	PURCH	NA	NA	NA	NA	NA	2548425	0.4054651081081644	0	285589
(1986,1994]	REIMB	NA	NA	NA	NA	NA	60081	0.4054651081081644	0	49514
(1994,2001]	CANC	NA	NA	NA	NA	NA	11964	0.4054651081081644	0	11394
(1994,2001]	DEATH	NA	NA	NA	NA	NA	6766	0.8547467379394433	0.3983125590356209	6766
(1994,2001]	INPAT	1	00	NA	NA	NA	258	0.5627101852832621	0.30326203385705597	213
(1994,2001]	INPAT	1	10	NA	NA	NA	86183	0.5978149215598058	0.30926228736104744	42383
(1994,2001]	INPAT	1	10E	NA	NA	NA	608	0.5388112589745664	0.2594737537883948	459
(1994,2001]	INPAT	1	10F	NA	NA	NA	187	0.7078967046842554	0.34782252256947055	161
(1994,2001]	INPAT	1	10G	NA	NA	NA	1093	0.5354679517705574	0.25717582805893413	731
(1994,2001]	INPAT	1	10H	NA	NA	NA	1620	0.48657744741777964	0.21938577470542195	429
(1994,2001]	INPAT	1	10I	NA	NA	NA	1885	0.5589116214145984	0.28369792036652514	1081
(1994,2001]	INPAT	1	10K	NA	NA	NA	6134	0.5209504390522184	0.24924858992285992	4090
(1994,2001]	INPAT	1	10M	NA	NA	NA	1256	0.6974143132041848	0.33814893998049306	532
(1994,2001]	INPAT	1	10R	NA	NA	NA	4841	0.5324852623291949	0.26059209110667786	2298
(1994,2001]	INPAT	1	20	NA	NA	NA	115037	0.5211670661800226	0.23611999301247258	71985
(1994,2001]	INPAT	1	20G	NA	NA	NA	9368	0.4524094444130783	0.16221913474964628	6920
(1994,2001]	INPAT	1	20J	NA	NA	NA	2318	0.6394285630723443	0.28365037646674623	1828
(1994,2001]	INPAT	1	20L	NA	NA	NA	2794	0.5370237020196967	0.23088783720676492	2009
(1994,2001]	INPAT	1	20O	NA	NA	NA	19157	0.5945042409248372	0.273996674397095	13523
(1994,2001]	INPAT	1	20P	NA	NA	NA	2536	0.4972644087185867	0.21405368822240245	1963
(1994,2001]	INPAT	1	20S	NA	NA	NA	620	0.5317909034320338	0.24270416080517065	287
(1994,2001]	INPAT	1	20T	NA	NA	NA	6078	0.46903475712395953	0.19150963443070348	4623
(1994,2001]	INPAT	1	20U	NA	NA	NA	4916	0.4616305962517769	0.17238474722030114	3127
(1994,2001]	INPAT	1	25	NA	NA	NA	6414	0.47221401163632565	0.18757404586363274	4354
(1994,2001]	INPAT	1	30	NA	NA	NA	95044	0.6064559593192652	0.3094720027245564	54189
(1994,2001]	INPAT	1	30E	NA	NA	NA	33	0.5394977513429867	0.24696132399345405	16
(1994,2001]	INPAT	1	30Q	NA	NA	NA	3552	0.5837010356732231	0.3015787056661661	2053
(1994,2001]	INPAT	1	31	NA	NA	NA	3005	0.5887990038789458	0.29662654930922344	2142
(1994,2001]	INPAT	1	40	NA	NA	NA	27009	0.5823318504350072	0.2829921947760241	11631
(1994,2001]	INPAT	1	40A	NA	NA	NA	250	0.5007050355262448	0.21852676981412777	127
(1994,2001]	INPAT	1	40D	NA	NA	NA	223	0.8469395069014496	0.4022304246518204	193
(1994,2001]	INPAT	1	40E	NA	NA	NA	38	0.5664565014640471	0.2845312895919708	31
(1994,2001]	INPAT	1	40G	NA	NA	NA	163	0.5703420136119438	0.26402622118173125	92
(1994,2001]	INPAT	1	40H	NA	NA	NA	946	0.4485862948684912	0.16006136286093137	92
(1994,2001]	INPAT	1	40I	NA	NA	NA	59	0.48613543799579745	0.21243781282686303	22
(1994,2001]	INPAT	1	40K	NA	NA	NA	209	0.838670162292307	0.37213434325762684	113
(1994,2001]	INPAT	1	40M	NA	NA	NA	74	0.853501964785408	0.2745569514557745	35
(1994,2001]	INPAT	1	42	NA	NA	NA	82	0.6368981461627715	0.2709818680260152	67
(1994,2001]	INPAT	1	50	NA	NA	NA	7909	0.4982080198394514	0.21621921617949894	5477
(1994,2001]	INPAT	1	55	NA	NA	NA	26134	0.4766649037749241	0.1861307291682013	20666
(1994,2001]	INPAT	1	55B	NA	NA	NA	80	0.45436825314545376	0.1627395668953329	76
(1994,2001]	INPAT	1	57	NA	NA	NA	87	0.4289513436836122	0.10760510210047865	31
(1994,2001]	INPAT	1	58	NA	NA	NA	1296	0.4820339181642322	0.20013922861860547	1096
(1994,2001]	INPAT	1	58V	NA	NA	NA	480	0.5961818031854101	0.2987648528619465	396
(1994,2001]	INPAT	1	60	NA	NA	NA	3482	0.503294109781398	0.22511937542283278	2206
(1994,2001]	INPAT	1	60A	NA	NA	NA	180	0.5160080539500363	0.2324904033186139	142
(1994,2001]	INPAT	1	65	NA	NA	NA	5953	0.438795272543095	0.13191865413350165	1753
(1994,2001]	INPAT	1	70	NA	NA	NA	31078	0.5874278946301642	0.29200364336410567	8713
(1994,2001]	INPAT	1	70F	NA	NA	NA	327	0.6039807891206226	0.3002883800833729	195
(1994,2001]	INPAT	1	70X	NA	NA	NA	363	0.5155073803254702	0.24002760360679992	209
(1994,2001]	INPAT	1	70Z	NA	NA	NA	206	0.9041742714702266	0.3777071228327418	161
(1994,2001]	INPAT	1	74	NA	NA	NA	267	0.5414534104134694	0.2514731155153928	171
(1994,2001]	INPAT	1	75	NA	NA	NA	692	0.6392155594073639	0.3164618733850563	273
(1994,2001]	INPAT	1	75X	NA	NA	NA	136	0.5330815542138654	0.23579954632833225	82
(1994,2001]	INPAT	1	77	NA	NA	NA	16852	0.5013679842019733	0.23107403535973256	10948
(1994,2001]	INPAT	1	78	NA	NA	NA	1434	0.6168494917961854	0.322777908622742	585
(1994,2001]	INPAT	1	80	NA	NA	NA	25310	0.5765340420726902	0.2900021391158593	11435
(1994,2001]	INPAT	1	80A	NA	NA	NA	33	0.5240181869864416	0.23846914755320595	27
(1994,2001]	INPAT	1	90	NA	NA	NA	394	0.6140054006163784	0.30461931567872585	201
(1994,2001]	INPAT	1	95	NA	NA	NA	751	0.6107574275965405	0.2958297879496831	319
(1994,2001]	INPAT	1	96	NA	NA	NA	3499	0.720671822206736	0.37072736306023907	2189
(1994,2001]	INPAT	1	97	NA	NA	NA	450	0.7233679811373784	0.3746894508636483	268
(1994,2001]	INPAT	1	98	NA	NA	NA	52689	0.5798088962865915	0.29423449500731297	22272
(1994,2001]	INPAT	2	20	NA	NA	NA	7100	0.4535930099905048	0.1586705818521904	6528
(1994,2001]	INPAT	2	20G	NA	NA	NA	25	0.4463311580094436	0.14144121053881964	25
(1994,2001]	INPAT	2	20J	NA	NA	NA	176	0.41126994474186884	0.0542983881477833	163
(1994,2001]	INPAT	2	20L	NA	NA	NA	54	0.41492484188160866	0.06951456254253406	54
(1994,2001]	INPAT	2	20O	NA	NA	NA	1533	0.4720215522009136	0.17852366932186495	1443
(1994,2001]	INPAT	2	20P	NA	NA	NA	171	0.4114396768071818	0.0550818487358484	165
(1994,2001]	INPAT	2	20T	NA	NA	NA	31	0.47137809181990514	0.17407767495271986	30
(1994,2001]	INPAT	2	20U	NA	NA	NA	144	0.42553872168768636	0.10914993028620833	135
(1994,2001]	INPAT	2	30	NA	NA	NA	3564	0.45829182906540916	0.16888505549642452	3357
(1994,2001]	INPAT	2	31	NA	NA	NA	103	0.45832654960603936	0.16504850236518206	94
(1994,2001]	INPAT	2	40	NA	NA	NA	92	0.4665420848627937	0.16664677603507153	90
(1994,2001]	INPAT	2	50	NA	NA	NA	980	0.4514506546287871	0.15960784866576674	852
(1994,2001]	INPAT	2	55	NA	NA	NA	2713	0.5255297835358627	0.2266032454404017	2458
(1994,2001]	INPAT	2	58	NA	NA	NA	66	0.43642423682125475	0.12282021924743312	62
(1994,2001]	INPAT	2	58V	NA	NA	NA	78	0.4120141545667027	0.05783961222428191	70
(1994,2001]	INPAT	2	98	NA	NA	NA	11	0.4519038011777999	0.15401972066645866	11
(1994,2001]	INPAT	5	98	NA	NA	NA	572	0.9797563662160599	0.3244774012192903	281
(1994,2001]	INPAT	6	10	NA	NA	NA	40	0.8724974659078562	0.33551918612662396	32
(1994,2001]	INPAT	6	10R	NA	NA	NA	1268	0.4719614177861133	0.20495113445338778	945
(1994,2001]	INPAT	6	20	NA	NA	NA	8	0.6390837465980626	0.33873250171138425	7
(1994,2001]	INPAT	6	20O	NA	NA	NA	47	0.4054651081081644	0	17
(1994,2001]	INPAT	6	77	NA	NA	NA	551	0.7061468493839494	0.32812652457081826	347
(1994,2001]	INPAT	6	78	NA	NA	NA	26	0.823349257078378	0.3627972241308702	7
(1994,2001]	INPAT	6	90	NA	NA	NA	144	0.8015555757310404	0.3655188673934655	89
(1994,2001]	INPAT	6	96	NA	NA	NA	212	0.43197021122809787	0.11356849933467837	129
(1994,2001]	INPAT	6	97	NA	NA	NA	188	1.130099758807676	0.3418985256436996	72
(1994,2001]	INPAT	6	98	NA	NA	NA	79	0.5642396658245138	0.33415402716416764	57
(1994,2001]	INPAT	8	70	NA	NA	NA	330	0.8188344586007457	0.37999063637132824	130
(1994,2001]	INPAT	8	98	NA	NA	NA	4080	0.7041945629064925	0.2823392900283251	920
(1994,2001]	OPER_IN	1	00	NA	NA	NA	50	0.5742372516918801	0.31187912376143223	47
(1994,2001]	OPER_IN	1	10	NA	NA	NA	11017	0.7567326924743515	0.43646179733145196	8073
(1994,2001]	OPER_IN	1	10E	NA	NA	NA	84	0.4702833042305587	0.18081080930479687	82
(1994,2001]	OPER_IN	1	10F	NA	NA	NA	58	0.519749566233846	0.24722137137259767	56
(1994,2001]	OPER_IN	1	10G	NA	NA	NA	156	0.5134311355623312	0.26153638181282457	141
(1994,2001]	OPER_IN	1	10H	NA	NA	NA	112	0.8615455608659179	0.4287902057694316	91
(1994,2001]	OPER_IN	1	10I	NA	NA	NA	105	0.6219790396450527	0.3742729484751165	89
(1994,2001]	OPER_IN	1	10K	NA	NA	NA	3759	0.9319949937704037	0.45315156545997354	2954
(1994,2001]	OPER_IN	1	10M	NA	NA	NA	180	0.8993685176063978	0.45988735124651425	110
(1994,2001]	OPER_IN	1	10R	NA	NA	NA	114	0.575843579248492	0.31332192790369967	84
(1994,2001]	OPER_IN	1	20	NA	NA	NA	74072	0.6654179016832866	0.37122906031440983	55104
(1994,2001]	OPER_IN	1	20G	NA	NA	NA	5352	0.6720883314701174	0.38314651939899524	4694
(1994,2001]	OPER_IN	1	20J	NA	NA	NA	1754	0.8503734191427312	0.44455626752460564	1532
(1994,2001]	OPER_IN	1	20L	NA	NA	NA	1557	0.6950506821260811	0.38767596645609864	1269
(1994,2001]	OPER_IN	1	20O	NA	NA	NA	14016	0.7212456047174065	0.4151781642859443	10987
(1994,2001]	OPER_IN	1	20P	NA	NA	NA	1951	0.8298952568790413	0.45477873292736565	1628
(1994,2001]	OPER_IN	1	20S	NA	NA	NA	130	0.8948964190773963	0.44080512916994935	110
(1994,2001]	OPER_IN	1	20T	NA	NA	NA	4082	1.0096279137773962	0.4931687565146265	3675
(1994,2001]	OPER_IN	1	20U	NA	NA	NA	2926	0.6996730454534762	0.39520874116160987	2240
(1994,2001]	OPER_IN	1	25	NA	NA	NA	3650	0.6701613003168632	0.3975233989327194	3051
(1994,2001]	OPER_IN	1	30	NA	NA	NA	40741	0.683153384996639	0.3674430640205549	32500
(1994,2001]	OPER_IN	1	30Q	NA	NA	NA	1206	0.628997948582439	0.3738876765816804	1036
(1994,2001]	OPER_IN	1	31	NA	NA	NA	553	0.8622900686668942	0.3697326165896296	475
(1994,2001]	OPER_IN	1	40	NA	NA	NA	3902	0.7872447986947316	0.4300415695998624	2474
(1994,2001]	OPER_IN	1	40D	NA	NA	NA	9	1.1739155616411459	0.5249238240110466	9
(1994,2001]	OPER_IN	1	40E	NA	NA	NA	6	1.0845268501847616	0.18429343397165415	6
(1994,2001]	OPER_IN	1	40G	NA	NA	NA	62	0.8679572895515408	0.3768805016690979	41
(1994,2001]	OPER_IN	1	40H	NA	NA	NA	214	1.196505020629383	0.38934852890496036	59
(1994,2001]	OPER_IN	1	40K	NA	NA	NA	147	1.2005321128034145	0.5080697217404138	93
