visit_year_bin	SOURCE	CODE5	CODE6	CODE7	CODE8	CODE9	n_visits	n_events_per_visit_logmean	n_events_per_visit_logsd	n_patients
(1,1986]	CANC	NA	NA	NA	NA	NA	2862	0.4054651081081644	0	2796
(1,1986]	INPAT	1	70	NA	NA	NA	10	0.5412774565234838	0.2970982894396708	10
(1,1986]	INPAT	1	70Z	NA	NA	NA	14	0.7578867402878164	0.28644265257567586	14
(1,1986]	INPAT	NA	00	NA	NA	NA	79	0.5579283862536575	0.31530624046238725	78
(1,1986]	INPAT	NA	10	NA	NA	NA	101	0.570318834391254	0.2911609648049631	100
(1,1986]	INPAT	NA	20	NA	NA	NA	229	0.5570958738183844	0.28610943537917694	228
(1,1986]	INPAT	NA	30	NA	NA	NA	257	0.549283745788656	0.2718817796307895	252
(1,1986]	INPAT	NA	40	NA	NA	NA	104	0.6604461855660713	0.31270257325187245	99
(1,1986]	INPAT	NA	50	NA	NA	NA	12	0.603779669081929	0.3058220125221189	12
(1,1986]	INPAT	NA	55	NA	NA	NA	50	0.46676418296008326	0.16768398841031995	50
(1,1986]	INPAT	NA	60	NA	NA	NA	7	0.4054651081081644	0	7
(1,1986]	INPAT	NA	70	NA	NA	NA	362	0.5355217656031851	0.2589986813843436	358
(1,1986]	INPAT	NA	75	NA	NA	NA	6	0.5757403160301613	0.2637892178215597	6
(1,1986]	INPAT	NA	77	NA	NA	NA	24	0.6433870111586251	0.40233625341527496	24
(1,1986]	INPAT	NA	80	NA	NA	NA	21	0.5591352315401824	0.2934920048803171	21
(1,1986]	INPAT	NA	90	NA	NA	NA	20	0.7571518622002994	0.43690141139968086	20
(1,1986]	INPAT	NA	NA	NA	NA	NA	661579	0.5214228888912694	0.24219421289606946	227115
(1,1986]	OPER_IN	NA	20	NA	NA	NA	144	0.49060271206916284	0.19103795174368224	144
(1,1986]	OPER_IN	NA	30	NA	NA	NA	100	0.5178467453366823	0.21267366652994835	100
(1,1986]	OPER_IN	NA	40	NA	NA	NA	13	0.5626422231130846	0.24539269214994042	13
(1,1986]	OPER_IN	NA	55	NA	NA	NA	36	0.5473611147098285	0.2320459940945916	36
(1,1986]	OPER_IN	NA	NA	NA	NA	NA	19182	0.4981391343153194	0.19685988020039485	17682
(1,1986]	REIMB	NA	NA	NA	NA	NA	40760	0.4054651081081644	0	35305
(1986,1994]	CANC	NA	NA	NA	NA	NA	5895	0.4054651081081644	0	5693
(1986,1994]	DEATH	NA	NA	NA	NA	NA	1315	0.7601821481940427	0.3694456081197497	1315
(1986,1994]	INPAT	1	00	NA	NA	NA	42	0.4541151675144492	0.15176719043659956	34
(1986,1994]	INPAT	1	10	NA	NA	NA	11784	0.5918412128320619	0.3007035191305208	8004
(1986,1994]	INPAT	1	10E	NA	NA	NA	24	0.6323287945365443	0.2821646029015049	24
(1986,1994]	INPAT	1	10F	NA	NA	NA	16	0.5970247170204109	0.25541281188299536	16
(1986,1994]	INPAT	1	10G	NA	NA	NA	22	0.5832947264255802	0.27497674033859515	21
(1986,1994]	INPAT	1	10H	NA	NA	NA	26	0.47734776610505614	0.21028117086134077	18
