EVENT_AGE,Frequency,APPROX_EVENT_DAY,Frequency,CDA_ID_SALATTU,Frequency,DOC_GROUP_SALATTU,Frequency,RESEPTISTATUS,Frequency,DIS_AMOUNT_CALC_TXT,Frequency,DIS_AMT_VALUE,Frequency,DIS_AMOUNT_TXT,Frequency,DIS_AMT_UNIT,Frequency,DELIVERY_FEE,Frequency,MED_EXCHANGED,Frequency,DOSE_DISTRIBUTION,Frequency,ATC_CODE,Frequency,PREPARATION_TYPE_CODE,Frequency,PRODUCT_CODE1,Frequency,PRODUCT_CODE2,Frequency,PRODUCT_CODE3,Frequency,LAAKEMUOTOKOODI,Frequency,DRUG_NAME_C,Frequency,DOSE_QUANTITY_TEXT,Frequency
,,2023-03-13,181,,,,,,,3X1,165,,,,,,,9.12,471,,,,,A10BD07,920,,,590925,647,,,,,,,OLANZAPIN RATIOPHARM,851,200/25 MG,551
,,2022-11-29,181,,,,,,,2x1X12,164,,,,,,,6.82,469,,,,,A10AE05,913,,,532960,644,,,,,,,DEPRAKINE,846,100/25 MG,550
,,2020-11-24,181,,,,,,,1X8,162,,,,,,,7.85,465,,,,,C01AA05,900,,,533502,641,,,,,,,ROSUVASTATIN ACTAVIS,839,0,1 mg/annos,547
,,2022-01-07,181,,,,,,,1X3X2,5,161,,,,,,,10.79,464,,,,,N02AA55,881,,,420209,637,,,,,,,BISOPROLOL ACTAVIS,831,47,5 MG,546
,,2023-08-13,181,,,,,,,1X3,160,,,,,,,18.6,464,,,,,N05AX12,868,,,081183,635,,,,,,,AQUALAN L,826,2,5 mikrog,538
,,2022-09-03,180,,,,,,,3x21,160,,,,,,,39.77,461,,,,,B01AE07,864,,,003631,629,,,,,,,NOVORAPID FLEXPEN,822,10 mg/g,535
,,2023-09-18,180,,,,,,,2x1X50,159,,,,,,,14.26,461,,,,,N05BB01,859,,,139742,628,,,,,,,RAMIPRIL RATIOPHARM,816,2,5 MIKROG,530
,,2023-10-21,180,,,,,,,2X500,158,,,,,,,10.85,460,,,,,C09DA03,857,,,029483,621,,,,,,,DONEPEZIL ORION,812,160 MIKROG/ANNOS,527
,,2023-09-06,180,,,,,,,1x3X120,155,,,,,,,10.3,458,,,,,A10BK01,850,,,006222,620,,,,,,,ATARAX,812,50_MG,525
,,2019-12-20,180,,,,,,,1x3X10,152,,,,,,,19.11,458,,,,,N05BA06,828,,,106088,619,,,,,,,PRAMIPEXOLE ORION,809,665 MG,524
,,2023-03-31,180,,,,,,,1X3,5,152,,,,,,,15.72,458,,,,,S01CA01,821,,,026943,617,,,,,,,DOXIMED,806,0,5/0,4 MG,520
,,2022-11-09,180,,,,,,,3x1X120,152,,,,,,,29.46,457,,,,,N04BA02,794,,,006203,615,,,,,,,FINASTERID ORION,801,5 mg/ml,515
,,2022-07-27,180,,,,,,,3x120,152,,,,,,,14.92,454,,,,,G04BE08,787,,,395469,613,,,,,,,SERETIDE EVOHALER,800,500 mg/20 mikrog,513
,,2022-07-18,180,,,,,,,3X56,152,,,,,,,8.53,452,,,,,J05AB01,779,,,063375,603,,,,,,,CERAZETTE,798,125/50 MIKROG/ANNOS,510
,,2022-10-24,179,,,,,,,2x20,149,,,,,,,8.95,452,,,,,R06AX22,754,,,001024,601,,,,,,,TAMSULOSIINIHYDROKLORIDI ORION,796,400 MIKROG/ANNOS,507
,,2022-09-01,179,,,,,,,1X60X1,148,,,,,,,16.03,452,,,,,A11CC05,754,,,094002,593,,,,,,,LEVEMIR FLEXPEN,788,3MG,502
,,2023-09-14,179,,,,,,,3x5,148,,,,,,,10.19,451,,,,,L02BG04,752,,,003948,592,,,,,,,STILNOCT,780,20/12,5 MG,496
,,2023-10-06,179,,,,,,,1x2X50,143,,,,,,,13.95,451,,,,,J02AC01,751,,,442705,590,,,,,,,ENALAPRIL ORION,779,0.4 MG,480
,,2023-09-08,179,,,,,,,1x90X1,141,,,,,,,10.72,449,,,,,G03FA01,749,,,000453,588,,,,,,,TRIMOPAN,771,0,1 MG/ANNOS,478
,,2021-09-29,179,,,,,,,4X50,135,,,,,,,8.14,447,,,,,P01AB01,744,,,062812,582,,,,,,,SEPRAM,768,10 mg/ml,478
,,2023-01-09,179,,,,,,,1X10X3,134,,,,,,,8.67,447,,,,,R03BA01,737,,,565663,580,,,,,,,NORSPAN,766,25MG,476
,,2023-12-03,179,,,,,,,2x1X56,134,,,,,,,15.28,447,,,,,C01DA02,733,,,175703,579,,,,,,,VOXRA,764,1_G,463
,,2022-05-10,179,,,,,,,2X12,132,,,,,,,9.06,446,,,,,A06AD11,729,,,042379,577,,,,,,,ESCITALOPRAM ORION,763,50/1000 MG,458
,,2023-03-02,179,,,,,,,1x28,131,,,,,,,27.05,443,,,,,C09DA07,728,,,195632,572,,,,,,,PROGYNOVA,762,0.5 MG,456
,,2022-11-30,179,,,,,,,1X12X1,130,,,,,,,2.16,440,,,,,M03BC01,726,,,526871,568,,,,,,,OXAMIN,758,160 mikrog/annos,448
,,2023-06-15,179,,,,,,,3x1X5,130,,,,,,,10.26,439,,,,,A03FA01,725,,,136945,568,,,,,,,STELLA,757,12,5 mg,438
,,2023-05-10,179,,,,,,,1x60,128,,,,,,,16.33,439,,,,,M02AA15,722,,,481467,567,,,,,,,OXYNORM,752,95 mg,438
,,2022-04-06,179,,,,,,,1x3X140,127,,,,,,,14.51,436,,,,,A03DA02,720,,,021921,566,,,,,,,MICARDIS,749,20/12,5 mg,425
,,2022-10-17,178,,,,,,,2x120,126,,,,,,,256.82,433,,,,,R06AE09,718,,,093284,565,,,,,,,CETIRIZIN-RATIOPHARM,744,875/125 MG,423
,,2020-12-02,178,,,,,,,2x2X50,125,,,,,,,6.7,433,,,,,R05CB15,700,,,176455,563,,,,,,,MIRTAZAPIN RATIOPHARM,741,150MG,421
,,2023-07-27,178,,,,,,,1X120X0.5,123,,,,,,,11.23,433,,,,,L04AX01,694,,,004801,563,,,,,,,LINATILSAN,740,25_MG,418
,,2022-03-08,178,,,,,,,2X1,120,,,,,,,25.68,428,,,,,C09AA04,693,,,524348,562,,,,,,,OFTAN DEXA-CHLORA,737,0.1 %,415
,,2022-12-02,178,,,,,,,1X2X98,120,,,,,,,9.89,427,,,,,R03AK08,693,,,008259,557,,,,,,,DIOVAN COMP,731,100/25 mg,408
,,2021-10-22,178,,,,,,,1X3X30,116,,,,,,,17.05,427,,,,,N06BA04,691,,,441765,557,,,,,,,NORFLEX,727,5/2,5 mg,404
,,2023-01-05,178,,,,,,,2x200,113,,,,,,,13.81,426,,,,,D07AC13,691,,,050469,550,,,,,,,METOJECT PEN,727,500 MG/400 IU,404
,,2023-04-28,178,,,,,,,1x90,113,,,,,,,144.98,423,,,,,N05BA12,690,,,064281,549,,,,,,,LAMICTAL,726,15MG,400
,,2023-12-04,178,,,,,,,4x5X3,112,,,,,,,2.47,422,,,,,G03BA03,686,,,013353,547,,,,,,,ETORICOXIB KRKA,724,1,25 mg/annos,393
,,2019-12-18,178,,,,,,,5X100,112,,,,,,,13.63,417,,,,,R05FA02,676,,,541084,546,,,,,,,LITALGIN,720,500/5 MG,388
,,2023-03-24,178,,,,,,,3X21,112,,,,,,,46.82,415,,,,,G04CB02,676,,,383968,544,,,,,,,PRONAXEN,710,0.1MG,388
,,2022-11-23,178,,,,,,,2x5x3,111,,,,,,,16.79,415,,,,,J05AB11,673,,,037604,533,,,,,,,ENALAPRIL-RATIOPHARM,708,100 MIKROG/ANNOS,384
,,2023-06-22,178,,,,,,,1X18,110,,,,,,,11.89,415,,,,,M05BA04,660,,,018285,530,,,,,,,HISTEC,701,27,5 MIKROG/SUIHKE,384
,,2023-05-19,178,,,,,,,2X12X1,109,,,,,,,9.28,414,,,,,S01EE01,654,,,434811,527,,,,,,,ERDOPECT,700,40 MG/ML,378
,,2023-05-24,178,,,,,,,2x50,106,,,,,,,24.57,411,,,,,J01XE01,645,,,070185,521,,,,,,,DIVISUN,700,600MG,378
,,2021-12-21,178,,,,,,,1X96,106,,,,,,,9.42,410,,,,,N03AE01,643,,,007902,516,,,,,,,EZETIMIBE ORION,696,2 MG/G,377
,,2021-12-28,178,,,,,,,1x10X3,106,,,,,,,24.53,408,,,,,R03AK10,638,,,471557,516,,,,,,,JANUMET,694,16/12,5 MG,374
,,2022-01-06,178,,,,,,,1X2,105,,,,,,,15.22,407,,,,,C07AG02,634,,,550236,515,,,,,,,SERTRALIN ORION,686,250 mikrog/annos,374
,,2022-09-06,177,,,,,,,2x56,105,,,,,,,23.43,407,,,,,A07DA03,632,,,499533,515,,,,,,,TRAMAL RETARD,685,75MG,368
,,2022-10-10,177,,,,,,,1X3X1,105,,,,,,,88.8,406,,,,,D07AD01,632,,,521208,514,,,,,,,TEMESTA,683,665 mg,364
,,2022-09-28,177,,,,,,,6X100,105,,,,,,,13.2,404,,,,,G03FA14,625,,,176107,508,,,,,,,TARGINIQ,678,200/25 mg,362
,,2022-09-13,177,,,,,,,1x10X0.4,104,,,,,,,9.08,402,,,,,J01MA02,609,,,154028,508,,,,,,,VISCOTEARS,674,70 MG,361
,,2022-06-18,177,,,,,,,1X3X3,103,,,,,,,8.63,402,,,,,S01GX01,607,,,101953,501,,,,,,,MEMANTIN ORION,659,50 MIKROG/ML,360
,,2023-11-04,177,,,,,,,1x120x0,5,102,,,,,,,12.14,402,,,,,R05CB06,594,,,118072,496,,,,,,,TRADOLAN RETARD,658,16/12,5 mg,355
,,2023-11-03,177,,,,,,,2X90,100,,,,,,,7.75,401,,,,,S01BA04,591,,,006989,495,,,,,,,CITALOPRAM ORION,653,160/4,5 mikrog/annos,355
,,2023-11-08,177,,,,,,,1x1X18,99,,,,,,,2.51,401,,,,,A11EA,576,,,005932,494,,,,,,,RIVATRIL,653,1 MG/G,353
,,2023-11-20,177,,,,,,,1x30X0.25,99,,,,,,,11.78,401,,,,,C01BC04,567,,,484011,491,,,,,,,VOLTAREN FORTE,651,70 mg,351
,,2020-03-11,177,,,,,,,1x3X1,98,,,,,,,152.3,400,,,,,D07AB02,562,,,005976,489,,,,,,,CALCICHEW D3 FORTE MINTTU,647,750MG,349
,,2020-03-28,177,,,,,,,4X5X3,98,,,,,,,11.95,399,,,,,J01FA10,561,,,007083,486,,,,,,,MOTIFENE DUAL,644,125/50MIKROG/ANN,346
,,2022-12-21,177,,,,,,,1X40,97,,,,,,,7.18,398,,,,,R05DA01,559,,,003121,483,,,,,,,NITROFUR-C,644,400 mikrog/annos,342
,,2021-04-01,177,,,,,,,1x3x28,96,,,,,,,1.43,397,,,,,A02BC04,556,,,028121,483,,,,,,,RELVAR ELLIPTA,638,75/750 MG,340
,,2023-01-02,177,,,,,,,1x120,95,,,,,,,14.19,396,,,,,N03AX14,556,,,141238,481,,,,,,,MELATONIN.,622,5 %,333
,,2022-05-13,177,,,,,,,2x1X500,95,,,,,,,9.47,395,,,,,D06AX01,548,,,034694,480,,,,,,,CODESAN COMP,614,7.5MG,327
,,2023-03-10,177,,,,,,,2x1X24,95,,,,,,,20.24,392,,,,,N06AB03,543,,,067530,479,,,,,,,LINATIL COMP,603,500/30_MG,327
,,2018-12-07,177,,,,,,,3x10,95,,,,,,,5.62,392,,,,,M01AC06,541,,,450734,477,,,,,,,BECLOMET EASYHALER,594,6 mg/ml,323
,,2023-05-27,177,,,,,,,3x1X56,95,,,,,,,4.63,392,,,,,C02AC05,526,,,031814,477,,,,,,,FLAVAMED,591,0,02/3 MG,322
,,2022-09-27,176,,,,,,,1x60X1,95,,,,,,,7.57,391,,,,,N06DA03,525,,,471490,475,,,,,,,INNOVAIR,589,2.5_MG,320
,,2023-07-05,176,,,,,,,1X30X1,94,,,,,,,16.53,391,,,,,M05BX04,521,,,579147,472,,,,,,,NORVASC,586,12,5 MG,320
,,2023-11-09,176,,,,,,,1x1X40,94,,,,,,,5.72,391,,,,,R03AC03,516,,,481549,469,,,,,,,AMORION COMP,584,27,5 MIKROG/SUIH,319
,,2023-11-06,176,,,,,,,1x5X20,94,,,,,,,19.74,388,,,,,N06CA01,516,,,094310,460,,,,,,,ASASANTIN RETARD,583,300MG,314
,,2023-11-12,176,,,,,,,1x1X2,93,,,,,,,6.15,387,,,,,G04BX01,514,,,016395,460,,,,,,,PULMICORT TURBUHALER,580,50/1000 mg,312
,,2022-06-04,176,,,,,,,3x56,93,,,,,,,85.76,387,,,,,G02BB01,508,,,416719,455,,,,,,,ARTELAC,579,600_MG,309
,,2023-09-21,176,,,,,,,2X10X3,91,,,,,,,12.53,385,,,,,C07BB07,489,,,493232,452,,,,,,,MICARDISPLUS,576,3,2 MG/ML,309
,,2023-10-04,176,,,,,,,1X112,91,,,,,,,12.92,384,,,,,C10AA03,485,,,162658,448,,,,,,,TRIOBE,575,2.5MG,302
,,2023-10-27,176,,,,,,,2x12,90,,,,,,,10.5,383,,,,,G03AA10,485,,,396554,448,,,,,,,CLOPIDOGREL KRKA,567,27.5 MIKROG/SUIHKE,299
,,2023-09-04,176,,,,,,,2X5,89,,,,,,,29.29,380,,,,,N03AF02,478,,,445240,448,,,,,,,CANDESARTAN ACTAVIS,565,1,25 MG/ANNOS,297
,,2021-04-02,176,,,,,,,1x24,89,,,,,,,3.91,379,,,,,A10BJ02,477,,,418896,446,,,,,,,AMLODIPIN ACTAVIS,560,50/250 MIKROG/ANNOS,296
,,2023-04-03,176,,,,,,,1X42,89,,,,,,,127.72,378,,,,,A06AD15,476,,,581637,445,,,,,,,COCILLANA,559,150_MG,293
,,2023-04-13,176,,,,,,,1X3X5,87,,,,,,,1.8,378,,,,,A10AB04,465,,,018904,443,,,,,,,DALACIN,559,550 MG,292
,,2023-04-14,176,,,,,,,1x1X21,87,,,,,,,13.65,377,,,,,C09DB01,455,,,385490,442,,,,,,,ESTRADOT,551,3,2 mg/ml,292
,,2019-12-06,176,,,,,,,1X50X12,86,,,,,,,7.14,375,,,,,L04AB04,452,,,476408,441,,,,,,,VALAVIR,550,30MG,291
,,2023-12-16,176,,,,,,,1x3X3,81,,,,,,,13.91,375,,,,,J07BA01,448,,,003678,439,,,,,,,QUETIAPINE TEVA,547,47.5 MG,291
,,2023-06-14,176,,,,,,,2X140,81,,,,,,,9.49,374,,,,,B03BA03,445,,,161495,437,,,,,,,VICTOZA,543,15_MG,287
,,2023-06-16,176,,,,,,,1x4X1,81,,,,,,,20.89,374,,,,,C10AA04,443,,,479186,435,,,,,,,MEDITHYROX,535,0,25 mg,286
,,2021-05-19,176,,,,,,,1X48,80,,,,,,,16.86,374,,,,,N06AA10,440,,,463133,435,,,,,,,BUDESONID EASYHALER,532,1 %,286
,,2021-05-25,176,,,,,,,1x3X30,78,,,,,,,16.68,369,,,,,J07AL02,439,,,116928,432,,,,,,,CANDEMOX,527,200MIKROG/DOS,285
,,2021-05-27,176,,,,,,,1x50X12,78,,,,,,,12.63,369,,,,,D01BA02,432,,,463869,432,,,,,,,FLAGYL,525,1 mg/g,285
,,2019-06-17,176,,,,,,,1X90X0,3,77,,,,,,,19.91,367,,,,,M01AE52,430,,,050365,431,,,,,,,IBUXIN,520,6 MG/ML,281
,,2022-09-07,175,,,,,,,1x1X42,77,,,,,,,6.25,367,,,,,L04AD01,430,,,431530,430,,,,,,,EZETROL,518,5 MIKROG/H,279
,,2022-09-15,175,,,,,,,2x1X90,77,,,,,,,15.65,367,,,,,A10AE06,425,,,469485,428,,,,,,,MIRANAX,517,50/12,5 MG,277
,,2023-07-29,175,,,,,,,2x1X5,76,,,,,,,36.63,366,,,,,D01AC20,423,,,526297,427,,,,,,,BRICANYL TURBUHALER,516,50/12,5 mg,274
,,2022-06-17,175,,,,,,,1x60X0.35,76,,,,,,,15.34,365,,,,,S01EC04,423,,,184911,425,,,,,,,EMGESAN,516,5 mikrog/h,274
,,2023-11-22,175,,,,,,,6x1X100,75,,,,,,,10.59,364,,,,,N07CA01,423,,,090998,425,,,,,,,NITROGLYCERIN ORION,514,2MG,272
,,2020-03-23,175,,,,,,,4x1X50,73,,,,,,,10.65,364,,,,,G03HB01,422,,,025792,423,,,,,,,AMOXIN,513,5 MG/G,268
,,2021-10-25,175,,,,,,,1x1X300,73,,,,,,,27.38,363,,,,,N02BF01,421,,,431809,420,,,,,,,SILDENAFIL SANDOZ,512,750_MG,267
,,2021-10-04,175,,,,,,,5x1X100,73,,,,,,,13.03,362,,,,,C09AA03,421,,,027169,418,,,,,,,DULOXETINE KRKA,510,1,5 mg,267
,,2023-04-17,175,,,,,,,1x20,73,,,,,,,8.5,359,,,,,G04BD08,412,,,048580,415,,,,,,,LOSARTAN/HYDROCHLOROTHIAZIDE ORION,502,0,5 %,265
,,2022-08-27,175,,,,,,,2X180,73,,,,,,,5.83,358,,,,,A01AA01,395,,,135269,412,,,,,,,PREGABALIN ORION,500,23,2 mg/g,264
,,2023-12-08,175,,,,,,,1X21,73,,,,,,,7.0,357,,,,,R03AK11,385,,,160763,411,,,,,,,DERMOVAT,499,100_U/ML,263
,,2023-12-13,175,,,,,,,1X51,73,,,,,,,11.96,357,,,,,N03AF01,384,,,566182,410,,,,,,,MIRTAZAPIN ACTAVIS,497,2.5 MIKROG,263
,,2023-12-18,175,,,,,,,1X80,72,,,,,,,14.13,356,,,,,J01FF01,382,,,169264,409,,,,,,,LEVOLAC,493,100/12,5 mg,262
,,2020-07-15,175,,,,,,,2x10,71,,,,,,,31.14,355,,,,,N02AB03,382,,,490395,409,,,,,,,OXYCONTIN,493,200MG,262
,,2022-02-24,175,,,,,,,1x90X0.3,71,,,,,,,9.4,355,,,,,B01AB10,380,,,123273,408,,,,,,,LINATIL,492,2,5/25 MG,261
,,2022-02-21,175,,,,,,,1x5x3,70,,,,,,,14.2,354,,,,,M03BC51,380,,,011271,404,,,,,,,GABAPENTIN RATIOPHARM,492,50 mikrog/ml,260
,,2022-02-20,175,,,,,,,2X15,70,,,,,,,8.21,354,,,,,N02BF02,377,,,380766,403,,,,,,,PENOMAX,488,2.5 mg,256
,,2022-11-16,175,,,,,,,1x10,70,,,,,,,1.57,354,,,,,S01BA01,377,,,427844,403,,,,,,,SERONIL,488,100 mg/ml,252
,,2021-12-22,175,,,,,,,2x500,70,,,,,,,6.04,352,,,,,L04AA06,373,,,016941,399,,,,,,,CIRCADIN,484,32 mg,251
,,2021-12-07,175,,,,,,,1x60X0.5,70,,,,,,,133.84,349,,,,,C07AB12,370,,,005494,398,,,,,,,DULOXETINE ORION,484,670 MG/ML,250
,,2022-04-05,175,,,,,,,1x120x0.5,69,,,,,,,2.13,349,,,,,S01EE05,366,,,449134,398,,,,,,,CANDEXETIL COMP,483,5 mg/g,249
,,2023-08-30,175,,,,,,,120x0,5,68,,,,,,,72.95,349,,,,,N05AA02,366,,,010603,396,,,,,,,MEMANTINE SANDOZ,483,20/12.5 MG,247
,,2021-03-13,174,,,,,,,2X4,67,,,,,,,21.48,348,,,,,R06AX13,366,,,185660,396,,,,,,,VOLTAREN RETARD,479,23,2 MG/G,246
,,2020-12-07,174,,,,,,,2X6,67,,,,,,,2.73,346,,,,,H02AB04,365,,,469437,396,,,,,,,PERINDOPRIL RATIOPHARM,475,300 U/ml,244
,,2023-07-09,174,,,,,,,1X400,67,,,,,,,12.06,346,,,,,B03AA01,363,,,484953,392,,,,,,,RISPERIDON ORION,475,75_MG,243
,,2023-11-24,174,,,,,,,4x50,67,,,,,,,9.95,345,,,,,C07AB03,363,,,518332,391,,,,,,,AMOXIN COMP,473,200_MIKROG/ANNOS,239
,,2023-11-23,174,,,,,,,1X3X140,66,,,,,,,7.68,343,,,,,M02AA07,363,,,398800,390,,,,,,,ARTHRYL,472,100U/ML,238
,,2020-03-09,174,,,,,,,1x1X48,66,,,,,,,7.6,343,,,,,N05AN01,359,,,156018,389,,,,,,,EXPROS,466,1 milj.IU,237
,,2023-10-18,174,,,,,,,1X900,66,,,,,,,17.49,341,,,,,C05AA08,358,,,409763,381,,,,,,,NEURONTIN,462,550 mg,237
,,2022-03-01,174,,,,,,,1x180,64,,,,,,,20.03,339,,,,,B03BA01,357,,,018759,379,,,,,,,DIGOXIN ORION SEMI,452,300_MG,237
,,2022-12-26,174,,,,,,,1X4X1,64,,,,,,,9.73,339,,,,,G01AF01,357,,,598886,379,,,,,,,ELOCON,452,0,5 mg/g,237
,,2023-04-12,174,,,,,,,1x1X112,63,,,,,,,17.39,339,,,,,L02AE02,353,,,102164,378,,,,,,,PRED FORTE,450,1/10 MG/G,236
,,2023-04-16,174,,,,,,,1x3X5,63,,,,,,,19.83,338,,,,,N06DA04,352,,,395850,378,,,,,,,GLUCOPHAGE,446,400MG,236
,,2021-11-29,174,,,,,,,1X120X0,6,63,,,,,,,19.06,336,,,,,L04AD02,350,,,005876,377,,,,,,,TAMBOCOR RETARD,446,2 mg/g,233
,,2021-11-03,174,,,,,,,3X98,62,,,,,,,27.02,336,,,,,G03AA09,349,,,005209,370,,,,,,,LETROZOL RATIOPHARM,445,6 mg,233
,,2022-02-16,174,,,,,,,2x5,62,,,,,,,2.42,335,,,,,N02CC03,343,,,478757,369,,,,,,,COHEMIN DEPOT,445,10 mikrog/h,233
,,2022-11-15,174,,,,,,,1X5X20,62,,,,,,,7.81,334,,,,,S01AE05,339,,,010215,368,,,,,,,SUMATRIPTAN TEVA,442,10 MIKROG/H,232
,,2020-11-26,174,,,,,,,3X60X1,62,,,,,,,14.46,334,,,,,D07XC01,334,,,179374,366,,,,,,,NUVARING,442,1/10 mg/g,232
,,2022-11-11,174,,,,,,,1x12X1,62,,,,,,,8.72,333,,,,,N06AB05,332,,,016315,365,,,,,,,AMLODIPIN KRKA,442,12 g,228
,,2022-11-02,174,,,,,,,3x2,5,62,,,,,,,26.33,333,,,,,D07CC01,331,,,013485,364,,,,,,,ISANGINA,439,25/250 MIKROG/ANNOS,228
,,2023-06-26,174,,,,,,,2x1X15,61,,,,,,,12.55,333,,,,,J01XX05,330,,,160972,364,,,,,,,NORITREN,439,2.5 MG/G,226
,,2023-06-30,174,,,,,,,1X0.5,61,,,,,,,27.0,332,,,,,L02BA01,329,,,048876,364,,,,,,,PARIET,438,40 mg/ml,226
,,2020-06-07,174,,,,,,,1X250,60,,,,,,,8.07,332,,,,,G03FA12,328,,,445344,364,,,,,,,ETORICOXIB ORION,437,100 mikrog/annos,224
,,2023-02-14,174,,,,,,,1x1X80,60,,,,,,,6.36,331,,,,,G03DC02,322,,,069727,363,,,,,,,ORISANTIN,437,500/20 MG,223
,,2022-07-12,174,,,,,,,1X10X0,4,60,,,,,,,1.44,331,,,,,H02AB02,321,,,070384,363,,,,,,,ABSENOR,436,300 U/ML,222
,,2022-10-29,173,,,,,,,3x5x3,60,,,,,,,13.87,330,,,,,H02AB07,321,,,552620,361,,,,,,,PANTOPRAZOLE RATIOPHARM,435,10_MIKROG,222
,,2020-12-16,173,,,,,,,3X10,60,,,,,,,1.09,330,,,,,N02CC06,320,,,104055,361,,,,,,,ESOMEPRAZOL RATIOPHARM,435,5/2,5 MG,221
,,2023-11-28,173,,,,,,,5x3,59,,,,,,,32.08,329,,,,,N02CC07,314,,,010947,360,,,,,,,ESTROGEL,434,50 MG/ML,220
,,2022-06-19,173,,,,,,,3x1X1,59,,,,,,,8.41,327,,,,,A09AA02,312,,,002039,360,,,,,,,SELOKEN ZOC,432,50/250 mikrog/annos,220
,,2023-10-19,173,,,,,,,1X9,57,,,,,,,11.01,325,,,,,D07AB08,305,,,492298,358,,,,,,,KALCIPOS-D FORTE,432,18 MIKROG,219
,,2021-10-12,173,,,,,,,2X24,57,,,,,,,82.16,323,,,,,C09DX01,303,,,537324,357,,,,,,,SANDIMMUN NEORAL,430,80/12,5 mg,219
,,2021-04-06,173,,,,,,,6x100,57,,,,,,,7.19,323,,,,,B01AF03,302,,,010940,357,,,,,,,VIMOVO,430,1,25 MG/ML,218
,,2023-01-20,173,,,,,,,3x1X200,56,,,,,,,1.64,323,,,,,A10BH02,296,,,090070,357,,,,,,,TRESIBA,425,6 MG,216
,,2022-08-20,173,,,,,,,2x90,55,,,,,,,14.09,322,,,,,N05AB03,295,,,001102,356,,,,,,,LANTUS SOLOSTAR,423,25/250 mikrog/annos,216
,,2021-11-04,173,,,,,,,2x10X3,55,,,,,,,10.23,321,,,,,L04AB01,293,,,525154,355,,,,,,,ALLONOL,423,75/750 mg,215
,,2023-03-15,173,,,,,,,1X90X0.3,54,,,,,,,15.08,321,,,,,N03AX11,291,,,004795,353,,,,,,,DIFLUCAN,420,35/450 MG,212
,,2018-12-25,173,,,,,,,1x1X250,54,,,,,,,8.3,320,,,,,G03AA14,290,,,135210,351,,,,,,,ORIDIP,420,500/5 mg,212
,,2023-06-01,173,,,,,,,1x1X9,54,,,,,,,83.85,319,,,,,R06AX26,290,,,539990,349,,,,,,,NEXIUM,414,0,1 MG,212
,,2019-03-15,173,,,,,,,1x200,54,,,,,,,10.44,317,,,,,N02AJ13,285,,,011326,349,,,,,,,SUMATRIPTAN SANDOZ,412,32 MG,211
,,2023-05-23,173,,,,,,,1x1X900,54,,,,,,,21.29,317,,,,,N02CC04,282,,,482612,348,,,,,,,AZOPT,410,0.1 MG/ANNOS,211
,,2021-05-08,173,,,,,,,2x1X1,53,,,,,,,12.04,317,,,,,A05AA02,280,,,015095,347,,,,,,,EXFORGE,409,0,088 mg,211
,,2023-05-02,173,,,,,,,1x1X96,53,,,,,,,9.45,316,,,,,A11CC03,278,,,019621,346,,,,,,,PENTASA,409,200/6 mikrog/annos,210
,,2023-05-01,173,,,,,,,1x120X0.6,53,,,,,,,16.11,316,,,,,D05AX52,270,,,409474,345,,,,,,,HYDROCORTISON,408,7.5_MG,206
,,2023-08-28,173,,,,,,,1x1X51,52,,,,,,,14.9,313,,,,,C02CA01,267,,,593319,344,,,,,,,RISPERIDON RATIOPHARM,407,400_MG,206
,,2022-09-23,172,,,,,,,4x5x3,52,,,,,,,21.49,313,,,,,J07BC20,267,,,474643,342,,,,,,,IMUREL,407,80/12,5 MG,205
,,2023-07-19,172,,,,,,,3x1,52,,,,,,,9.57,313,,,,,S02CA03,267,,,008468,339,,,,,,,KEPPRA,402,100/6 mikrog/annos,205
,,2022-06-07,172,,,,,,,2X150,52,,,,,,,11.49,313,,,,,L01BA01,262,,,004579,337,,,,,,,FOLIC ACID VITABALANS,402,0.1_MG,204
,,2023-11-16,172,,,,,,,2x1X180,52,,,,,,,159.51,311,,,,,B01AC24,257,,,469940,335,,,,,,,PREGABALIN RATIOPHARM,402,500/125 MG,203
,,2021-06-05,172,,,,,,,1X60X0,5,52,,,,,,,7.74,311,,,,,A11DB,257,,,503220,335,,,,,,,puuttuu,401,50/500 MIKROG/ANNOS,203
,,2023-09-29,172,,,,,,,1X20X1,52,,,,,,,19.07,310,,,,,A04AA01,255,,,059933,334,,,,,,,CYMBALTA,398,1MG,202
,,2021-10-14,172,,,,,,,3X20,52,,,,,,,14.06,310,,,,,C08CA05,255,,,006183,333,,,,,,,AVODART,398,184/22 mikrog/annos,202
,,2021-09-05,172,,,,,,,2x1X14,51,,,,,,,23.88,310,,,,,R01AD01,255,,,541389,333,,,,,,,FOLVITE,396,670 mg/ml,202
,,2023-04-23,172,,,,,,,1X168,51,,,,,,,16.95,309,,,,,D11AH01,254,,,512891,332,,,,,,,VENLAFAXIN KRKA,395,12 G,201
,,2022-08-12,172,,,,,,,2X5x3,50,,,,,,,6.79,308,,,,,J01EE01,252,,,546192,332,,,,,,,FUCIDIN,395,100/12,5 MG,201
,,2023-12-01,172,,,,,,,List truncated...,,,,,,,,98.15,308,,,,,R03AL09,249,,,003607,331,,,,,,,EZETIMIBE RATIOPHARM,394,0.5/0.4 MG,201
,,2023-12-11,172,,,,,,,,,,,,,,,13.49,308,,,,,A12AA04,249,,,560664,330,,,,,,,PRIMPERAN,393,10MIKROG,201
