SOURCE	CODE1	CODE2	CODE3	VOCAB	n_events	n_patients
INPAT	0527A	NA	NA	9	14	12
INPAT	0528X	NA	NA	9	16	15
INPAT	05299	NA	NA	8	6	6
INPAT	0529X	NA	NA	9	124	122
INPAT	05300	NA	NA	8	33	31
INPAT	05306	NA	NA	8	37	36
INPAT	05307	NA	NA	8	11	10
INPAT	05309	NA	NA	8	25	18
INPAT	0530A	NA	NA	9	7	6
INPAT	0531A	NA	NA	9	6	6
INPAT	0532A	NA	NA	9	10	10
INPAT	0532X	NA	NA	9	6	6
INPAT	0538X	NA	NA	9	25	20
INPAT	0539X	NA	NA	9	61	60
INPAT	05400	NA	NA	8	28	25
INPAT	05401	NA	NA	8	68	67
INPAT	05402	NA	NA	8	122	110
INPAT	05403	NA	NA	8	24	23
INPAT	05405	NA	NA	8	99	69
INPAT	05406	NA	NA	8	12	12
INPAT	05407	NA	NA	8	12	12
INPAT	05409	NA	NA	8	7	7
INPAT	0540A	NA	NA	9	24	24
INPAT	0541A	NA	NA	9	47	47
INPAT	0541B	NA	NA	9	29	27
INPAT	0542A	NA	NA	9	41	41
INPAT	0544B	NA	NA	9	15	14
INPAT	0544C	NA	NA	9	9	8
INPAT	0548X	NA	NA	9	6	6
INPAT	0549X	NA	NA	9	7	7
INPAT	05597	NA	NA	8	78	71
INPAT	05599	NA	NA	8	120	116
INPAT	0559X	NA	NA	9	16	14
INPAT	05600	NA	NA	8	20	20
INPAT	05697	NA	NA	8	252	245
INPAT	05699	NA	NA	8	383	378
INPAT	05710	NA	NA	8	140	138
INPAT	0578A	NA	NA	9	62	62
INPAT	0578X	NA	NA	9	7	7
INPAT	05797	NA	NA	8	13	13
INPAT	05799	NA	NA	8	27	26
INPAT	0579X	NA	NA	9	28	27
INPAT	06099	NA	NA	8	11	11
INPAT	0609X	NA	NA	9	148	138
INPAT	06599	NA	NA	8	63	55
INPAT	07003	NA	NA	8	10	10
INPAT	07004	NA	NA	8	60	54
INPAT	07007	NA	NA	8	16	15
INPAT	07009	NA	NA	8	70	57
INPAT	0701A	NA	NA	9	36	33
INPAT	0703A	NA	NA	9	30	27
INPAT	0705A	NA	NA	9	62	44
INPAT	0709X	NA	NA	9	67	60
INPAT	07200	NA	NA	8	33	32
INPAT	07201	NA	NA	8	296	283
INPAT	07202	NA	NA	8	68	65
INPAT	07206	NA	NA	8	14	14
INPAT	07207	NA	NA	8	40	40
INPAT	07209	NA	NA	8	76	74
INPAT	07501	NA	NA	8	194	193
INPAT	07507	NA	NA	8	53	51
INPAT	07508	NA	NA	8	44	44
INPAT	07509	NA	NA	8	84	83
INPAT	0750A	NA	NA	9	88	81
INPAT	0750X	NA	NA	9	186	179
INPAT	0769A	NA	NA	9	14	14
INPAT	0769C	NA	NA	9	103	100
INPAT	0769D	NA	NA	9	8	8
INPAT	0769X	NA	NA	9	42	41
INPAT	0779X	NA	NA	9	9	9
INPAT	0780A	NA	NA	9	34	33
INPAT	07810	NA	NA	8	8	6
INPAT	0781A	NA	NA	9	79	65
INPAT	0781B	NA	NA	9	19	18
INPAT	0781C	NA	NA	9	583	458
INPAT	0785A	NA	NA	9	14	14
INPAT	0785B	NA	NA	9	17	12
INPAT	0785X	NA	NA	9	6	6
INPAT	0786A	NA	NA	9	348	319
INPAT	0788B	NA	NA	9	13	7
INPAT	0788X	NA	NA	9	44	44
INPAT	07900	NA	NA	8	75	73
INPAT	0790A	NA	NA	9	22	22
INPAT	07910	NA	NA	8	72	59
INPAT	07940	NA	NA	8	7	7
INPAT	07959	NA	NA	8	10	6
INPAT	07980	NA	NA	8	9	9
INPAT	07981	NA	NA	8	28	28
INPAT	07988	NA	NA	8	143	135
INPAT	0798X	NA	NA	9	36	32
INPAT	07997	NA	NA	8	408	387
INPAT	07999	NA	NA	8	408	392
INPAT	0799X	NA	NA	9	194	186
INPAT	0840A	NA	NA	9	13	9
INPAT	08410	NA	NA	8	6	6
INPAT	0879X	NA	NA	9	12	9
INPAT	09100	NA	NA	8	33	30
INPAT	09120	NA	NA	8	10	10
INPAT	0913A	NA	NA	9	15	15
INPAT	09299	NA	NA	8	6	6
INPAT	09800	NA	NA	8	33	32
INPAT	09801	NA	NA	8	90	88
INPAT	09802	NA	NA	8	53	50
INPAT	09806	NA	NA	8	11	11
INPAT	09808	NA	NA	8	84	81
INPAT	09809	NA	NA	8	77	77
INPAT	0980A	NA	NA	9	14	14
INPAT	09810	NA	NA	8	6	6
INPAT	09811	NA	NA	8	41	40
INPAT	0981A	NA	NA	9	29	28
INPAT	09839	NA	NA	8	6	6
INPAT	09888	NA	NA	8	16	14
INPAT	09909	NA	NA	8	6	6
INPAT	09920	NA	NA	8	7	7
INPAT	09922	NA	NA	8	8	7
INPAT	0993A	NA	NA	9	6	6
INPAT	0994A	NA	NA	9	19	15
INPAT	09990	NA	NA	8	9	9
INPAT	09992	NA	NA	8	391	309
INPAT	1048A	NA	NA	9	83	49
INPAT	11004	NA	NA	8	31	26
INPAT	11006	NA	NA	8	100	92
INPAT	11007	NA	NA	8	39	33
INPAT	11008	NA	NA	8	7	6
INPAT	11009	NA	NA	8	21	11
INPAT	1101A	NA	NA	9	44	35
INPAT	1102A	NA	NA	9	6	6
INPAT	1104A	NA	NA	9	58	50
INPAT	11100	NA	NA	8	12	12
INPAT	1110A	NA	NA	9	12	10
INPAT	11199	NA	NA	8	9	9
INPAT	1120A	NA	NA	9	9	9
INPAT	1120B	NA	NA	9	10	7
INPAT	1121A	NA	NA	9	26	24
INPAT	1122A	NA	NA	9	10	7
INPAT	11299	NA	NA	8	346	333
INPAT	12320	NA	NA	8	6	6
INPAT	12340	NA	NA	8	86	78
INPAT	1234A	NA	NA	9	6	6
INPAT	1252A	NA	NA	9	15	15
INPAT	12700	NA	NA	8	8	6
INPAT	12730	NA	NA	8	17	15
INPAT	13000	NA	NA	8	17	12
INPAT	1302A	NA	NA	9	8	8
INPAT	13099	NA	NA	8	13	11
INPAT	1309X	NA	NA	9	12	7
INPAT	13100	NA	NA	8	12	12
INPAT	1310A	NA	NA	9	9	7
INPAT	13197	NA	NA	8	17	17
INPAT	13199	NA	NA	8	116	113
INPAT	1322A	NA	NA	9	16	12
INPAT	13299	NA	NA	8	9	9
INPAT	13300	NA	NA	8	324	260
INPAT	1330A	NA	NA	9	104	72
INPAT	13410	NA	NA	8	40	33
INPAT	1350A	NA	NA	9	502	249
INPAT	13597	NA	NA	8	611	331
INPAT	13599	NA	NA	8	949	277
INPAT	13603	NA	NA	8	64	41
INPAT	13608	NA	NA	8	16	16
INPAT	13609	NA	NA	8	60	56
INPAT	1369X	NA	NA	9	31	26
INPAT	1370A	NA	NA	9	51	29
INPAT	1370X	NA	NA	9	60	25
INPAT	1373X	NA	NA	9	7	6
INPAT	1380A	NA	NA	9	89	47
INPAT	14011	NA	NA	8	13	10
INPAT	1401A	NA	NA	9	13	8
INPAT	1412A	NA	NA	9	17	7
INPAT	14201	NA	NA	8	11	8
INPAT	1505A	NA	NA	9	26	7
INPAT	1512X	NA	NA	9	9	6
INPAT	15199	NA	NA	8	19	10
INPAT	1522B	NA	NA	9	23	10
INPAT	15301	NA	NA	8	12	9
INPAT	15302	NA	NA	8	30	17
INPAT	15311	NA	NA	8	21	10
INPAT	1531A	NA	NA	9	15	7
INPAT	15321	NA	NA	8	11	6
INPAT	15331	NA	NA	8	16	11
INPAT	1533A	NA	NA	9	34	22
INPAT	1533X	NA	NA	9	17	7
INPAT	1534A	NA	NA	9	46	23
INPAT	1534X	NA	NA	9	12	11
INPAT	1536A	NA	NA	9	16	12
INPAT	1540A	NA	NA	9	13	9
INPAT	15411	NA	NA	8	33	16
INPAT	1541A	NA	NA	9	148	47
INPAT	1541X	NA	NA	9	19	13
INPAT	1550A	NA	NA	9	18	7
INPAT	1552X	NA	NA	9	15	10
INPAT	1562A	NA	NA	9	14	6
INPAT	1570A	NA	NA	9	35	20
INPAT	1571A	NA	NA	9	11	9
INPAT	1579X	NA	NA	9	12	6
INPAT	16101	NA	NA	8	18	9
INPAT	1610A	NA	NA	9	74	23
INPAT	1611A	NA	NA	9	38	6
INPAT	16212	NA	NA	8	24	9
INPAT	16214	NA	NA	8	13	7
INPAT	1622A	NA	NA	9	29	7
INPAT	1622X	NA	NA	9	13	7
INPAT	1623A	NA	NA	9	172	47
INPAT	1623B	NA	NA	9	139	24
INPAT	1623C	NA	NA	9	55	18
INPAT	1623G	NA	NA	9	13	7
INPAT	1623X	NA	NA	9	55	25
INPAT	1624A	NA	NA	9	15	6
INPAT	1625A	NA	NA	9	58	22
INPAT	1625B	NA	NA	9	25	10
INPAT	1625G	NA	NA	9	33	9
INPAT	1625X	NA	NA	9	39	18
INPAT	1628A	NA	NA	9	28	15
INPAT	1628B	NA	NA	9	34	6
INPAT	1629A	NA	NA	9	28	9
INPAT	1629X	NA	NA	9	22	12
INPAT	17071	NA	NA	8	148	13
INPAT	1707A	NA	NA	9	69	8
INPAT	17101	NA	NA	8	7	7
