EVENT_AGE,Frequency,APPROX_EVENT_DAY,Frequency,CDA_ID_SALATTU,Frequency,DOC_GROUP_SALATTU,Frequency,DOC_TYPE_CODE,Frequency,DOC_VERSION,Frequency,TYPE_1_AMOUNT,Frequency,TYPE_1_SIZE,Frequency,TYPE_2_AMOUNT,Frequency,TYPE_2_SIZE_UNIT,Frequency,TYPE_3_TIME,Frequency,TYPE_3_UNIT,Frequency,ATC_CODE,Frequency,PREPARATION_TYPE_CODE,Frequency,PRODUCT_CODE,Frequency,RESEPTISTATUS,Frequency,LAAKEMUOTOKOODI,Frequency,DRUG_NAME_C,Frequency,DOSE_QUANTITY_TEXT,Frequency,RENEWAL_BAN,Frequency,MED_EXCHANGE_BAN,Frequency,DOSE_DISTRIBUTION,Frequency,ORGANIZATION_OID_SALATTU,Frequency,ERIKOISALA_CODE,Frequency
,,2019-02-26,163,,,,,,,,,,,12 x 1 fol,441,,,,,,,,,N05BB01,1400,,,30627,681,,,512.0,132,XARELTO,1166,5 %,772,,,,,,,11A2F39330DC8884B5C6124865E73BC6,756,58,227
,,2017-02-09,163,,,,,,,,,,,150 g,438,,,,,,,,,N06AX21,1400,,,006989,673,,,338.0,128,ORLOC,1144,160/4,5 mikrog/annos,768,,,,,,,3EA2B8D63D641E13DC5289C46D574C15,751,86513-694,227
,,2019-05-09,163,,,,,,,,,,,150 kpl,436,,,,,,,,,N02AA55,1393,,,87320,670,,,785.0,122,DALACIN,1142,5 mg/g,753,,,,,,,1FE93E11AF1F5DA677B9ED79508F4EEB,750,20,225
,,2019-09-28,163,,,,,,,,,,,11 + 42 fol,420,,,,,,,,,R05CB15,1381,,,486571,669,,,219.0,122,FLAGYL,1134,2 mg/g,736,,,,,,,0D49DF1E1088B60E2D79487482D3AB36,746,20O,220
,,2016-12-26,162,,,,,,,,,,,15 kpl,419,,,,,,,,,J01MA02,1345,,,006222,648,,,11.0,122,PARASETAMOLI,1130,500 mg/400 IU,736,,,,,,,E2D4F6AA2781D03FE91C80E0C2F02CAD,746,30,217
,,2017-03-02,162,,,,,,,,,,,51 g,407,,,,,,,,,A10AB05,1335,,,537324,647,,,39.0,121,ELIQUIS,1129,500/125 mg,736,,,,,,,4549D74AC769426B5B280A26A915559B,740,86133-460,214
,,2018-01-17,162,,,,,,,,,,,18 fol,406,,,,,,,,,N06AB04,1334,,,469437,647,,,242.0,108,STILNOCT,1123,20/12,5 mg,721,,,,,,,015ECF29B4CBB781E76738A508AC3339,733,55,213
,,2022-09-08,162,,,,,,,,,,,100 annosta,400,,,,,,,,,C01DA14,1322,,,460402,644,,,546.0,104,CANDESARTAN ORION,1105,-,712,,,,,,,CECEF885196AEECBE20B102D3282ECE4,732,86131-856,208
,,2017-03-16,162,,,,,,,,,,,20 g,396,,,,,,,,,N05AH03,1314,,,154309,641,,,511.0,93,MELATONIINI,1078,0,5 mg/g,711,,,,,,,AEA0C58178773156CF30B3ACA7BEFCCA,727,80A,206
,,2016-12-01,162,,,,,,,,,,,4,3 g,382,,,,,,,,,L04AX03,1311,,,75533,640,,,38.0,92,GABRION,1068,10 mikrog/h,691,,,,,,,21A5917273FA852C632BBFD8C62C2FA5,724,40,203
,,2021-06-10,162,,,,,,,,,,,10 g,377,,,,,,,,,J01XE01,1296,,,85506,629,,,488.0,88,ATACAND,1053,2,5 mikrog,684,,,,,,,05FEA78A54321266E92B85265097D123,724,86150-656,199
,,2020-02-25,162,,,,,,,,,,,60 x 0,5 ml,362,,,,,,,,,R03AK06,1285,,,052300,620,,,6001.0,87,MIRANAX,1046,0,5 %,641,,,,,,,97BFD0D915CEC31162C28B904BEE4EA0,722,86111-356,199
,,2017-02-28,162,,,,,,,,,,,3 x 60 annosta,360,,,,,,,,,C09DA01,1283,,,149408,607,,,216.0,86,HISTEC,1045,100/25 mg,631,,,,,,,D18B9778F92B771E82D248C3501EA942,711,86131-656,198
,,2017-02-03,162,,,,,,,,,,,3 x 10 g,356,,,,,,,,,A10BJ06,1274,,,450734,598,,,129.0,80,KALEORID,1044,0,25 mg,606,,,,,,,31EC0D0484463FB48B2C2FA733841891,708,66712-111,197
,,2016-10-27,162,,,,,,,,,,,10 + 10 g,353,,,,,,,,,D06AX01,1271,,,7181,594,,,499.0,77,BISOPROLOL ORION,1034,12,5 mg,591,,,,,,,14C1793F1BAF27B3FED62F252BCA9E2D,696,86166-656,196
,,2023-12-05,162,,,,,,,,,,,3 fol,348,,,,,,,,,A12BA01,1244,,,075533,589,,,355.0,75,ZOLT,1028,2,5/120 mg,589,,,,,,,B723DBED942BE20FB94AA0C5A3E4F507,695,86115-161,189
,,2018-02-23,162,,,,,,,,,,,9 fol,347,,,,,,,,,M04AA01,1238,,,011271,587,,,495.0,69,PEGORION,1027,670 mg/ml,588,,,,,,,299DE90C97CD1679CDA2704B751F2D96,681,86134-656,188
,,2017-10-16,162,,,,,,,,,,,3 kpl,339,,,,,,,,,B01AF02,1237,,,19874,583,,,698.0,66,HYDREX SEMI,1023,95 mg,586,,,,,,,F44E57368CF1F8C3836316FA2CDF3314,677,86113-181,187
,,2016-05-25,162,,,,,,,,,,,3 ml,338,,,,,,,,,R03BA05,1233,,,106070,581,,,334.0,66,AMLODIPIN ACTAVIS,1022,1,5 milj.IU,569,,,,,,,BD9FB46086152336025EB5D5E7D6EBFB,676,10E,186
,,2019-01-24,162,,,,,,,,,,,7,5 ml,308,,,,,,,,,R05DA01,1232,,,006203,579,,,121.0,65,BISOPROLOL ACTAVIS,1000,16/12,5 mg,559,,,,,,,C1C9D66DA5E37589AA753000B9570743,671,10G,186
,,2018-01-15,161,,,,,,,,,,,10 x 0,6 ml,308,,,,,,,,,B01AF01,1209,,,31796,577,,,280.0,62,BETMIGA,997,2/10 mg/ml,556,,,,,,,ABEA693AEB8592E4B4DFC187382FF953,666,30N,186
,,2017-03-07,161,,,,,,,,,,,2 ml,307,,,,,,,,,A06AD15,1198,,,001024,577,,,147.0,60,MELATONIN ORION,991,20 mikrog/24 h,549,,,,,,,4E1C141058E5D8A671B279AC759BA04F,665,86111-856,182
,,2022-10-21,161,,,,,,,,,,,3 x 120 annosta,306,,,,,,,,,J01FA10,1183,,,489609,575,,,384.0,54,PREVENAR 13,988,1,5 mg,532,,,,,,,413124E8D362D64EF365569FB25EB7EF,654,11,181
,,2022-10-04,161,,,,,,,,,,,80 g,305,,,,,,,,,C10AX09,1180,,,587345,575,,,164.0,53,STELLA,982,20/10 mg/g,531,,,,,,,F45E66AAB4496785D8726403E074A2AC,650,66211-900,181
,,2022-09-27,161,,,,,,,,,,,98 kpl,298,,,,,,,,,M01AX05,1167,,,431809,571,,,708.0,52,TREXAN,980,37,5 mg,484,,,,,,,5A40E1F3637BF0F79A64B8B5F6981E34,649,10K,174
,,2022-09-16,161,,,,,,,,,,,21 fol,294,,,,,,,,,D07AB02,1167,,,577619,568,,,188.0,50,OZEMPIC,976,500 mg/20 mikrog,481,,,,,,,4D70DF1D221D05D6CA6DED8ACD262EEA,646,86131-280,174
,,2017-03-15,161,,,,,,,,,,,3 x 1 ml,293,,,,,,,,,D07AC13,1167,,,16919,564,,,List truncated...,,TRADOLAN RETARD,973,20/1 mg/g,479,,,,,,,FA36F22D42A7ADF859B738AAE51E37F7,643,86184-450,174
,,2017-08-29,161,,,,,,,,,,,32 fol,293,,,,,,,,,C03DA01,1146,,,087320,555,,,,,SIMVASTATIN RATIOPHARM,969,50 mg/ml,464,,,,,,,1E3448B895877791F12822189E1D1335,641,86131-290,171
,,2023-01-15,161,,,,,,,,,,,300 kpl,291,,,,,,,,,C03AA03,1105,,,7083,555,,,,,ETORICOXIB KRKA,967,3 mg/ml,463,,,,,,,796DE1F8918727DCC10256F5039B7B6C,639,86114-356,169
,,2016-10-05,161,,,,,,,,,,,200 fol,290,,,,,,,,,B01AC04,1096,,,106088,550,,,,,LANTUS,955,27,5 mikrog/annos,457,,,,,,,2F35C17B680D602F58F0B3441003A1CB,636,99112-111,166
,,2017-11-08,161,,,,,,,,,,,3 x 2,5 ml,287,,,,,,,,,N06AB06,1076,,,545673,549,,,,,VOLTAREN RETARD,955,300 mikrog,456,,,,,,,AB67C311E83367161FE195AB3FFCAA3C,629,95,165
,,2019-03-19,161,,,,,,,,,,,2 x 50 kpl,283,,,,,,,,,C01DA02,1068,,,554309,547,,,,,BRINTELLIX,930,500 mg/100 000 IU,453,,,,,,,4ACFEA5DD9AC5EB253BECD7DB031A5C6,629,86152-320,164
,,2020-11-26,161,,,,,,,,,,,4 x 1 fol,275,,,,,,,,,G04BD12,1054,,,113704,547,,,,,AMOXIN COMP,922,70 mg,449,,,,,,,A0C260D3C4AC097698462F83B374DB3F,627,99112-333,159
,,2019-10-16,161,,,,,,,,,,,120 x 0,6 ml,266,,,,,,,,,A10BH01,1052,,,78623,544,,,,,FLIXOTIDE DISKUS,909,50/1000 mg,447,,,,,,,A593D9339B54CAF6547062421A838DC8,625,86171-433,159
,,2017-01-17,161,,,,,,,,,,,90 x 1 fol,259,,,,,,,,,R03BA02,1042,,,23635,542,,,,,VIMOVO,894,50/12,5 mg,445,,,,,,,AAE2879304756DEB25F08E9A6B87DCAC,624,60A,154
,,2023-02-11,161,,,,,,,,,,,20 x 1 fol,254,,,,,,,,,S01GX01,1021,,,34694,542,,,,,ELOCON,891,1/2 mg/g,440,,,,,,,3F6A5A2D94EB3411DDF896C1A2AD94D4,622,60,148
,,2016-11-09,161,,,,,,,,,,,400 G,246,,,,,,,,,J07AL02,1007,,,016919,540,,,,,AERIUS,885,0,5 mg/annos,439,,,,,,,222D23D60EC9694F6BA40BB61035EEAA,618,86511-691,145
,,2017-09-21,161,,,,,,,,,,,56 kpl,239,,,,,,,,,G03AC09,995,,,024310,539,,,,,JANUVIA,878,50 mikrog/ml,437,,,,,,,6CD8E8581A175361E572067A490FB36C,617,86162-372,144
,,2020-01-17,161,,,,,,,,,,,2 x 98 fol,238,,,,,,,,,N06AX26,989,,,581637,537,,,,,CARTEXAN,877,37,5/325 mg,434,,,,,,,109868E095C6F353760348A31ACA3082,612,86165-470,140
,,2017-03-04,160,,,,,,,,,,,200 g,238,,,,,,,,,D07AD01,983,,,59969,534,,,,,TRAMAL RETARD,876,6 mg/ml,432,,,,,,,4CA2A1AD9E7FE8179BE709C638E70989,612,20G,123
,,2022-10-15,160,,,,,,,,,,,60 suihketta (30 annosta),231,,,,,,,,,N05BA06,980,,,471490,533,,,,,VOLTAREN RAPID,866,0,5 mg+1 mg,432,,,,,,,F2FE34E562A02088B9C4CF3F8EE5513D,611,86131-204,121
,,2020-12-02,160,,,,,,,,,,,250 kpl,230,,,,,,,,,J05AB01,978,,,521208,525,,,,,BUFOMIX EASYHALER,863,200/25 mg,430,,,,,,,AD8152601A89AD168CE0D272158A209F,610,86191-540,120
,,2022-09-20,160,,,,,,,,,,,35 fol,226,,,,,,,,,N03AX09,975,,,2087,525,,,,,HEINIX,852,50/250 mikrog/annos,429,,,,,,,E7397945E9441B79E3E9286129775A9B,607,58Y,118
,,2020-03-04,160,,,,,,,,,,,28 kpl,221,,,,,,,,,N06AX12,970,,,533502,523,,,,,ALVESCO,849,2,5/25 mg,429,,,,,,,76EB3E9F12B46F646E4E9FAC48F7FCC6,607,86150-751,117
,,2022-03-23,160,,,,,,,,,,,120 fol,218,,,,,,,,,C09CA03,962,,,034694,519,,,,,VOXRA,842,0,02/3 mg,427,,,,,,,46F47E5C9E05780759E72F359FFC9190,603,86151-300,117
,,2017-11-06,160,,,,,,,,,,,30 x 0,4 ml,214,,,,,,,,,N05AX08,945,,,124105,513,,,,,SYMBICORT TURBUHALER,842,2,4 mikrog/0,5 ml,419,,,,,,,85E319A758B1A92B8833EE7EB5BB3D17,595,86181-520,117
,,2023-03-15,160,,,,,,,,,,,3 g,210,,,,,,,,,M01AC06,943,,,047534,512,,,,,ESCITALOPRAM ORION,832,2,5 %,417,,,,,,,C2E5C2C7294974B7DD0D7E482DF5F6A6,592,86157-480,116
,,2023-03-21,160,,,,,,,,,,,20 x 12 g,206,,,,,,,,,R03BB04,918,,,176107,510,,,,,CHAMPIX,827,160/500 mg,415,,,,,,,BC614E2A7D12671CE5D48AFCA29B6E8D,587,86182-510,114
,,2020-11-03,160,,,,,,,,,,,10 x 0,45 ml,205,,,,,,,,,M01AX25,917,,,8259,509,,,,,OMEPRAZOL RATIOPHARM,815,6 mg,410,,,,,,,CC7073D1773FCE79231937A41ECA3F77,586,86131-206,110
,,2017-01-25,160,,,,,,,,,,,2 x 60 g,204,,,,,,,,,M03BC51,910,,,402083,507,,,,,OXYCONTIN,810,12,5/5 mg,405,,,,,,,036E34652797ABE60D6C3CF829AB6A2C,583,86511-656,110
,,2018-11-11,160,,,,,,,,,,,900 g,198,,,,,,,,,S01BA04,899,,,416719,505,,,,,DIFLUCAN,809,100/12,5 mg,382,,,,,,,9959599B78D3370E75DF7F7A6CE4820D,582,86172-656,109
,,2021-05-11,160,,,,,,,,,,,6 x 21 fol,194,,,,,,,,,M01AE52,894,,,004801,503,,,,,SPIRONOLACTONE ORION,808,10/5 mg,363,,,,,,,6836504A8C51A1E478C72C3454E1AEB3,580,86154-340,109
,,2016-11-18,160,,,,,,,,,,,30 annosta,192,,,,,,,,,R06AX22,874,,,1024,502,,,,,APURIN SANDOZ,807,25/250 mikrog/annos,355,,,,,,,6EE79AD17E0C50C7F0784B8F45504AF3,577,86153-656,108
,,2020-10-21,160,,,,,,,,,,,100 st,186,,,,,,,,,D01AC20,861,,,007083,501,,,,,SIMVASTATIN ACTAVIS,801,2/5 mg/ml,351,,,,,,,60FF359E40BE93B2FE2EAC1DE06BF97A,574,86131-260,107
,,2017-09-24,160,,,,,,,,,,,1 annos,182,,,,,,,,,N03AG01,855,,,584896,501,,,,,ORMOX,797,30/400 mg/ml,348,,,,,,,56E05113D2F2661C629BDA66FC8AD5F4,570,20U,106
,,2022-04-30,160,,,,,,,,,,,5 x 20 fol,182,,,,,,,,,N07BA03,850,,,6989,499,,,,,SERETIDE DISKUS,792,80/12,5 mg,334,,,,,,,69DFDA0A35B4355174491521B025AD36,569,86174-490,105
,,2017-10-25,160,,,,,,,,,,,100 KPL,180,,,,,,,,,R03BA08,849,,,388694,493,,,,,TEMESTA,792,3 mg/ml+0,25 mg/ml,327,,,,,,,BACC9EB5D94F19AFA1435D571D153E88,566,86114-382,100
,,2021-08-24,160,,,,,,,,,,,6 annosta,180,,,,,,,,,A06AD11,845,,,4801,489,,,,,NOVORAPID FLEXPEN,780,50/500 mikrog/annos,326,,,,,,,411C1C8DDF695BC8F0BD7D49ACC315EB,565,10F,99
,,2021-03-04,159,,,,,,,,,,,60 x 1 fol,180,,,,,,,,,S01ED51,840,,,11326,488,,,,,DUODART,780,0,2/10 mg/ml,324,,,,,,,14F3919103B5DCE413116BEA2CC9F4D1,551,86181-501,97
,,2018-01-23,159,,,,,,,,,,,5 kpl,178,,,,,,,,,G04CA52,813,,,40148,488,,,,,DERMOVAT,770,100000 IU/ml,323,,,,,,,D5092719384DEA3A4D2A828AE7453AA3,545,96,90
,,2017-03-08,159,,,,,,,,,,,30 x 0,3 ml,174,,,,,,,,,B03BB01,809,,,402792,488,,,,,LOSATRIX,754,300 U/ml,322,,,,,,,1682B67242FE03CF1C5802052282C123,544,66111,88
,,2020-12-08,159,,,,,,,,,,,56 x 1 fol,174,,,,,,,,,N04BC05,807,,,195632,486,,,,,VISCOTEARS,740,0,088 mg,319,,,,,,,82C426D2760B5B7A26713033468C7852,535,86167-672,87
,,2019-04-13,159,,,,,,,,,,,3 x 50 g,173,,,,,,,,,A07EC02,805,,,118101,478,,,,,ATORVASTATIN KRKA,740,50/500 mikrog/g,315,,,,,,,95687E20F0A4EB491FAA2D129CECD1EC,535,86513-656,77
,,2019-04-29,159,,,,,,,,,,,120 ml,166,,,,,,,,,N05BA12,801,,,389460,477,,,,,CETIRIZIN-RATIOPHARM,737,0,2 mg,314,,,,,,,616499543BA99E8854FE9ED228B00420,533,86131-207,75
,,2022-06-01,159,,,,,,,,,,,250 ml,165,,,,,,,,,C09DA06,795,,,101857,475,,,,,LOCOID,734,0,125 mg,310,,,,,,,E3DD69781F6F9721E111D749CB9AC158,530,86111-596,75
,,2018-04-10,159,,,,,,,,,,,50 ml,163,,,,,,,,,A07DA03,792,,,107799,474,,,,,OXIKLORIN,730,0,5/20 mg/g,310,,,,,,,AC1D122E7133F8B21426E939A2960C0B,530,86167-671,71
,,2020-03-19,159,,,,,,,,,,,10 x 10 g,160,,,,,,,,,J01FF01,773,,,540294,473,,,,,JARDIANCE,724,10/10 mg/g,303,,,,,,,FF7D5F0C1623E1F0BAEEECF91F84276D,530,86132-400,66
,,2021-01-27,159,,,,,,,,,,,120 x 0,4 ml,159,,,,,,,,,A10AE05,768,,,537332,472,,,,,PENOMAX,721,20 mikrog/h,301,,,,,,,A0F802CA7C2E3D466FC7B085F55223DF,527,86131-270,65
,,2016-06-08,159,,,,,,,,,,,60 x 0,2 ml,156,,,,,,,,,G04CB01,757,,,63219,467,,,,,LINATIL,721,2 mg/ml,300,,,,,,,A4288DFBC667EF99C55F19E860003624,523,86131-256,64
,,2022-12-15,159,,,,,,,,,,,300 ml,154,,,,,,,,,P01BA02,755,,,179374,464,,,,,RIVATRIL,721,4000 IU (40 mg)/0,4 ml,300,,,,,,,402CFB17E4C60C6EA98A233F5E187C64,520,86131-205,62
,,2017-02-25,159,,,,,,,,,,,28 x 1 fol,151,,,,,,,,,N03AE01,751,,,017621,463,,,,,MIRTAZAPIN ACTAVIS,717,0.1 mg,293,,,,,,,55D1A5240C3B38BBDBCA99E8D655C7EB,519,99112-120,62
,,2016-10-22,159,,,,,,,,,,,90 x 0,3 ml,150,,,,,,,,,A10BK03,725,,,040148,459,,,,,V-PEN 1500,714,3MG,292,,,,,,,B82F8DEF29D6BDD4D7F0FCD5D31CA18E,518,86131-756,62
,,2023-12-03,159,,,,,,,,,,,0,6 ml,144,,,,,,,,,G01AF01,724,,,560664,459,,,,,MELATONIN VITABALANS,705,0,5 mg/ml,292,,,,,,,30077B91980B1FB20DF37B0A6C3B7251,508,86181-530,62
,,2017-11-12,159,,,,,,,,,,,6 x 28 fol,144,,,,,,,,,C05AA08,723,,,409927,459,,,,,SPIRIVA RESPIMAT,698,0,6 mg/g,291,,,,,,,8699F4998ACBED0865A3EE62A115BB58,507,86184-656,60
,,2017-11-13,159,,,,,,,,,,,15 + 30 g,142,,,,,,,,,N05AX12,712,,,128853,457,,,,,OXAMIN,692,32 mg,291,,,,,,,1D1D22AC8E97E69C1394AEE2A3EA8769,500,10I,58
,,2022-05-20,159,,,,,,,,,,,3 x 28 kpl,140,,,,,,,,,J05AB11,707,,,383968,457,,,,,LOMUDAL,688,20 mg/ml,288,,,,,,,F218A0989EA13C26882D381374D69E57,492,46111,58
,,2019-12-08,159,,,,,,,,,,,5 x 0,5 ml,138,,,,,,,,,G03AA12,704,,,484011,457,,,,,MONTELUKAST ORION,687,880 mg/g,286,,,,,,,BFA5AF46828AD2E11EF53D2BB69B9202,491,86154-656,56
,,2019-12-05,159,,,,,,,,,,,10 x 1 fol,137,,,,,,,,,C03EA01,702,,,122952,457,,,,,ARTELAC,682,7.5 mg,282,,,,,,,2C981791F1A10D53247D3E210925CDAA,490,86181-503,54
,,2022-11-24,159,,,,,,,,,,,3 x 3 ml,136,,,,,,,,,N06BA04,697,,,545657,454,,,,,PRECOSA,675,0,03/3 mg,263,,,,,,,61EFD6B0C696DFC0599517B83AE6B3E9,484,86111-594,54
,,2019-10-01,159,,,,,,,,,,,10 x 0,8 ml,134,,,,,,,,,R06AE09,696,,,16294,449,,,,,BRICANYL TURBUHALER,671,1/30 mg/g,263,,,,,,,6C3C514FC75F6289864ED82A4CBA44A7,484,10H,52
,,2019-10-14,159,,,,,,,,,,,3 x 30 annosta,132,,,,,,,,,R03BA01,695,,,418896,449,,,,,MAREVAN,670,5/50 mg,259,,,,,,,C9D9F5BCF4912B74323B455F4E898402,483,86176-656,50
,,2017-04-18,159,,,,,,,,,,,91 x 1 g,125,,,,,,,,,G02BA03,683,,,5502,449,,,,,ESCITALOPRAM ACTAVIS,668,0,25 mg/ml,255,,,,,,,827179AE8102A61EB33BE0DC3BAA4030,482,List truncated...,
,,2021-05-12,159,,,,,,,,,,,30 x 1 fol,120,,,,,,,,,A07FA02,680,,,458349,448,,,,,SERTRALIN ORION,664,1/0,5 mg,245,,,,,,,6C475F066B44BF4066AD3377C16C94E2,477,,
,,2018-11-05,159,,,,,,,,,,,5 x 1 kpl,120,,,,,,,,,G04CA01,677,,,394965,448,,,,,BISOPROLOL ACCORD,664,20 mg/ml+5 mg/ml,245,,,,,,,D9C01759DECF596B46AF4DF98F0DCE77,474,,
,,2017-09-20,159,,,,,,,,,,,2 x 2 ml,119,,,,,,,,,S01AE05,673,,,554071,445,,,,,CIPRALEX,661,667 mg/ml,244,,,,,,,9D25AEF00DCD9FB958926B38FD121490,472,,
,,2018-02-27,159,,,,,,,,,,,3 x 5 ml,119,,,,,,,,,R03AC03,671,,,132071,442,,,,,IBUPROFEENI,653,11,6 mg/g,237,,,,,,,938352CAD494017B02D347BF6ADEF899,472,,
,,2020-01-30,159,,,,,,,,,,,1 pakkaus,116,,,,,,,,,B03AA01,668,,,053461,441,,,,,SELOKEN ZOC,651,5/120 mg,237,,,,,,,C67080C1D86889437AB6C82BF8FC2092,471,,
,,2018-01-22,158,,,,,,,,,,,12 x 250 mg,115,,,,,,,,,C09CA07,664,,,407069,439,,,,,LEVEMIR FLEXPEN,647,1 miljIU,236,,,,,,,3FEF1B1EE8EF603B723319E5BD7DA45B,466,,
,,2016-08-31,158,,,,,,,,,,,2,5 ml,114,,,,,,,,,H02AB02,660,,,021489,436,,,,,KEFALEX,646,2.5 mg,235,,,,,,,FFE5ED06C39493B61E013C394AD69262,457,,
,,2017-03-12,158,,,,,,,,,,,50 x 4 g,110,,,,,,,,,D07AB08,655,,,141096,435,,,,,CYMBALTA,642,4500 anti-Xa IU,234,,,,,,,1D6A3EF255460E747FA7504C95A136F9,457,,
,,2019-02-18,158,,,,,,,,,,,2 kpl,106,,,,,,,,,C08CA02,653,,,123273,435,,,,,APOLAR,636,0,18 mg,233,,,,,,,89285663922C22713D3E96F3BCBA08EF,457,,
,,2022-12-02,158,,,,,,,,,,,14+14+30,105,,,,,,,,,D01BA02,652,,,004795,435,,,,,PLAVIX,625,1/20 mg/g,230,,,,,,,294EDA54072BAC573546944D6574607C,453,,
,,2020-02-11,158,,,,,,,,,,,180 annosta,99,,,,,,,,,J07BA01,649,,,481467,429,,,,,DEPRAKINE,608,20 mg/annos,230,,,,,,,A0192DE1EF3766ABDB095D4E441F74C0,451,,
,,2017-02-14,158,,,,,,,,,,,35 kpl,95,,,,,,,,,M02AA07,637,,,566075,428,,,,,OFTAQUIX,606,800 IU,221,,,,,,,12BD53E125AA9C226BF78B027A3B84A0,450,,
,,2016-09-28,158,,,,,,,,,,,60 x 0,25 ml,92,,,,,,,,,G04BE08,606,,,117655,427,,,,,EZETROL,599,18 mikrog,217,,,,,,,2F841D3ACF48B4A11EBB7A2AC13D5AF4,448,,
,,2018-10-02,158,,,,,,,,,,,15 ml,92,,,,,,,,,A07EC01,604,,,47534,426,,,,,CALCICHEW D3 FORTE MINTTU,598,100/6 mikrog/annos,217,,,,,,,90868C34B1B72470D91229554C904CF4,443,,
,,2019-05-31,158,,,,,,,,,,,6 x 1 fol,91,,,,,,,,,N06AA10,601,,,002087,425,,,,,AERINAZE,597,160/12,5 mg,215,,,,,,,3A06D3079F47CD88FC577FD6BFFAED72,443,,
,,2017-11-19,158,,,,,,,,,,,C,89,,,,,,,,,G03DC02,599,,,037604,424,,,,,TAMSULOSIINIHYDROKLORIDI ORION,595,0,25 mg/annos,214,,,,,,,9636B3C96AD9EEF40B375AA6FEBA0DF3,441,,
,,2017-11-02,158,,,,,,,,,,,60 x 0,4 ml,89,,,,,,,,,C09BA02,597,,,478115,423,,,,,KESTINE,590,0,05 %,211,,,,,,,145B72B5B82E2086FE074F6571447F9F,436,,
,,2022-05-10,158,,,,,,,,,,,11,25 mg,89,,,,,,,,,N06DX01,582,,,154028,423,,,,,HYDROCORTISON,584,18 mg,208,,,,,,,E61190C0124532FFAA84357CEBF6CA08,435,,
,,2021-02-16,158,,,,,,,,,,,2 x 15 g,88,,,,,,,,,D07CC01,565,,,573121,422,,,,,LAMICTAL,583,1/40 mg,201,,,,,,,C9D9BE4B4CE0E9DEDC7D84D3C47048E1,434,,
,,2020-11-02,158,,,,,,,,,,,2 fol,88,,,,,,,,,S02CA03,561,,,005502,422,,,,,SEPRAM,574,20 IU/g + 20 mg/g,199,,,,,,,19FE3CE71A9EBC29087A153EC363C81A,430,,
,,2019-09-18,158,,,,,,,,,,,1,7 ml,85,,,,,,,,,N06AB03,554,,,005209,421,,,,,DIOVAN,571,30/200 mg/ml,199,,,,,,,70C18B4C2FD8A71F344A90D29502C242,429,,
,,2017-01-29,158,,,,,,,,,,,4 x 1 annos,84,,,,,,,,,S02AA03,549,,,008259,419,,,,,CITALOPRAM ORION,569,2,5/1,5 mg,199,,,,,,,0322A88EFE3A7DB8707242D246361D13,428,,
,,2017-04-07,158,,,,,,,,,,,100 tabletti,82,,,,,,,,,D11AH01,548,,,6102,418,,,,,OBSIDAN FE++,568,23,75 mg,197,,,,,,,DB58F8FC93569B5695D4EFAB8E15FCAB,424,,
,,2023-05-24,158,,,,,,,,,,,2 annosta,81,,,,,,,,,J01MA12,545,,,149386,416,,,,,TAMSUMIN,565,184/22 mikrog/annos,197,,,,,,,D58379C4EFD30792B7519076ABE7AC3F,423,,
,,2017-10-03,158,,,,,,,,,,,250 g,79,,,,,,,,,B03BA03,543,,,417463,415,,,,,CERAZETTE,563,5/12,5 mg,196,,,,,,,C0783613DEEC5BE675FADE333FD69F61,421,,
,,2017-10-06,158,,,,,,,,,,,30 FOL,78,,,,,,,,,C01AA05,535,,,82685,410,,,,,CERALAN,562,15 mikrog/ml,194,,,,,,,F5A794A47EE92D103126D8B7FB5EFE84,421,,
,,2017-10-08,158,,,,,,,,,,,60 suihketta,77,,,,,,,,,N06CA01,533,,,011326,410,,,,,CIPROXIN-HYDROCORTISON,561,1440 ELISA U/ml,194,,,,,,,9A82F73634E0C6B4985548DD3C5B5F39,419,,
,,2017-10-31,158,,,,,,,,,,,240 annosta,75,,,,,,,,,D07AA02,508,,,006183,404,,,,,NORITREN,559,1,5 g,192,,,,,,,CEE6CBA5E9DE77D66C61DEBB42555DFA,417,,
,,2019-01-09,158,,,,,,,,,,,10 x 12 g,75,,,,,,,,,S01BA01,500,,,064818,399,,,,,BECLOMET EASYHALER,557,2 mg/35 mikrog,185,,,,,,,3278B82933BFB3CFEA48F91F20D89C43,407,,
,,2019-01-30,158,,,,,,,,,,,30 x 0,5 g,73,,,,,,,,,B01AB10,500,,,52300,399,,,,,ARTHRYL,554,100 IU/ml,185,,,,,,,F179A73A53FAB392CB7950568FD56534,406,,
,,2017-03-01,157,,,,,,,,,,,30 x 5 g,73,,,,,,,,,S01AA13,499,,,450775,396,,,,,SALAZOPYRIN EN,553,0,5/30 mg/g,183,,,,,,,AF9587B420F08B8EF2F2EB5A6FB8C557,405,,
,,2022-10-25,157,,,,,,,,,,,100x1 tabl,72,,,,,,,,,D07XC01,494,,,441279,392,,,,,ETORICOXIB ORION,552,24 mg,178,,,,,,,DDA00B32DE07989554E03184964966DB,398,,
,,2017-06-21,157,,,,,,,,,,,24 x 1 fol,72,,,,,,,,,A02BC04,488,,,018904,391,,,,,LEVOLAC,551,20/50 mikrog/annos,174,,,,,,,98EBA9778CB71C6040DE3A823FC81EEF,396,,
