EVENT_AGE,Frequency,APPROX_EVENT_DAY,Frequency,CDA_ID_SALATTU,Frequency,DOC_GROUP_SALATTU,Frequency,DOC_TYPE_CODE,Frequency,DOC_VERSION,Frequency,TYPE_1_AMOUNT,Frequency,TYPE_1_SIZE,Frequency,TYPE_2_AMOUNT,Frequency,TYPE_2_SIZE_UNIT,Frequency,TYPE_3_TIME,Frequency,TYPE_3_UNIT,Frequency,ATC_CODE,Frequency,PREPARATION_TYPE_CODE,Frequency,PRODUCT_CODE,Frequency,RESEPTISTATUS,Frequency,LAAKEMUOTOKOODI,Frequency,DRUG_NAME_C,Frequency,DOSE_QUANTITY_TEXT,Frequency,RENEWAL_BAN,Frequency,MED_EXCHANGE_BAN,Frequency,DOSE_DISTRIBUTION,Frequency,ORGANIZATION_OID_SALATTU,Frequency,ERIKOISALA_CODE,Frequency
,,2021-01-28,172,,,,,,,,,18.0,163,200 annosta,3801,,,,,4.0,272,,,M03BX02,4693,,,557827,1810,,,244.0,3374,TENOX,2791,2 mg,5683,,,,,,,7DA9B27CADB012D5F9286D183E94E2CE,1464,66111-900,2421
,,2017-05-07,172,,,,,,,,,25.0,107,90 fol,3318,,,,,731.0,242,,,N05BA04,4689,,,537944,1774,,,14.0,3329,LYRICA,2780,7,5 mg,5565,,,,,,,8BE8D28E8C46EAFCD2A709783F39CAE0,1464,86131-230,2153
,,2019-10-28,172,,,,,,,,,32.0,101,10 kpl,3077,,,,,366.0,198,,,A12AX,4637,,,550111,1502,,,139.0,3275,LEPONEX,2626,400 mg,5300,,,,,,,A09650237D2B2EE906EFF139F0E27592,1408,76211-111,1942
,,2017-06-06,171,,,,,,,,,50.0,84,5 ml,2812,,,,,364.0,190,,,N05AH04,4339,,,474551,1489,,,159.0,3068,AVAMYS,2623,1000 mg,5172,,,,,,,5805912D673A5936E9E18707BCCC718C,1350,86167-656,1895
,,2023-11-02,171,,,,,,,,,11.0,70,50 g,2711,,,,,100.0,186,,,N02AX02,4049,,,486605,1487,,,177.0,2956,METFOREM,2612,800 mg,5034,,,,,,,8B8C9781B409219F5A059AEC4A067F64,1337,86115-160,1725
,,2017-03-24,171,,,,,,,,,40.0,62,7 fol,2666,,,,,700.0,185,,,S01AA01,4047,,,533158,1486,,,210.0,2910,TRIPTYL,2517,0,1 %,4870,,,,,,,237714FD474CA03FC2CA0C23FB997DEC,1299,86113-180,1615
,,2017-03-23,171,,,,,,,,,52.0,53,3,5 g,2418,,,,,740.0,135,,,S01XA20,3955,,,000976,1389,,,225.0,2827,NASONEX,2342,200 mg,4790,,,,,,,7FC9C3306D4389A4297EDB1FB45ADE72,1294,86111-599,1413
,,2016-04-06,171,,,,,,,,,26.0,52,200 ml,2315,,,,,360.0,133,,,C03CA01,3949,,,476127,1356,,,605.0,2158,DYMISTA,2321,30 mg,4729,,,,,,,67F3F517A2FC607F995C5FBF1AA59806,1256,86172-130,1400
,,2022-12-21,170,,,,,,,,,List truncated...,,0,5 ml,2311,,,,,60.0,108,,,A02BC05,3749,,,476861,1355,,,143.0,1978,CARDACE,2317,1 mg,4594,,,,,,,A88D177C68A6831D9D87B99CE4A09389,1232,70,1372
,,2021-04-22,170,,,,,,,,,,,500 g,2216,,,,,200.0,105,,,N06AX11,3601,,,088261,1351,,,350.0,1966,AMLODIPIN ORION,2277,8/60 mg,4355,,,,,,,B4773D804C157E10B47B9EA8A3B29ED2,1212,86113-190,1340
,,2017-05-10,170,,,,,,,,,,,180 kpl,2198,,,,,8.0,94,,,M01AB05,3551,,,108969,1348,,,251.0,1742,BUVENTOL EASYHALER,2268,100 U/ml,4099,,,,,,,63FDE0185960008C282D8F1A77261CE5,1202,86131-202,1332
,,2019-05-15,170,,,,,,,,,,,12 fol,2074,,,,,31.0,91,,,J01AA02,3526,,,479543,1279,,,224.0,1690,PROPRAL,2179,10 mikrog,4081,,,,,,,442E8064088C846B4079309A74F7139E,1189,86112-570,1240
,,2017-11-21,170,,,,,,,,,,,1 kpl,2052,,,,,28.0,69,,,N02AA59,3501,,,067710,1233,,,136.0,1608,SIMVASTATIN ORION,2136,90 mg,3805,,,,,,,6576E6E6F6F8E870E3A6209716063572,1182,86192-560,1188
,,2017-10-13,170,,,,,,,,,,,6 fol,1994,,,,,35.0,67,,,C09CA01,3482,,,88261,1231,,,66.0,1542,OFTAGEL,2086,250 mg,3583,,,,,,,1A2207FE2FEF7F237D2BCA4A2E9A1A90,1172,86111-630,1175
,,2023-11-20,169,,,,,,,,,,,100 x 1 fol,1960,,,,,21.0,63,,,C10AA07,3447,,,976,1135,,,498.0,1540,MIRTAZAPIN ORION,2062,4 mg,3498,,,,,,,7C32903059074F76B6C05A09933942D9,1154,99112-222,1066
,,2020-03-11,169,,,,,,,,,,,3 x 28 fol,1947,,,,,750.0,63,,,C09CA06,3314,,,007061,1126,,,543.0,1537,CALCICHEW D3 FORTE SITRUUNA,2020,50 mikrog/annos,3472,,,,,,,777D3EE836D66867573EE7B3B1794F89,1101,86175-656,1039
,,2017-02-20,169,,,,,,,,,,,100 ml,1747,,,,,732.0,58,,,C09AA05,3147,,,087312,1075,,,245.0,1514,SELEXID,2008,100 mikrog,3303,,,,,,,AD18212D7E71F077CAC45FAD76B87F77,1096,86111-656,1028
,,2016-05-30,169,,,,,,,,,,,90 kpl,1589,,,,,List truncated...,,,,N05CH01,3052,,,130864,1062,,,564.0,1469,BEMETSON,1974,500 mg/10 mikrog,3266,,,,,,,DF1FD74EA6917672E9A056FACBD3844D,1092,86181-556,1023
,,2022-06-09,168,,,,,,,,,,,15 g,1543,,,,,,,,,N02AA05,3019,,,460295,1053,,,839.0,1412,OFTAN AKVAKOL,1901,0,5 mg,3223,,,,,,,4F6E69B312639A8427C649ACDD830CC1,1068,86192-550,1000
,,2020-03-16,168,,,,,,,,,,,500 ml,1521,,,,,,,,,N03AX16,3016,,,474403,1053,,,149.0,1271,OFTAN CHLORA,1854,3 mg,3065,,,,,,,7B0B027FC28476BF2D6951FE8F36822E,1051,10,955
,,2018-09-24,168,,,,,,,,,,,140 annosta,1407,,,,,,,,,N05AH02,2979,,,119478,1039,,,109.0,1225,DOXIMED,1851,5 mg/ml,2974,,,,,,,0E73CC8CCE432F039ADB8FE9D5DDDCA5,1050,86171-656,947
,,2023-12-10,168,,,,,,,,,,,4 kpl,1324,,,,,,,,,R06AE07,2972,,,448447,1036,,,13.0,1217,TRIMOPAN,1817,10 mg/g,2958,,,,,,,E9E82ABCBC1BE145A9CF988FACBA9767,1049,76111-812,928
,,2017-11-01,168,,,,,,,,,,,20 ml,1295,,,,,,,,,M01AE02,2955,,,499533,1012,,,315.0,1159,V-PEN MEGA,1777,60 mg,2775,,,,,,,F8D27930E70427995BB75FE55DD0EB5B,1049,86111-597,923
,,2022-11-30,168,,,,,,,,,,,8 fol,1255,,,,,,,,,N05CD07,2879,,,116928,988,,,206.0,1143,DIAPAM,1700,2 %,2415,,,,,,,6B8BB5F6B90E42E6DCFEB8228671B8B3,1032,86114-380,899
,,2019-03-06,168,,,,,,,,,,,1000 g,1206,,,,,,,,,J01CA08,2875,,,532952,984,,,869.0,1098,NORSPAN,1699,120 mg,2384,,,,,,,3360F9D5C6B36B40FDDB4C30D52F247C,1019,86131-240,893
,,2022-11-15,168,,,,,,,,,,,5 x 3 ml,1188,,,,,,,,,J01CE02,2724,,,127235,984,,,21.0,901,LOSARTAN ORION,1623,125/50 mikrog/annos,2304,,,,,,,4A63F88D41ABC2480C322E72CFFAF884,1019,86192-656,886
,,2023-11-21,167,,,,,,,,,,,60 kpl,1105,,,,,,,,,N05CF02,2669,,,023635,982,,,535.0,848,LITALGIN,1583,25 mikrog,2264,,,,,,,246C6333DE3844886601229543073E97,1010,86134-100,853
,,2020-03-18,167,,,,,,,,,,,10 x 0,4 ml,1093,,,,,,,,,N06AB10,2663,,,169264,978,,,510.0,797,DIFORMIN RETARD,1540,1 mg/ml,2116,,,,,,,257055CEECCC5B047A7877A11CF8F600,1010,86111-640,829
,,2019-09-22,167,,,,,,,,,,,100,1087,,,,,,,,,R01AD12,2660,,,380766,973,,,343.0,760,VENTOLINE EVOHALER,1538,27,5 mikrog/suihke,2109,,,,,,,A0A40122B50D09DACA4AD6EE0A8D8D43,1009,86134-110,781
,,2017-03-17,166,,,,,,,,,,,120 x 0,5 g,1019,,,,,,,,,N06AA09,2636,,,434811,961,,,211.0,721,ZOPINOX,1519,8 mg,2102,,,,,,,E44A7FF65D3695710E17D889DF497BCF,1004,86111-600,780
,,2023-10-05,166,,,,,,,,,,,1 fol,965,,,,,,,,,R06AX27,2512,,,87312,954,,,889.0,699,TRAMAL,1509,2,5 mg/g,2007,,,,,,,C3256D23E4214DA41BF90EDB03D5B20A,997,86111-610,777
,,2019-02-06,166,,,,,,,,,,,25 fol,921,,,,,,,,,R01AD09,2475,,,67710,946,,,200.0,693,KLEXANE,1496,160 mg,1912,,,,,,,A2881249B3CC59A9BCA457FCD0AB443C,991,86131-203,773
,,2022-11-23,166,,,,,,,,,,,1 ml,853,,,,,,,,,N06AX16,2435,,,388702,945,,,366.0,667,NORFLEX,1492,0,4 mg,1873,,,,,,,F38402E739EEEB113B364093C27EE419,990,76111-479,764
,,2018-02-20,166,,,,,,,,,,,48 fol,820,,,,,,,,,G04BE03,2367,,,7061,943,,,74.0,584,BISOPROLOL RATIOPHARM,1492,100 mg/ml,1665,,,,,,,963BDCB490C090DC52E239F394FBF89C,989,86198-150,757
