APPROX_BIRTH_DATE,Frequency,BL_YEAR,Frequency,BL_AGE,Frequency,SEX,Frequency,HEIGHT,Frequency,HEIGHT_AGE,Frequency,WEIGHT,Frequency,WEIGHT_AGE,Frequency,BMI,Frequency,SMOKE2,Frequency,SMOKE3,Frequency,SMOKE5,Frequency,CURRENT_SMOKER,Frequency,EVER_SMOKER,Frequency,SMOKE_AGE,Frequency,regionofbirth,Frequency,regionofbirthname,Frequency,movedabroad,Frequency,NUMBER_OF_OFFSPRING,Frequency,COHORT,Frequency,DEATH,Frequency,DEATH_APPROX_EVENT_DAY,Frequency,DEATH_FU_AGE,Frequency,AGE_AT_DEATH_OR_END_OF_FOLLOWUP,Frequency
,,1990,3451,61.45,154,,,161,7194,56.6,60,86,6801,61.44,58,23.1,3254,,,,,,,,,,,55.04,56,,,,,,,,,THL BIOBANK FINRISK 2007,4986,,,,,56.77,157,56.77,157
,,2005,3141,69.39,152,,,179,6919,55.48,60,88,6690,58.53,57,23.7,3254,,,,,,,,,,,31.46,54,,,,,,,,,THL BIOBANK FINHIT,4902,,,,,56.89,156,56.89,156
,,2008,3004,62.42,152,,,183,6795,57.76,59,63,6562,58.68,57,24.7,3246,,,,,,,,,,,30.94,54,,,,,,,,,THL BIOBANK FINRISK 1992,4755,,,,,56.59,155,56.59,155
,,2006,2845,58.12,151,,,181,6028,56.95,59,69,6216,63.3,57,25.2,3213,,,,,,,,,,,31.33,53,,,,,,,,,ARCTIC BIOBANK NFBC1986,4566,,,,,70.86,155,70.86,155
,,1995,2803,60.72,151,,,159,5862,61.92,59,79,6135,56.03,57,23.5,3207,,,,,,,,,,,31.23,53,,,,,,,,,THL BIOBANK COROGENE,4361,,,,,74.86,154,74.86,154
,,1981,2753,57.48,150,,,157,5296,58.22,58,95,6096,62.62,57,25.5,3185,,,,,,,,,,,30.83,53,,,,,,,,,THL BIOBANK HHS,3260,,,,,57.29,154,57.29,154
,,2010,2395,57.75,150,,,156,5250,51.43,58,71,6065,55.85,57,24.5,3135,,,,,,,,,,,15.53,52,,,,,,,,,THL BIOBANK HEALTH 2011,706,,,,,56.65,153,56.65,153
,,2003,2247,62.95,150,,,184,5247,50.59,58,100,5804,61.21,57,29.1,3095,,,,,,,,,,,31.32,52,,,,,,,,,ARCTIC BIOBANK OULU1945,590,,,,,77.6,153,77.6,153
,,2013,2163,58.91,149,,,185,4874,55.1,58,81,5641,60.61,57,26.9,3072,,,,,,,,,,,31.11,52,,,,,,,,,ARCTIC BIOBANK OULU1935,441,,,,,77.63,152,77.63,152
,,1980,1674,59.95,149,,,186,4242,55.42,58,92,5597,59.85,57,25.0,3067,,,,,,,,,,,31.13,52,,,,,,,,,THL BIOBANK FinIPF,274,,,,,56.57,151,56.57,151
,,1996,1656,64.31,148,,,155,3915,59.8,58,87,5482,59.11,57,29.0,3051,,,,,,,,,,,31.19,52,,,,,,,,,THL BIOBANK KUUSAMO,225,,,,,57.06,151,57.06,151
,,1991,1647,56.99,148,,,187,3301,54.41,58,58,5356,58.15,56,27.4,3044,,,,,,,,,,,31.41,50,,,,,,,,,,,,,,,71.0,151,71.0,151
,,2014,1562,62.27,148,,,154,3146,60.34,58,89,4549,58.33,56,23.9,3018,,,,,,,,,,,List truncated...,,,,,,,,,,,,,,,,75.0,151,75.0,151
,,1994,1202,59.92,148,,,188,2711,60.25,58,61,4487,58.42,56,23.4,2998,,,,,,,,,,,,,,,,,,,,,,,,,,,56.93,150,56.93,150
,,1989,654,60.16,148,,,190,2293,58.81,57,93,4472,56.63,56,27.2,2993,,,,,,,,,,,,,,,,,,,,,,,,,,,37.59,150,37.59,150
,,1982,470,62.18,147,,,153,2281,57.72,57,94,4432,56.98,56,24.9,2955,,,,,,,,,,,,,,,,,,,,,,,,,,,57.26,150,57.26,150
