DELIVERY_YEAR,Frequency,APPROX_DELIVERY_DATE,Frequency,PARITY,Frequency,NRO_CHILD,Frequency,NRO_FETUSES,Frequency,CHILD_SEX,Frequency,MOTHER_AGE,Frequency,MOTHER_WEIGHT,Frequency,MOTHER_HEIGHT,Frequency,SMOKING,Frequency,DURATION_WEEKS,Frequency,DURATION_DAYS,Frequency,ORDER,Frequency,SDIAG1,Frequency,SDIAG2,Frequency,SDIAG3,Frequency,SDIAG4,Frequency,SDIAG5,Frequency,SDIAG6,Frequency,SDIAG7,Frequency,SDIAG8,Frequency,SDIAG9,Frequency,SDIAG10,Frequency,RDIAG1,Frequency,RDIAG2,Frequency,RDIAG3,Frequency,RDIAG4,Frequency,RDIAG5,Frequency,RDIAG6,Frequency,RDIAG7,Frequency,RDIAG8,Frequency,RDIAG9,Frequency,RDIAG10,Frequency,MATUR_THREAT,Frequency,INSEM,Frequency,IVF,Frequency,ICSI,Frequency,PAS,Frequency,GAMETE_DONAT,Frequency,RKOURIS,Frequency,MOTHER_BLOOD_PRES,Frequency,MOTHER_BLEEDING,Frequency,OTHER_PREG_DIAB_THREAT,Frequency,DIABETES,Frequency,GLUC,Frequency,GLUC_PATOL,Frequency,INS_THREAT_INIT,Frequency,PREM,Frequency
1980,8852,,,14,93,,420,,,,,27.58,402,66,2725,171,3573,,,29,306,,,,,O244,814,O720,1020,O48,490,E6601,193,E039,76,,,,,,,,,,,O240,1251,E6601,561,E6601,413,O429,225,Z340,119,E6601,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,8761,,,List truncated...,,15,414,,,,,32.0,402,72,2714,173,3394,,,28,255,,,,,O641,812,O630,1018,O60,470,O814,191,O756,72,,,,,,,,,,,O48,1016,O48,561,O321,404,E6601,219,Z349,118,Z340,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,8714,,,,,16,169,,,,,29.04,401,61,2694,174,2814,,,27,225,,,,,6563B,743,O756,1017,O820,456,O640,187,O235,72,,,,,,,,,,,O429,958,O249,510,O249,307,O321,201,O800,114,O471,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,8695,,,,,17,118,,,,,25.8,400,75,2581,159,2598,,,26,220,,,,,O721,628,O60,979,O800,439,O756,171,O814,70,,,,,,,,,,,6440A,928,O429,505,O429,302,O365,198,O365,101,List truncated...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,8677,,,,,18,51,,,,,29.1,400,54,2377,175,2500,,,43,194,,,,,O840,623,O48,911,O366,407,Z302,159,O720,69,,,,,,,,,,,V220A,904,O365,468,O365,291,O992,174,O992,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,8608,,,,,List truncated...,,,,,,28.06,400,69,2342,157,2161,,,25,177,,,,,6522B,613,O640,906,O630,371,O13,145,O993,68,,,,,,,,,,,Z368,829,Z360,445,O48,282,O48,157,O993,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,8574,,,,,,,,,,,27.08,398,80,2161,156,1665,,,24,161,,,,,O8211,593,O321,736,O808,368,O820,141,O13,66,,,,,,,,,,,O249,786,O300,424,O992,260,O249,155,O410,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,8414,,,,,,,,,,,29.22,397,73,2152,176,1602,,,23,134,,,,,O801,551,O366,598,O756,354,O365,132,O820,65,,,,,,,,,,,O800,714,O240,393,O471,214,O993,135,E039,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,8348,,,,,,,,,,,26.92,397,52,2114,155,1540,,,22,119,,,,,O756,422,O641,575,O750,273,O631,129,Z358,61,,,,,,,,,,,O266,681,Z370,391,Z360,210,Z360,134,Z718,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,7944,,,,,,,,,,,28.93,397,53,2092,178,1171,,,List truncated...,,,,,,Z370,422,O688,495,O13,260,Z358,128,O366,61,,,,,,,,,,,6488A,579,O288,364,O993,203,O471,120,O48,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
